Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
ACADEMIC-INDUSTRIAL PARTNERSHIP FOR TRANSLATION OF PET/TRUS GUIDED INTERVENTION,NCI,9828774,5R01CA204254-05,5,R01,CA,204254,5,,,8354099,"FEI, BAOWEI ",Not Applicable,UNIVERSITY OF TEXAS DALLAS,,2020,502807,
Project 9: Using Socially Assistive Robot Assistants to Augment NeuroRehabilitation Exercise Therapy,NIGMS,9984414,5P20GM103650-09,5,P20,GM,103650,9,,6544,14192055,"FEIL-SEIFER, DAVID ",Not Applicable,UNIVERSITY OF NEVADA RENO,,2020,,319
Interdisciplinary Training in Auditory Neuroscience,NIDCD,9967798,5T32DC016853-03,5,T32,DC,16853,3,,,1865631,"FEKETE, DONNA M ","HEINZ, MICHAEL G",PURDUE UNIVERSITY,,2020,185502,
ASSESSMENT OF MEDHERENT MEDICATION MANAGEMENT DEVICE AND ADHERENCE PLATFORM,NIMH,9919638,5R44MH116765-03,5,R44,MH,116765,3,,,14987369,"FELDMAN, JOEL F",Not Applicable,TERRAPIN PHARMACY,,2020,496039,
Maladaptive Plasticity in Spinal Cord Injury: Cellular Mechanisms,NINDS,9645113,5R01NS088475-05,5,R01,NS,88475,5,,,8203706,"FERGUSON, ADAM R",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2019,346719,
Co-targeting FAK and PI3K for NF2 Schwannomas,NINDS,9650844,1R56NS102254-01A1,1,R56,NS,102254,1,A1,,1876170,"FERNANDEZ-VALLE, CRISTINA MARIA",Not Applicable,UNIVERSITY OF CENTRAL FLORIDA,,2018,462161,
Supraspinal Control of Human Locomotor Adaptation,NINDS,9941153,5R01NS104772-03,5,R01,NS,104772,3,,,6968486,"FERRIS, DANIEL P",Not Applicable,UNIVERSITY OF FLORIDA,,2020,415754,
Discovery of Novel Drugs that Increase Tau Clearance to Treat Alzheimer's Disease,NIA,9472848,1RF1AG058447-01,1,RF1,AG,58447,1,,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,1818228,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9707656,3RF1AG058476-01S5,3,RF1,AG,58476,1,S5,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,188800,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9707652,3RF1AG058476-01S4,3,RF1,AG,58476,1,S4,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,188800,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9707654,3RF1AG058476-01S3,3,RF1,AG,58476,1,S3,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,188800,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9707657,3RF1AG058476-01S2,3,RF1,AG,58476,1,S2,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,188800,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9707651,3RF1AG058476-01S1,3,RF1,AG,58476,1,S1,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2018,188800,
Dysfunction of the Autophagy-Lysosomal Pathway as a Common Mechanism of Neurodegeneration,NIA,9473669,1RF1AG058476-01,1,RF1,AG,58476,1,,,1887163,"FINKBEINER, STEVEN M",Not Applicable,J. DAVID GLADSTONE INSTITUTES,,2017,3162400,
MR-Guided Precision Conformal Ablation Therapy for Brain Tumors,NCI,9789837,5R01CA166379-07,5,R01,CA,166379,7,,,8507105,"FISCHER, GREGORY S ","PILITSIS, JULIE GEORGIA",WORCESTER POLYTECHNIC INSTITUTE,,2019,678161,
System for faster microarray assays and end-to-end workflow automation,NIGMS,9846734,2R44GM122159-02A1,2,R44,GM,122159,2,A1,,14247153,"FISHER, JAY KENNETH",Not Applicable,"REDBUD LABS, INC.",,2019,999735,
Sex- and Age-dependent ACL Function in the Growing Knee Joint,NIAMS,9906172,5R01AR071985-03,5,R01,AR,71985,3,,,11011658,"FISHER, MATTHEW B",Not Applicable,NORTH CAROLINA STATE UNIVERSITY RALEIGH,,2020,351131,
Dynamic imaging to guide wearable robotic intervention for enhanced mobility in aging,NIA,9920637,5R01AG058615-03,5,R01,AG,58615,3,,,10604849,"FRANZ, JASON R ","SAWICKI, GREGORY STEPHEN",UNIV OF NORTH CAROLINA CHAPEL HILL,,2020,324843,
Effect of force-based motor repetition on the control and learning of dexterous manipulation,NIA,9964984,1R15AG067792-01,1,R15,AG,67792,1,,,12179491,"FU, QIUSHI ",Not Applicable,UNIVERSITY OF CENTRAL FLORIDA,,2020,429838,
Backyard Brains: Bringing Neurophysiology Into Secondary Schools,NIMH,9983344,3R44MH093334-08S1,3,R44,MH,93334,8,S1,,10533834,"GAGE, GREGORY JOHN",Not Applicable,"BACKYARD BRAINS, INC.",,2020,470096,
Backyard Brains: Bringing Neurophysiology Into Secondary Schools,NIMH,9689088,5R44MH093334-08,5,R44,MH,93334,8,,,10533834,"GAGE, GREGORY JOHN",Not Applicable,"BACKYARD BRAINS, INC.",,2019,774402,
Introducing Neuroscience and Neurocomputation Concepts to High School Students using Brain-based Neurorobots,NINDS,9763674,5R43NS108850-02,5,R43,NS,108850,2,,,10533834,"GAGE, GREGORY JOHN ","HARRIS, CHRISTOPHER AIDAN","BACKYARD BRAINS, INC.",,2019,312460,
Clinical Studies Of Abnormal Host Defense,NIAID,10014010,1ZIAAI000155-44,1,ZIA,AI,155,44,,,6568452,"GALLIN, JOHN I",Not Applicable,,,2019,274312,
Comprehensive Genomics,NCI,9889055,5P30CA072720-21,5,P30,CA,72720,21,,5920,1930337,"GANESAN, SHRIDAR ",Not Applicable,RBHS -CANCER INSTITUTE OF NEW JERSEY,,2020,,56745
Evaluating and Improving Assistive Robotic Devices Continuously and in Real-time,NICHD,9668174,5R03HD092639-02,5,R03,HD,92639,2,,,9008726,"GATES, DEANNA H.",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2019,78000,
A Dual Quaternion Based Method for Estimating PTV Margins in Intensity-Modulated Radiotherapy,NCI,9968526,1R03CA249545-01,1,R03,CA,249545,1,,,16056890,"GE, QIAODE  ","LANGER, MARK P.",STATE UNIVERSITY NEW YORK STONY BROOK,,2020,94375,
Pediatric Heart Disease: Getting from Mutations to Therapeutics,NHLBI,9894834,5R35HL135742-04,5,R35,HL,135742,4,,,1888737,"GELB, BRUCE D",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,860844,
Development of a mobile and automated platform for multiplexed multi-modality imaging,NCI,9445400,5R44CA192482-03,5,R44,CA,192482,3,,,12069028,"GESSNER, RYAN ",Not Applicable,"SONOVOL, INC.",,2018,932083,
A turnkey research platform to accelerate clinical translation of focused-ultrasound (FUS) oncology therapies,NCI,9908739,1R43CA239830-01A1,1,R43,CA,239830,1,A1,,12069028,"GESSNER, RYAN ",Not Applicable,"SONOVOL, INC.",,2019,300000,
Animal Model Core,NHLBI,9841971,5P01HL116264-08,5,P01,HL,116264,8,,5241,9493115,"GEURTS, ARON M",Not Applicable,MEDICAL COLLEGE OF WISCONSIN,,2020,,363017
CPS: Medium: Collaborative Research: User and Environment Interactive Planning and Control of Artificial Lower Limbs for Resilient Locomotion     ,NIBIB,9985421,1R01EB029765-01,1,R01,EB,29765,1,,,11355984,"GEYER, HARTMUT  ","SU, HAO ",CARNEGIE-MELLON UNIVERSITY,,2019,310400,
NIR Nerve-specific Fluorescent Imaging for Robotic-assisted Radical Prostatectomy,NIBIB,9730473,5R01EB021362-04,5,R01,EB,21362,4,,,9739313,"GIBBS, SUMMER LYNNE",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2019,375504,
Comprehensive mapping of pre-replication complex protein binding sites in single human cells,NHGRI,9778894,5R21HG010403-02,5,R21,HG,10403,2,,,1868713,"GILBERT, DAVID M",Not Applicable,FLORIDA STATE UNIVERSITY,,2019,224939,
Analytical Core,NHLBI,9949769,5P01HL074940-15,5,P01,HL,74940,15,,8660,1902825,"GILDEA, JOHN JOSEPH",Not Applicable,UNIVERSITY OF VIRGINIA,,2020,,374103
Development of a Carbohydrate Microarray,NCI,10014418,1ZIABC010675-15,1,ZIA,CA,10675,15,,,15201322,"GILDERSLEEVE, JEFFREY ",Not Applicable,,,2019,315615,
Development of a novel method for cryopreservation of Drosophila melanogaster,OD,9935719,1R24OD028444-01,1,R24,OD,28444,1,,,9809369,"GOHL, DARYL  ","HUBEL, ALLISON ;KODANDARAMAIAH, SUHASA B",UNIVERSITY OF MINNESOTA,,2020,599090,
Modular Automated -80C Sample Storage System,OD,9707483,1S10OD025092-01A1,1,S10,OD,25092,1,A1,,1861886,"GOLDENRING, JAMES RICHARD",Not Applicable,VANDERBILT UNIVERSITY MEDICAL CENTER,,2019,2000000,
Automatic Positioning of Communication Devices and other Essential Equipment for People with Mobility Restrictions,NICHD,9750520,5R44HD093467-03,5,R44,HD,93467,3,,,9701263,"GOODWIN, DIANNE ",Not Applicable,"BLUE SKY DESIGNS, INC.",,2019,507856,
Maneuverability Enhancement Following Spinal Cord Injury,VA,10128203,5I01RX001979-05,5,I01,VA,1979,5,,,10051010,"GORDON, KEITH EDWARD",Not Applicable,EDWARD HINES JR VA HOSPITAL,,2020,,
Transspinal versus Epidural Stimulation for Exoskeletal Assisted Walking after Spinal Cord Injury,VA,10012247,1I21RX003456-01,1,I21,VA,3456,1,,,10231087,"GORGEY, ASHRAF ",Not Applicable,VA VETERANS ADMINISTRATION HOSPITAL,,2020,,
Role of Leukocyte-endothelial Adhesion in Diabetic Retinopathy,NEI,9781726,5R01EY023644-05,5,R01,EY,23644,5,,,7690378,"GRASSI, MICHAEL A.",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO,,2019,371138,
Genetically Encoded Activity Sensors for Photoacoustic Imaging of the Brain,NEI,9566015,5R21EY028365-02,5,R21,EY,28365,2,,,11858091,"GRIESBECK, OLIVER  ","RAZANSKY, DANIEL ",MAX PLANCK INSTITUTE FOR NEUROBIOLOGY,,2018,148610,
StrokeBelt StrokeNet,NINDS,9762234,5U24NS107223-02,5,U24,NS,107223,2,,,11814876,"GROPEN, TOBY  ","HARRIGAN, MARK ROBERT;LAZAR, RONALD M",UNIVERSITY OF ALABAMA AT BIRMINGHAM,,2019,304027,
Development of the first label-free and high-throughput; cell-based assay that reports on specific enzyme activities,NCI,10076910,9R44CA243990-02A1,9,R44,CA,243990,2,A1,,14667756,"GURARD-LEVIN, ZACHARY ",Not Applicable,"SAMDI TECH, INC.",,2020,1076401,
VRE Regulation and Inhibition,NIGMS,9590304,1R15GM126502-01A1,1,R15,GM,126502,1,A1,,1912218,"GUTHEIL, WILLIAM G",Not Applicable,UNIVERSITY OF MISSOURI KANSAS CITY,,2018,465000,
Rapid 3D Whole-Slide Digitization of Thick Cytopathology Slides with a Gigapixel Microscope,NCI,10010727,1R44CA250877-01,1,R44,CA,250877,1,,,14845079,"HARFOUCHE, MARK ",Not Applicable,"RAMONA OPTICS, INC.",,2020,400000,
Coding of Action by Motor & Premotor Cortical Ensembles,NINDS,9908190,5R01NS111982-02,5,R01,NS,111982,2,,,1869790,"HATSOPOULOS, NICHOLAS G ","ROSS, CALLUM F",UNIVERSITY OF CHICAGO,,2020,479084,
Automated Social Interactive Interface to Monitor and Update Intervention Plans for People with MCI; Alzheimer's  and Other Dementias,NIA,10002162,5R44AG057364-03,5,R44,AG,57364,3,,,1974394,"HAVEY, GARY D",Not Applicable,ADVANCED MEDICAL ELECTRONICS CORPORATION,,2020,710559,
Vision in Natural Tasks,NEI,9830977,2R01EY005729-32,2,R01,EY,5729,32,,,1863530,"HAYHOE, MARY M",Not Applicable,"UNIVERSITY OF TEXAS, AUSTIN",,2019,369009,
A Large-Scale Microfluidics Imaging Platform for High-Throughput Toxicity Testing using Canine Intestinal Organoids,NIEHS,9625510,1R43ES029890-01,1,R43,ES,29890,1,,,14460740,"HEGARTY, EVAN ",Not Applicable,"NEWORMICS, LLC",,2019,222780,
A Multiwell Plate Format Microfluidic Immobilization Chip for High-Content Imaging of Whole Animals for in vivoNeurotoxicology Testing,NIMH,10082215,2R44MH118841-02,2,R44,MH,118841,2,,,14460740,"HEGARTY, EVAN ",Not Applicable,"NEWORMICS, LLC",,2020,749858,
A Hand-Held Robot to Cure BPH,NIBIB,9943629,3R44EB024423-02S1,3,R44,EB,24423,2,S1,,14719087,"HENDRICK, RICHARD JOSEPH",Not Applicable,"VIRTUOSO SURGICAL, INC.",,2019,72004,
A Hand-Held Robot to Cure BPH,NIBIB,9557041,5R44EB024423-02,5,R44,EB,24423,2,,,14719087,"HENDRICK, RICHARD JOSEPH",Not Applicable,"VIRTUOSO SURGICAL, INC.",,2018,732937,
Reopening the Central Airway With Needle-Size Tentacle Manipulators,NHLBI,10020704,3R44HL140709-02S1,3,R44,HL,140709,2,S1,,14719087,"HENDRICK, RICHARD JOSEPH",Not Applicable,"VIRTUOSO SURGICAL, INC.",,2019,74205,
Reopening the Central Airway With Needle-Size Tentacle Manipulators,NHLBI,9777216,2R44HL140709-02,2,R44,HL,140709,2,,,14719087,"HENDRICK, RICHARD JOSEPH",Not Applicable,"VIRTUOSO SURGICAL, INC.",,2019,748125,
Collaboration & Service (243-302),NIGMS,9939562,5P41GM116799-05,5,P41,GM,116799,5,,7425,1898405,"HENDRICKSON, WAYNE A.",Not Applicable,NEW YORK STRUCTURAL BIOLOGY CENTER,,2020,,80798
Portable Ankle Robotics to Reverse Foot Drop After Stroke.,NINDS,10133371,3U44NS111076-01S1,3,U44,NS,111076,1,S1,,15205233,"HENNESSIE, BRADLEY  ","MACKO, RICHARD FRANK","NEXTSTEP ROBOTICS, LLC",,2020,57414,
Portable Ankle Robotics to Reverse Foot Drop After Stroke.,NINDS,9728404,1U44NS111076-01,1,U44,NS,111076,1,,,15205233,"HENNESSIE, BRADLEY  ","MACKO, RICHARD FRANK","NEXTSTEP ROBOTICS, LLC",,2019,999646,
Evaluation of a Robotic Assisted Surgical System for Hearing Loss,NIDCD,9465441,5R44DC016246-02,5,R44,DC,16246,2,,,14723767,"HENSLEE, ALLAN ",Not Applicable,"IOTAMOTION, INC.",,2018,758945,
Biology Core,NCI,9791690,2P01CA114046-11A1,2,P01,CA,114046,11,A1,8494,2795105,"HERLYN, MEENHARD F",Not Applicable,WISTAR INSTITUTE,,2019,,344322
Utilizing Electronic Health Records to Measure and Improve Prostate Cancer Care,NCI,9712870,5R01CA183962-05,5,R01,CA,183962,5,,,9792427,"HERNANDEZ-BOUSSARD, TINA ",Not Applicable,STANFORD UNIVERSITY,,2019,560338,
Desaturation Of Essential Fatty Acids Using Stable Isotope GC/MS,NIAAA,10023074,1ZIAAA000262-37,1,ZIA,AA,262,37,,,9690749,"HIBBELN, JOSEPH ",Not Applicable,,,2019,219990,
An Automated Microscale Thermophoresis Instrument for Southeastern Wisconsin: a Shared Resource for Biomolecular Interactions and Drug Discovery,OD,9708668,1S10OD025036-01A1,1,S10,OD,25036,1,A1,,1872212,"HILL, R BLAKE",Not Applicable,MEDICAL COLLEGE OF WISCONSIN,,2019,582473,
A high-throughput cell-free profiling platform integrating high metabolic diversity for chemical safety assessment,NIEHS,9678632,1R43ES030252-01,1,R43,ES,30252,1,,,15429633,"HOEPKER, ALEXANDER CHRIS",Not Applicable,"ZYMTRONIX CATALYTIC SYSTEMS, INC.",,2019,224930,
Automating mosquito microdissection for a malaria PfSPZ vaccine,NIAID,9707748,5R44AI134500-03,5,R44,AI,134500,3,,,1978462,"HOFFMAN, STEPHEN LEV",Not Applicable,"SANARIA, INC.",,2019,975729,
In vitro core,NIAID,9868272,5U19AI142720-02,5,U19,AI,142720,2,,7244,1890839,"HOFFMANN, F. MICHAEL",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2020,,593788
Central Sequencing Initiative,NIAID,10016049,1ZICAI001244-01,1,ZIC,AI,1244,1,,,9691549,"HOLLAND, STEVEN ",Not Applicable,,,2019,1443862,
High Throughput Analysis Laboratory Shared Resource,NCI,9762025,5P30CA060553-25,5,P30,CA,60553,25,,5357,1904007,"HORVATH, CURT M",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,,124646
The role of chronic cannabis and its two major psychoactive ingredients in papillomavirus-associated oropharyngeal disease,NIDCR,9888363,5R21DE028650-02,5,R21,DE,28650,2,,,9705868,"HU, JIAFEN ",Not Applicable,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,,2020,229950,
Error Tolerance in Wearer-Robot Systems,NIBIB,9930081,5R01EB024570-03,5,R01,EB,24570,3,,,9913988,"HUANG, HE ",Not Applicable,NORTH CAROLINA STATE UNIVERSITY RALEIGH,,2020,446122,
Adaptation of brain and body responses to perturbations during gait in young and older adults,NIA,9941019,5R01AG054621-04,5,R01,AG,54621,4,,,8528661,"HUANG, HELEN J",Not Applicable,UNIVERSITY OF CENTRAL FLORIDA,,2020,296742,
Quanterix 2470 Arrayer for Reverse Phase Protein Array Technology,OD,9940612,1S10OD028648-01,1,S10,OD,28648,1,,,8391596,"HUANG, SHIXIA ",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,2020,300427,
Vitreoretinal Surgery via Robotic Microsurgical System with Image Guidance; Force Feedback; Virtual Fixture; and Augmented Reality,NEI,9852452,5R01EY029689-02,5,R01,EY,29689,2,,,11658395,"HUBSCHMAN, JEAN-PIERRE  ","ROSEN, JACOB ;TSAO, TSU-CHIN TC",UNIVERSITY OF CALIFORNIA LOS ANGELES,,2020,429489,
Intraocular Robotic Interventional and Surgical System for Automated Cataract Surgery,NEI,9802773,1R01EY030595-01,1,R01,EY,30595,1,,,11658395,"HUBSCHMAN, JEAN-PIERRE  ","TSAO, TSU-CHIN TC",UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,570000,
01 Sequencing and Microarray Facility,NCI,9997794,5P30CA016672-44,5,P30,CA,16672,44,,5703,1926239,"HUFF, VICKI ",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR,,2020,,766226
Motion processing with two eyes in three dimensions,NEI,9903308,5R01EY020592-08,5,R01,EY,20592,8,,,2086525,"HUK, ALEXANDER C ","CORMACK, LAWRENCE KEVIN","UNIVERSITY OF TEXAS, AUSTIN",,2020,385507,
Development of Machine Learning Algorithms to Assess and Train Vesico-Urethral Anastomosis during Robot Assisted Radical Prostatectomy,NIBIB,9767765,5K23EB026493-02,5,K23,EB,26493,2,,,14451658,"HUNG, ANDREW ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,193082,
Enabling Technology for Safe Robot-assisted Surgical Micromanipulation,NIBIB,9636559,5R01EB023943-03,5,R01,EB,23943,3,,,9873665,"IORDACHITA, IULIAN IOAN",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2019,356164,
New CRISPR-based technologies for screening dark GPCRs,NCATS,9812865,1R03TR002908-01,1,R03,TR,2908,1,,,10933226,"ISOM, DANIEL ",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2019,153500,
Intrasurgical OCT Image-Guided Robot Assist Device for Partial Thickness Corneal Transplanation,NEI,9913524,5R21EY029877-02,5,R21,EY,29877,2,,,1992035,"IZATT, JOSEPH A ","HAUSER, KRIS ;KUO, ANTHONY NANLIN",DUKE UNIVERSITY,,2020,188771,
Cryo ptychography combined with x-ray fluorescence analysis of metals in cells,NIGMS,9899251,5R01GM104530-08,5,R01,GM,104530,8,,,2422825,"JACOBSEN, CHRIS JOHNSON",Not Applicable,NORTHWESTERN UNIVERSITY,,2020,254667,
Image-registered; Hand-held; Concentric Tube Robot for Percutaneous Treatment of Calculi,NIDDK,9838749,5R01DK119269-02,5,R01,DK,119269,2,,,11115101,"JAGADEESAN, JAYENDER ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2020,359849,
Robot-Assisted 3D ICE Catheter for Cardiac Ablation,NIBIB,9973517,1R01EB028278-01A1,1,R01,EB,28278,1,A1,,11115101,"JAGADEESAN, JAYENDER ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2020,437331,
Automated; model-guided phenotyping to identify metabolite/gene/microbe interactions,NIBIB,9852330,5R21EB027396-02,5,R21,EB,27396,2,,,14397146,"JENSEN, PAUL ANTHONY",Not Applicable,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,,2020,178949,
Developing a one-tube circularized ligation product sequencing (CLP-seq) method for the mapping of 3D genome architecture in small cell populations or single cells.,NHGRI,9968311,5R01HG009658-04,5,R01,HG,9658,4,,,12560865,"JIN, FULAI ",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,2020,464113,
Elucidating AHR signaling interplay in orofacial clefting and endocrine disruption using microplate microfluidics,NIEHS,9769735,5K99ES028744-02,5,K99,ES,28744,2,,,9840871,"JOHNSON, BRIAN P.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2019,99786,
IGF::OT::IGF - Graham Johnson,NIDA,9915380,271201400016I-P00001-27100005-1,,N02,DA,,,,,15974957,"JOHNSON, GRAHAM ",Not Applicable,GRAHAM JOHNSON,,2019,33753,
The SyngenicDNA and ?POET Platform: Overcoming Innate Barriers to Genetic Engineering in Bacteria.,NIDCR,9768201,5R01DE027850-04,5,R01,DE,27850,4,,,12107335,"JOHNSTON, CHRISTOPHER D",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER,,2019,748718,
Genomics,NCI,9834859,5P30CA016086-44,5,P30,CA,16086,44,,8618,8579946,"JONES, CORBIN D",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL,,2020,,351743
Mega-scale Identification tools for xenobiotic metabolism,NIEHS,9981744,5U2CES030163-03,5,U2C,ES,30163,3,,,1866604,"JONES, DEAN PAUL ","LI, SHUZHAO ;MILLER, GARY W;MORGAN, EDWARD THOMAS",EMORY UNIVERSITY,,2020,889231,
Characterization of Biological Nanoparticle Subsets,NCI,10014708,1ZIABC011502-07,1,ZIA,CA,11502,7,,,12032135,"JONES, JENNIFER ",Not Applicable,,,2019,1522674,
Ocular Therapeutic Delivery Through Real-time Endoscopic B-scan OCT-guided Tools and Robotic Assistance,NEI,9762113,5R01EY028133-02,5,R01,EY,28133,2,,,1932921,"JOOS, KAREN MARGARET ","SIMAAN, NABIL ",VANDERBILT UNIVERSITY MEDICAL CENTER,,2019,393750,
Nonclinical development of Nervelight; an intra-operative peripheral nerve imaging agent,NCI,9571210,5R44CA180745-03,5,R44,CA,180745,3,,,1894647,"KAHL, STEPHEN B",Not Applicable,"MANZANITA PHARMACEUTICALS, INC.",,2018,752754,
ShEEP Request for Fully Automated Perifusion System,VA,9905782,1IS1BX005049-01,1,IS1,VA,5049,1,,,1888096,"KAHN, STEVEN EMANUEL",Not Applicable,VA PUGET SOUND HEALTHCARE SYSTEM,,2019,,
Protein Production Shared Resources Core,NCI,9883745,5P30CA021765-41,5,P30,CA,21765,41,,5525,8035200,"KALODIMOS, CHARALAMPOS ",Not Applicable,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,,2020,,232655
3D Intestinal Tissues,NIAID,9893797,5U19AI131126-04,5,U19,AI,131126,4,,6596,2059300,"KAPLAN, DAVID L.",Not Applicable,TUFTS UNIVERSITY BOSTON,,2020,,258132
Multimodal Exercise and Weight Loss in Older Veterans with Dysmobility,VA,9786077,5I01RX001813-04,5,I01,VA,1813,4,,,1901034,"KATZEL, LESLIE I.",Not Applicable,BALTIMORE VA MEDICAL CENTER,,2020,,
Automated processing and manipulation of small samples for high throughput and ultrasensitive functional proteomics measurements,NIGMS,9745627,5P41GM103493-17,5,P41,GM,103493,17,,5526,9825066,"KELLY, RYAN T",Not Applicable,BATTELLE PACIFIC NORTHWEST LABORATORIES,,2019,,255982
PCOS and androgen-related disease modeling and drug testing in Multi-organ Integrated Microfluidic Reproductive Platform,NIEHS,9993725,4UH3ES029073-03,4,UH3,ES,29073,3,,,7096766,"KIM, JI-YONG JULIE",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,1196186,
Adaptive ankle robot control system to reduce foot-drop in chronic stroke,VA,10174743,5I01RX001699-06,5,I01,VA,1699,6,,,1958950,"KITTNER, STEVEN J",Not Applicable,BALTIMORE VA MEDICAL CENTER,,2020,,
RR&D Research Career Scientist Award Application,VA,9837355,5IK6RX002974-02,5,IK6,VA,2974,2,,,8528166,"KLUTE, GLENN ",Not Applicable,VA PUGET SOUND HEALTHCARE SYSTEM,,2019,,
Headborne autopatchers for autonomous intracellular recordings in freely moving; behaving rats,NINDS,9724761,1R21NS111196-01,1,R21,NS,111196,1,,,11670212,"KODANDARAMAIAH, SUHASA B",Not Applicable,UNIVERSITY OF MINNESOTA,,2019,390144,
Image-guided robot for high-throughput microinjection of Drosophila embryos,OD,9806367,1R21OD028214-01,1,R21,OD,28214,1,,,11670212,"KODANDARAMAIAH, SUHASA B ","GOHL, DARYL ",UNIVERSITY OF MINNESOTA,,2019,184118,
High Throughput Sciences,NCI,9937092,2P30CA014051-49,2,P30,CA,14051,49,,6149,9801751,"KOEHLER, ANGELA NICOLE",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,,221411
Enzymatic Mechanisms of Genetic Recombination,NIGMS,9900789,5R01GM026017-44,5,R01,GM,26017,44,,,8005932,"KOLODNER, RICHARD D",Not Applicable,LUDWIG INSTITUTE  FOR CANCER RES  LTD,,2020,426795,
Pre-Operative Assessment of Fusion-Related Bone Failure,NIAMS,9783494,5R44AR064613-03,5,R44,AR,64613,3,,,8692094,"KOPPERDAHL, DAVID ",Not Applicable,"O. N. DIAGNOSTICS, LLC",,2019,578277,
Core B: Small Animal Radiation Core,NCI,9773988,5P01CA210944-03,5,P01,CA,210944,3,,5573,2090001,"KOUMENIS, CONSTANTINOS ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,,183888
Development of multiplexed autoantibody test on pGOLD platform for Diagnosis and Screening of Type 1 Diabetes,NIDDK,9568752,5R44DK107203-03,5,R44,DK,107203,3,,,16302821,"KOZMA, LYNN ",Not Applicable,"NIRMIDAS BIOTECH, INC.",,2018,804811,
Next Generation of Surgical Imaging and Robotics for Supervised Autonomous Soft Tissue Surgery,NIBIB,9618594,5R01EB020610-05,5,R01,EB,20610,5,,,11525806,"KRIEGER, AXEL  ","HSIEH, MICHAEL HARRISON;KANG, JIN U","UNIV OF MARYLAND, COLLEGE PARK",,2019,318634,
Development and Pre-Clinical Evaluation of a Robotic System for Supervised Autonomous Tumor Surgery,NIBIB,9569656,5R21EB024707-02,5,R21,EB,24707,2,,,11525806,"KRIEGER, AXEL ",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK",,2018,227724,
Functional Resistance Training during Gait: A Novel Intervention to Improve Knee Function after ACL Reconstruction,NICHD,9534715,5R21HD092614-02,5,R21,HD,92614,2,,,11572652,"KRISHNAN, CHANDRAMOULI  ","PALMIERI-SMITH, RIANN MARIE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2018,195000,
Didactic Interaction,NICHD,9967677,1P2CHD101913-01,1,P2C,HD,101913,1,,7788,11013278,"KU, JOY P",Not Applicable,STANFORD UNIVERSITY,,2020,,180949
