NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
Mental Health;Neurosciences,Neurosciences;pre-doctoral;Training Programs;,Interdisciplinary Predoctoral Neuroscience Training Program,PUBLIC HEALTH RELEVANCE:  This is a broadly based predoctoral training program in Neuroscience. We provide individualized; high quality training to predoctoral students interested in pursuing scientific research careers in the biological and biomedical sciences. This training grant would support students in their first two years of graduate studies; before they start their dissertation research. We request 8 predoctoral training slots for students in their first two year of our program.,NIMH,9743214,19-Jul-2019,PAR-15-178,5T32MH020068-19,5,T32,MH,20068,19,,"VAN'T VEER, ASHLEE V",1-Jul-1999,31-Jul-2021,Special Emphasis Panel (ZNS1-SRB-B (48)),,1876238,"LIPSCOMBE, DIANE  ","SHEINBERG, DAVID L",1,NEUROSCIENCES,1785542,US,41.828145,-71.401161,1003201,BROWN UNIVERSITY,PROVIDENCE,RI,SCHOOLS OF MEDICINE,02912-9002,UNITED STATES,,1-Aug-2019,31-Jul-2020,242,Training; Institutional,2019,NIMH,228830,11906,240736,
Mental Health;Neurosciences,Neurosciences;pre-doctoral;Training Programs;,Interdisciplinary Predoctoral Neuroscience Training Program,PUBLIC HEALTH RELEVANCE:  This is a broadly based predoctoral training program in Neuroscience. We provide individualized; high quality training to predoctoral students interested in pursuing scientific research careers in the biological and biomedical sciences. This training grant would support students in their first two years of graduate studies; before they start their dissertation research. We request 8 predoctoral training slots for students in their first two year of our program.,NIMH,9743214,19-Jul-2019,PAR-15-178,5T32MH020068-19,5,T32,MH,20068,19,,"VAN'T VEER, ASHLEE V",1-Jul-1999,31-Jul-2021,Special Emphasis Panel (ZNS1-SRB-B (48)),,1876238,"LIPSCOMBE, DIANE  ","SHEINBERG, DAVID L",1,NEUROSCIENCES,1785542,US,41.828145,-71.401161,1003201,BROWN UNIVERSITY,PROVIDENCE,RI,SCHOOLS OF MEDICINE,02912-9002,UNITED STATES,,1-Aug-2019,31-Jul-2020,242,Training; Institutional,2019,NINDS,137298,7144,144442,
Assistive Technology;Behavioral and Social Science;Bioengineering;Biomedical Imaging;Brain Disorders;Clinical Research;Depression;Epilepsy;Mental Health;Mental Illness;Mind and Body;Neurodegenerative;Neurosciences;Patient Safety;Rehabilitation,Abstinence;Address;Adult;Antidepressive Agents;base;Base of the Brain;Biological Markers;Brain;brain behavior;Clinical;Clinical Protocols;Cognitive;cognitive neuroscience;cognitive task;Cognitive Therapy;Collaborations;Computer Simulation;computerized data processing;Corpus striatum structure;Coupled;Data;data mining;Data Set;Deep Brain Stimulation;Depressed mood;design;Development;Devices;disability burden;Disease;Distant;Dose;Economic Burden;Elderly;electric field;Electroconvulsive Therapy;Electroencephalography;Electromyography;Electrophysiology (science);Engineering;Enrollment;Equipment;Evoked Potentials;executive function;Exposure to;falls;Focal Seizure;Functional disorder;Functional Magnetic Resonance Imaging;Generations;Goals;Graph;healthy volunteer;Height;image guided;Imaging Techniques;improved;Individual;Institutional Review Boards;inter-individual variation;Intervention;Intramural Research Program;Investigational Therapies;Ketamine;Laboratories;Machine Learning;magnetic field;magnetic seizure therapy;Major Depressive Disorder;Measurement;Measures;Mental Depression;Mental disorders;millisecond;mind control;Mining;Mission;Modeling;Motor;Multimodal Imaging;multimodality;National Institute of Drug Abuse;neural circuit;neurofeedback;neurogenesis;neuroimaging;neuronal circuitry;Neuronal Plasticity;Neuronavigation;Neurons;neurophysiology;neuropsychiatric disorder;neuroregulation;Neurosciences;neurotrophic factor;new technology;next generation;Nicotine Dependence;Nicotine Withdrawal;novel;Nurse's Role;Participant;Patients;Pattern;Physiologic pulse;Physiology;Population;Pre-Clinical Model;procedure safety;Procedures;protocol development;Protocols documentation;Psychiatry;Psychology;Psychopharmacology;Psychotherapy;recruit;Research;Research Personnel;Research Project Grants;response;Rest;reward processing;risk benefit ratio;Robotics;Safety;Scalp structure;Seizures;Services;Short-Term Memory;side effect;signal processing;single episode major depressive disorder;Smoker;Source;Specificity;Substance Withdrawal Syndrome;Symptoms;Synapses;Task Performances;Technology;Testing;Therapeutic;therapy development;Time;tool;tool development;Training;Transcranial magnetic stimulation;U-Series Cooperative Agreements;United States National Institutes of Health;Withdrawal Symptom;Work;,Non-invasive Neuromodulation Unit (NNU),n/a,NIMH,10011378,,,1ZIAMH002955-04,1,ZIA,MH,2955,4,,Unavailable,,,,,14771945,"LISANBY, SARAH ",Not Applicable,n/a,Unavailable,,,,,,NATIONAL INSTITUTE OF MENTAL HEALTH,,,Unavailable,,,,,,,Intramural Research,2019,NIMH,,,3375712,
No NIH Category available.,Algorithms;Animal Model;Antibodies;Antibody Repertoire;anticancer research;Apoptosis;Autophagocytosis;Bar Codes;base;beta catenin;Biological Assay;Budgets;Cancer Center;Cancer Center Support Grant;Capital;career development;Cell Line;Cell surface;Cells;Cleaved cell;Client;Collaborations;Communities;Complement;Computer software;computerized data processing;Contracts;cost effective;Cultured Cells;Custom;Data;Data Analyses;data management;data quality;Development;Disease;DNA;DNA Repair;Dot Immunoblotting;Ensure;Environment;Epithelial;Epithelium;Equipment;Faculty;FRAP1 gene;functional status;Funding;Gene Expression;Generations;Genomics;Grant;Immunoblot Analysis;Immunooncology;improved;Individual;innovation;Institution;Integrins;International;Journals;Label;Location;malignant breast neoplasm;Malignant Female Reproductive System Neoplasm;Malignant Neoplasms;MAP Kinase Gene;Measures;Mediating;member;Mesenchymal;Messenger RNA;Metabolism;nano-string;Nature;NCI-Designated Cancer Center;neoplastic cell;Noise;novel strategies;operation;Pathway interactions;Patients;Peer Review;Performance;Phase;Post-Translational Protein Processing;Principal Investigator;Procedures;Process;programs;Protein Array;Protein Array Analysis;protein expression;Proteins;Proteomics;Publications;Pyroxylin;Quality Control;receptor;Receptor Protein-Tyrosine Kinases;Reporting;Reproducibility of Results;Research;Research Personnel;Resources;RNA;RNA Probes;Robotics;Sampling;Services;Signal Pathway;Signal Transduction;single molecule;Slide;Solid Neoplasm;Space Perception;Specialist;Spectrophotometry;Stains;System;Systems Biology;Technology;The Cancer Genome Atlas;Therapeutic;Time;Time trend;transcriptome sequencing;Transforming Growth Factor alpha;tumor;Tumor Tissue;ultraviolet;Update;Variant;,13 Functional Proteomics Reverse Phase Protein Array Core,n/a,NCI,9997809,6-Jul-2020,PAR-17-095,5P30CA016672-44,5,P30,CA,16672,44,,Unavailable,,,Subcommittee A - Cancer Centers (NCI-A) ,5715,1977891,"LU, YILING ",Not Applicable,9,Unavailable,800772139,US,29.706319,-95.397195,578407,UNIVERSITY OF TX MD ANDERSON CAN CTR,HOUSTON,TX,Domestic Higher Education,77030-4009,UNITED STATES,,1-Jul-2020,30-Jun-2021,,Research Centers,2020,,180901,108541,,288947
No NIH Category available.,Address;Adverse effects;Area;arm;Back;base;biomaterial compatibility;Brain;brain machine interface;Caliber;Chronic;Clinical;Collaborations;Communication;Coupled;Data;data exchange;design;Development;Device or Instrument Development;Devices;dexterity;Electric Capacitance;Electric Stimulation Therapy;Electrical Engineering;Electronics;Engineering;Feedback;Fingers;Forearm;Frequencies;functional electrical stimulation;functional independence;grasp;Hand;Hand functions;healing;Human;Human body;Human Characteristics;Humidity;Implant;implantable device;implanted sensor;in vivo;Individual;Injury;innovation;Knowledge;laboratory experience;Limb structure;Macaca;Magnetic Resonance;Magnetism;Medical Device;Monitor;Motor;Motor output;Movement;Muscle;neural stimulation;neuromuscular stimulation;new technology;nonhuman primate;novel;novel strategies;Operative Surgical Procedures;Output;Paralysed;Pathway interactions;Performance;Physiological;Process;prototype;radio frequency;Regression Analysis;relating to nervous system;Reporting;Research Personnel;Resolution;restoration;robotic device;Robotics;Rogaine;seal;sensor;Sensory;sensory feedback;signal processing;Signal Transduction;Silicon Dioxide;Skin;somatosensory;Spinal cord injury;Statistical Models;Stimulus;Stress;subcutaneous;Subcutaneous Tissue;success;Surface;Surgeon;System;Tactile;Technology;Testing;Time;Touch sensation;treatment strategy;Vision;Wireless Technology;Work;Wrist;,An implantable wireless tactile feedback system,PROJECT NARRATIVERecent studies in individuals with chronic spinal cord injury have demonstrated the ability to reanimate aparalyzed hand through the use of brain-controlled muscle stimulation. A critical barrier to regaining fulldexterity with this strategy is the absence of a sense of touch after paralysis. Our project aims to develop animplantable; wireless system for detecting forces acting on the hand and fingers and transmitting them back tothe brain to ultimately achieve a high-performance; closed-loop reanimation treatment for paralysis.,NINDS,9920792,23-Mar-2020,PAR-18-206,5R01NS107550-02,5,R01,NS,107550,2,,"KUKKE, SAHANA NALINI",1-May-2019,31-Mar-2023,"Bioengineering of Neuroscience, Vision and Low Vision Technologies Study Section (BNVT) ",,2108984,"LUCAS, TIMOTHY H",Not Applicable,3,NEUROSURGERY,42250712,US,39.952982,-75.192768,6463801,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,19104-6205,UNITED STATES,,1-Apr-2020,31-Mar-2021,853,Research Projects,2020,NINDS,400408,223894,624302,
No NIH Category available.,Abdomen;Academic Medical Centers;Anatomy;Anus;base;Basic Science;Behavior Therapy;Behavioral Research;Board Certification;California;Clinic;Clinical;Clinical and Translational Science Awards;clinical center;Clinical Research;clinical research site;Clinical Trials;Clinical Trials Network;Collaborations;collaborative approach;Communities;Comparative Effectiveness Research;comparative effectiveness trial;Conduct Clinical Trials;cost effective;Country;Data;Data Analyses;Data Coordinating Center;design;Development;Diagnosis;Discipline of obstetrics;Economic Burden;Educational process of instructing;Enrollment;Environment;Epidemiology;epidemiology study;Equilibrium;experience;Fellowship;Female;follow-up;Fostering;Funding;Future;Goals;Health Maintenance Organizations;Human;Human Resources;improved;Incontinence;Information Dissemination;innovation;Institution;Interdisciplinary Study;Journals;Knowledge;Laboratories;Leadership;Maintenance;Master's Degree;Medical center;Medicine;member;minimally invasive;Modeling;multidisciplinary;novel;Operative Surgical Procedures;Outcome;patient population;Patients;Pelvic Floor Disorders;Pelvic floor structure;Pelvis;Physicians;Physiology;Population;Population Heterogeneity;programs;Protocols documentation;Ptosis;Questionnaires;racial and ethnic;racial diversity;randomized trial;reconstruction;Reconstructive Surgical Procedures;Recording of previous events;recruit;Research;research facility;Research Institute;Research Personnel;Research Project Grants;Research Subject Recruitments;Resources;retention rate;Robotics;Site;skills;Source;statistics;success;Surgical Management;Surveys;tissue repair;Training;Training Programs;Translational Research;treatment strategy;Underrepresented Populations;United States National Institutes of Health;Universities;Urethra;Urodynamics;Urologist;Uterine Prolapse;Vagina;Visit;Woman;Work;,Pelvic Floor Disorders Network Clinical Site Application: The San Diego Pelvic Floor Consortium,PROJECT NARRATIVE Pelvic Floor Disorders (PFD) negatively impact millions of women and are major a source of personaland economic burden. Identification of safe and cost-effective treatment strategies for PFD often requireslarge-scale; multi-centered; randomized trials to quickly and accurately assess outcomes in a diversepopulation. The investigators in the San Diego Pelvic Floor Consortium; in collaboration with the other sitesand data coordinating center; are poised to remain leaders in development of innovative research ideas;maintenance of high levels of recruitment and retention of subjects in clinical trials; and presentation of resultsin prestigious venues.,NICHD,9980474,19-Jun-2020,RFA-HD-16-012,5UG1HD054214-15,5,UG1,HD,54214,15,,"HALVORSON, LISA M",11-Sep-2006,30-Jun-2021,Special Emphasis Panel (ZHD1-DSR-L (50)1),,7895938,"LUKACZ, EMILY S. ","MENEFEE, SHAWN A",52,OBSTETRICS & GYNECOLOGY,804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF MEDICINE,92093-0934,UNITED STATES,,1-Jul-2020,30-Jun-2021,865,Other Research-Related,2020,NICHD,204238,43297,247535,
No NIH Category available.,Action Research;Address;Algorithms;arm;arm function;Articular Range of Motion;chronic stroke;Clinical;Clinical Trials;clinically significant;compare effectiveness;Control Groups;conventional therapy;cost;Development;Device or Instrument Development;Devices;exoskeleton;experimental group;Fingers;follow-up;Friction;Goals;grasp;Head;Home environment;Hour;Impairment;improved;improved outcome;indexing;Intervention;Joints;light weight;Limb structure;Measures;Methods;Modification;Motor;Motor Activity;Movement;Neurorehabilitation;novel;Occupational Therapist;Pattern;Phase;post stroke;Protocols documentation;public health relevance;Randomized;Research;Robot;robot exoskeleton;robot therapy;robotic training;Robotics;Shoulder;Speed;Spinal cord injury patients;Stroke;Testing;Thumb structure;Training;Upper Extremity;Video Games;virtual;wearable device;Wheelchairs;Work;,Task-specific upper-extremity robotic training for stroke neurorehabilitation,PUBLIC HEALTH RELEVANCE   The overall goal is to further develop a robotic exoskeleton for neurorehabilitation of arm function after stroke. We previously developed a novel training protocol that combined the ARMin and HandSOME exoskeletons. This is one of only a few arm exoskeletons that allow coordinated whole limb training in reach and grasp tasks with both virtual and real objects. However; the robot has a very large inertia and friction; and only gross grasp patterns are available. In development work; we will significantly modify the AMRin and HandSOME to deliver a state-of-the-art lightweight robotic exoskeleton capable of retraining a wide range of functional activities. In the subsequent testing phase; a clinical trial will examine the effects o robotic training in chronic stroke subjects.         ,VA,9857486,27-Jan-2020,RFA-RX-15-003,5I01RX001966-05,5,I01,VA,1966,5,,Unavailable,1-Mar-2016,31-Aug-2020,Rehabilitation Engineering & Prosthetics/Orthotics  (RRD5) ,,8774023,"LUM, PETER S.",Not Applicable,98,Unavailable,129913026,US,38.904729,-77.016304,481002,U.S. DEPT/VETS AFFAIRS MEDICAL CENTER,WASHINGTON,DC,Independent Hospitals,20422-0001,UNITED STATES,,1-Mar-2020,31-Aug-2020,999,Research Projects,2020,,,,,
No NIH Category available.,Address;Affect;Alexia;Anatomy;Area;area striata;Ballistics;base;behavior measurement;behavior test;Behavioral Assay;blind;Brain;Brain Injuries;Brain region;Bypass;Cognitive;cognitive development;Data;Dorsal;Eating;evidence base;extrastriate;extrastriate visual cortex;Face;fovea centralis;Functional Magnetic Resonance Imaging;Goals;Grain;grasp;Imaging Device;Impairment;information processing;innovation;Investigation;Ischemic Stroke;Knowledge;Left;lens;Lesion;Literature;Location;Machine Learning;Measures;Methods;Modeling;Motor;multisensory;Neural Pathways;neuroprosthesis;Neuropsychology;Occipital lobe;Parahippocampal Gyrus;Parietal;Parietal Lobe;Participant;Pathway interactions;Patients;Population;post stroke;Process;programs;Property;Prosopagnosia;Reading;relating to nervous system;Research;Research Activity;Robotics;Role;Semantics;Sensory;sensory integration;Stimulus;Stream;Stroke;Structure of supramarginal gyrus;Temporal Lobe;Testing;theories;tool;Vision;Visual;Visual Cortex;Visual Fields;visual information;visual motor;visual object processing;Visual Pathways;visual process;visual processing;Visual system structure;Work;,Access to parietal action representations after stroke lesions in visual cortex,Project NarrativeFunctional MRI and behavioral testing are used to test hypotheses about how strokes affecting occipital andtemporal cortex disrupt access to action representations in parietal cortex. This research will advanceunderstanding of how the brain processes visual information in support of everyday actions.,NEI,9868307,19-Mar-2020,PA-18-351,5R01EY028535-02,5,R01,EY,28535,2,,"WIGGS, CHERI",1-Mar-2019,28-Feb-2023,Cognition and Perception Study Section (CP) ,,10207201,"MAHON, BRADFORD ZACK ","SAHIN, BOGACHAN ",18,PSYCHOLOGY,52184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,SCHOOLS OF ARTS AND SCIENCES,15213-3815,UNITED STATES,,1-Mar-2020,28-Feb-2021,867,Research Projects,2020,NEI,359290,63717,423007,
No NIH Category available.,Antibodies;Bar Codes;Base Pairing;billboard;Binding;Binding Proteins;Binding Sites;Biological Assay;Cell Line;cell type;Cells;Chromatin;chromatin immunoprecipitation;Chromatin Remodeling Factor;Collection;Complex;cost;cost efficient;crosslink;Data;Data Collection;Data Set;deep sequencing;design;Detection;Development;Diagnostic;Disease;DNA;DNA Polymerase II;DNA Sequence;DNA-Binding Proteins;DNA-protein crosslink;Enhancers;epigenome;Event;experimental study;Formaldehyde;Gene Expression Regulation;Genes;genetic regulatory protein;Genome;genome-wide;Genomics;Goals;Grain;Health;HepG2;Human;Human Cell Line;human embryonic stem cell;Human Genome;human model;in vivo;Individual;insight;K-562;Libraries;Location;Machine Learning;Maps;Mechanics;Modeling;Multiprotein Complexes;Natural Language Processing;Nucleosomes;organizational structure;Pattern;Pattern Recognition;Physiological;Process;Production;promoter;protein complex;protein profiling;Proteins;Protocols documentation;Publishing;recruit;Regulator Genes;Repressor Proteins;Resolution;response;RNA;Robotics;Running;Sampling;Site;spatial relationship;Structure;syntax;System;Tissues;Transcript;transcription factor;Uncertainty;,Genome-wide structural organization of proteins within human gene regulatory complexes,Proteins that bind throughout the human genome control the genes that govern human health. Preciseidentification of the positional organization of these proteins within complexes will inform us as to themechanics of their action; and mis-action when diseased. This project will provide that high-resolution view.,NIGMS,9840489,30-Dec-2019,PA-16-160,5R01GM125722-03,5,R01,GM,125722,3,,"KRASNEWICH, DONNA M",19-Jan-2018,31-Dec-2021,"Genomics, Computational Biology and Technology Study Section (GCAT) ",,8616002,"MAHONY, SHAUN AENGUS ","PUGH, B FRANKLIN",12,BIOCHEMISTRY,3403953,US,40.809096,-77.864287,1524202,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,UNIVERSITY PARK,PA,SCHOOLS OF ARTS AND SCIENCES,16802-7000,UNITED STATES,,1-Jan-2020,31-Dec-2020,859,Research Projects,2020,NIGMS,210000,109962,319962,
Acquired Cognitive Impairment;Aging;Alzheimer's Disease;Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD);Assistive Technology;Basic Behavioral and Social Science;Behavioral and Social Science;Bioengineering;Brain Disorders;Caregiving Research;Clinical Research;Dementia;Depression;Machine Learning and Artificial Intelligence;Mental Health;Networking and Information Technology R&D (NITRD);Neurodegenerative;Neurosciences,Address;Age;Alzheimer's Disease;Alzheimer's disease related dementia;Alzheimer?s disease biomarker;American;Amyloid beta-Protein;Artificial Intelligence;Assisted Living Facilities;Attention;base;Behavior;Biological;Biological Markers;Blood;brain health;Brain-Derived Neurotrophic Factor;Caregivers;Caring;Cognitive;common symptom;Communication;Companions;Computer software;cost;Cost of Illness;Dementia;design;Development;Devices;Disease Management;Effectiveness;Elderly;Emotional;Emotions;Empathy;Environment;Esthetics;Evaluation;Exercise;experience;Face;Facial Expression Recognition;Family Caregiver;Family member;Feedback;Fostering;geriatric depression;Goals;Health;Health Personnel;Healthcare;Healthcare Industry;Hobbies;Home environment;Impaired cognition;improved;Independent Living;Individual;innovative technologies;Intelligence;interest;Internet of Things;Intervention;Interview;Life;Loneliness;Measures;Memory Loss;Mental Depression;Mental Health;mental state;Methods;Modeling;Moods;novel;Outcome;Outcome Measure;Participant;Patients;performance tests;Personal Satisfaction;Persons;Phase;Physical activity;Pilot Projects;Population;Positioning Attribute;Qualitative Evaluations;Quality of life;Quantitative Evaluations;Questionnaires;repetitive behavior;Reporting;Research;Robot;robot assistance;Robotics;Running;Saints;satisfaction;Serotonin;Short-Term Memory;Small Business Innovation Research Grant;social;social assistive robot;Social Interaction;success;Surveys;Symptoms;System;tau-1;Taxes;Technology;Testing;tool;Universities;Well in self;Work;,Development of Ryan Companion Robot for Assisting Elderly People with Alzheimer's Disease,The goal of the project is to develop a socially assistive robot companionbot (Ryan) for improving the quality oflife of persons with Alzheimer's disease (AD). Americans suffering from AD cost the nation $236 billionannually with projected annual costs of over $1 trillion by 2050. Successful development of Ryan will improvepatient well-being; make caregivers more efficient and effective; and provide significant financial benefits to thehealthcare industry; and assist families and caregivers who are looking for ways to better assist older adultswith AD.,NIA,9950170,26-Jul-2019,PAR-17-108,4R44AG059483-02,4,R44,AG,59483,2,,"FAZIO, ELENA",1-Aug-2018,31-Jul-2021,Special Emphasis Panel (ZRG1-ETTN-G (12)B),,11355283,"MAHOOR, MOHAMMAD ",Not Applicable,4,Unavailable,79574892,US,,,10047239,"DREAM FACE TECHNOLOGIES, LLC",LONE TREE,CO,Domestic For-Profits,80124-3135,UNITED STATES,,1-Aug-2019,31-Jul-2020,866,SBIR-STTR,2019,NIA,,,667627,
No NIH Category available.,active control;Address;Affective;Age;Algorithms;Alzheimer's Disease;Alzheimer's disease related dementia;American;Artificial Intelligence;Attention;base;Behavioral Symptoms;Caregivers;Caring;Clinical;Cognition;Cognitive;cognitive ability;cognitive rehabilitation;common symptom;Communication;community living;Computer Vision Systems;Computers;Control Groups;cost;Cost of Illness;Dementia;design;Detection;Development;Devices;Diagnosis;Disease Management;Effectiveness;Elderly;Emotional;Emotions;Engineering;Environment;Evaluation;exergame;experience;Face;Facial Expression Recognition;Family Caregiver;Family member;Feedback;Financial Hardship;Frequencies;Frustration;Geriatric Psychiatry;Goals;Health care facility;Health Personnel;Healthcare;Healthcare Industry;healthy aging;Hobbies;Hour;Human;Human body;Impaired cognition;improved;Individual;innovative technologies;insight;Institutes;Instruction;Intelligence;interest;Internet of Things;Knowledge;Lead;Learning;Life;Long-Term Care for Elderly;Machine Learning;Measures;Memory;Memory Loss;Mental Depression;Methods;Monitor;Moods;Motor Skills;multidisciplinary;Natural Language Processing;next generation;novel;Participant;Patients;Periodicity;Personal Satisfaction;Persons;Phase;Physical activity;Pilot Projects;Play;Population;prototype;Psyche structure;Psychological reinforcement;Quality of life;Randomized;repetitive behavior;Research;Research Personnel;Robotics;Savings;Scientist;Short-Term Memory;skeletal movement;skills;Sleep disturbances;Small Business Innovation Research Grant;social;social assistive robot;social relationships;Social Well-Being;success;Surveys;Symptoms;Taxes;Technology;Testing;Time;tool;Voice;Well in self;,Development of Serious Games and Physical Activities Instructed by a Social Robot for Improving the Well-being of Elderly Individuals with Alzheimer's Disease and Dementia,The goal of the project is to develop serious games and physical activities co-played by a socially assistiverobot companionbot (Ryan) for improving the quality of life of persons with Alzheimer?s disease (AD).Americans suffering from AD cost the nation $236 billion annually with projected annual costs of over $1 trillionby 2050. Successful development of Ryan will improve patient well-being; make caregivers more efficient andeffective; and provide significant financial benefits to the healthcare industry; and assist families and caregiverswho are looking for ways to better assist older adults with AD.,NIA,10020305,5-Jun-2020,PAS-18-187,5R44AG066439-02,5,R44,AG,66439,2,,"PLUDE, DANA JEFFREY",30-Sep-2019,31-May-2021,Special Emphasis Panel (ZRG1-RPHB-Y (12)B),,11355283,"MAHOOR, MOHAMMAD ",Not Applicable,4,Unavailable,79574892,US,,,10047239,"DREAM FACE TECHNOLOGIES, LLC",LONE TREE,CO,Domestic For-Profits,80124-3135,UNITED STATES,,15-Jun-2020,31-May-2021,866,SBIR-STTR,2020,NIA,,,536476,
No NIH Category available.,Area;Biological;biological systems;Biology;biophysical analysis;Cancer Center;Cancer Center Support Grant;Chemistry;Collaborations;Communication;Complex;Computer software;Contract Services;Core Facility;cost effectiveness;Cryoelectron Microscopy;Crystallization;Data Analyses;Detection;detector;Devices;Doctor of Philosophy;Electrons;Employee;Equipment;equipment training;Experimental Designs;Faculty;Feedback;Fluorescence;Goals;Grant;Image;Incubators;Individual;Infrastructure;Institutes;instrument;instrumentation;interdisciplinary approach;Interferometry;Laboratories;Leadership;Length;Ligands;Maintenance;Malignant Neoplasms;meetings;member;Mission;Molecular;Nuclear Magnetic Resonance;operation;Optics;Phase;programs;Protein Analysis;protein protein interaction;protein structure function;Proteins;Publications;repaired;Research;Resource Sharing;Resources;Robotics;Roentgen Rays;Science;Scientist;Services;solid state;solid state nuclear magnetic resonance;Spectrometry;Spectrophotometry;structural biology;Structure;Surface Plasmon Resonance;Surveys;Technology;Time;Titan;tomography;Visualization;Work;X ray diffraction analysis;X-Ray Crystallography;,Structural Biology,n/a,NCI,9934920,29-May-2020,PAR-17-095,2P30CA030199-39,2,P30,CA,30199,39,,Unavailable,,,Special Emphasis Panel (ZCA1-RTRB-Y (J1)),5579,3152673,"MARASSI, FRANCESCA M",Not Applicable,49,Unavailable,20520466,US,32.903503,-117.243803,1180101,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,LA JOLLA,CA,Research Institutes,92037-1005,UNITED STATES,,27-May-2020,30-Apr-2021,,Research Centers,2020,,130956,124408,,255364
No NIH Category available.,Academia;Address;Advanced Development;anticancer research;Antineoplastic Agents;Area;base;bioimaging;biomarker development;biomarker discovery;Biomedical Engineering;Biomedical Technology;Biophotonics;Biosensing Techniques;Biosensor;c new;Cancer Biology;Cancer Center;Cancer Center Support Grant;Cancer Detection;Cancer Diagnostics;Cancer Grant Supplements (P30);cancer therapy;Cardiotoxicity;catalyst;Cherry - dietary;Clinical;Clinical Research;Clinical Trials;college;commercialization;Communities;Development;Devices;Diagnosis;Diagnostic;Discipline;Doctor of Philosophy;Drug Delivery Systems;Education;Educational workshop;Emerging Technologies;Engineering;Ensure;Faculty Recruitment;first-in-human;Fluorescence Spectroscopy;Funding;Goals;Grant;Human;Image;Imaging Device;imaging system;Imaging technology;improved;Industry;Industry Collaboration;Infrastructure;innovation;Internal Medicine;Intervention;Joints;Knowledge;Label;Laboratories;Lasers;Light;Malignant Neoplasms;Mechanics;Medical;medical schools;Medicine;meetings;member;Methods;Microscopy;Molecular Probes;Molecular Target;Morbidity - disease rate;mortality;Nanotechnology;Near-Infrared Spectroscopy;Neurosurgical Procedures;new technology;novel;Operative Surgical Procedures;Organ;Patients;Peer Review;Phase;physical science;Physics;Play;Positron-Emission Tomography;programs;Publications;quantitative imaging;Radiation Oncology;Radiology Specialty;radiotracer;Raman Spectrum Analysis;recruit;Research;research clinical testing;research study;Research Support;Resource Sharing;Resources;Robotics;Role;Schools;Science;Scientist;Series;System;Technology;Testing;theranostics;tool;Training Programs;Translations;Ultrasonography;Veterinary Medicine;Veterinary Schools;veterinary science;,Biomedical Technology Program,n/a,NCI,9993310,1-Jul-2020,PAR-13-386,5P30CA093373-18,5,P30,CA,93373,18,,Unavailable,,,Subcommittee A - Cancer Centers (NCI-A) ,8705,6647839,"MARCU, LAURA ",Not Applicable,3,Unavailable,47120084,US,38.543675,-121.729989,577503,UNIVERSITY OF CALIFORNIA AT DAVIS,DAVIS,CA,Domestic Higher Education,95618-6153,UNITED STATES,,1-Jul-2020,30-Jun-2021,,Research Centers,2020,,21216,12094,,33310
