"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
73,"NCT01640158","Broad-spectrum Cognitive Remediation: Effects of a Brain Plasticity-based Program in Mild Traumatic Brain Injury","BRAVE","Completed","No Results Available","Traumatic Brain Injury","Other: Computerized Plasticity-based Adaptive Cognitive Training|Other: Commercially available computerized training","Change in Cognitive Function|Change in Functional Performance|Change in Mental Health-Related Quality of Life|Change in Physical Health-Related Quality of Life|Change in Depressive Symptoms|Change in PTSD Symptoms|Change in Executive Function Symptoms|Change in Cognitive Symptoms|Change in Neurobehavioral Symptoms|Change in TBI Functional Status|Change in Immediate Verbal Memory|Change in Delayed Verbal Memory|Change in Immediate Visual Memory|Change in Delayed Visual Memory|Change in Short-Term Verbal Memory Span|Change in Short-Term Visual Memory Span|Change in Inhibition of Reflexive Saccade|Change in Response Inhibition|Change in Cognitive Flexibility","Posit Science Corporation|Congressionally Directed Medical Research Programs|Walter Reed National Military Medical Center|Tripler Army Medical Center|VA Connecticut Healthcare System|VA Boston Healthcare System|Michael Debakey Veterans Affairs Medical Center","All","18 Years to 50 Years   (Adult)","Not Applicable","86","Industry|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BPI-1002-11","September 2013","March 2, 2017","March 2, 2017","July 13, 2012",,"April 16, 2019","Posit Science Corporation, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT01640158"
74,"NCT00694889","Randomized Clinical Trial of Intensive Computer-based Cognitive Remediation in Recent-onset Schizophrenia",,"Completed","No Results Available","Schizophrenia","Behavioral: Neuroadaptive cognitive training|Behavioral: Computer games","Cognitive Performance, as measured by a neuropsychological battery|Symptom profile, as measured by clinical interviews","University of California, San Francisco|Stanley Medical Research Institute","All","12 Years to 35 Years   (Child, Adult)","Phase 1|Phase 2","144","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","06TAF-972","August 2007","February 2015","February 2015","June 11, 2008",,"May 16, 2016","University of California, Davis, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT00694889"
75,"NCT00319943","Computer-Based Therapy for Mild Cognitive Impairment",,"Completed","No Results Available","Mild Cognitive Impairment","Procedure: Computer-based training for Mild Cognitive Impairment (MCI)","The study investigates changes in a neuropsychological assessment battery pre-randomization|and upon the completion of training.|Early evaluations will be conducted from brain imaging; specifically, date|obtained via positron emission tomography (PET), magnetoencephalography (MEG),|electroencephalography (EEG), and functional magnetic resonance imaging (fMRI)|studies.","Posit Science Corporation|University of California, San Francisco|University of California, Davis|Stanford University","All","65 Years to 90 Years   (Older Adult)","Phase 1","48","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","OUT-108-2005","September 2004",,"July 2006","April 27, 2006",,"April 27, 2006","University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT00319943"
76,"NCT03730792","Success & Health Impacts For Transit Drivers During Onboarding","SHIFTOnboard","Recruiting","No Results Available","Obesity","Behavioral: SHIFT Onboard Intervention","Change from baseline in body weight at 12 and 24 months|Body Mass Index|Change from baseline in percent body fat|Change from baseline in self-reported fruit and vegetable intake at 12 and 24 months|Change from baseline in self-reported consumption of high fat foods at 12 and 24 months.|Change from baseline in self-reported sugary food and drink consumption at 12 and 24 months|Change from baseline in self-reported fast food consumption.|Change from baseline in self-reported physical activity at 12 and 24 months|Change from baseline in actigraphically measured physical activity at 12 and 24 months|Change from baseline in self-reported sleep quality at 12 and 24 months|Change from baseline in self-reported sleep quantity at 12 and 24 months|Change from baseline in actigraphically measured sleep quality at 12 and 24 months|Change from baseline in actigraphically measured sleep quantity at 12 and 24 months|Changes in job role conflict|Changes in perceived acceptance by others|Changes in job-related self-efficacy|Changes in job satisfaction|Changes in intention to remain at job|Economic cost-benefit factors|Absenteeism|Job turnover|Bus collisions|Injuries","Oregon Health and Science University|National Heart, Lung, and Blood Institute (NHLBI)","All","21 Years and older   (Adult, Older Adult)","Not Applicable","284","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","3061|2R01HL105495-06A1","July 15, 2019","January 31, 2023","January 31, 2023","November 5, 2018",,"February 6, 2020","Oregon Health & Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT03730792"
77,"NCT01612949","Facial Analysis to Classify Difficult Intubation",,"Recruiting","No Results Available","Difficult Intubation","Other: photographing head and neck","Computer algorithm to predict difficulty of endotracheal intubation","Wake Forest University Health Sciences","All","18 Years to 99 Years   (Adult, Older Adult)",,"3500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00036442","May 2012","December 2021","December 2021","June 6, 2012",,"June 2, 2020","Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01612949"
78,"NCT01781000","Cerebral Reorganization in Schizophrenia",,"Completed","No Results Available","Schizophrenia","Behavioral: Brain Fitness & Brain Training- Posit Science|Behavioral: Facial Affect Training- FAT|Behavioral: Treatment as usual","change from baseline at post-intervention (4-weeks) and 3-months in each to the primary outcome measures: neuropsychological test scores (MCCB), MEG alpha oscillations|change from baseline in global functioning (GAF score) at 4 weeks and 3 months","University of Konstanz","All","18 Years to 60 Years   (Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","RO805/142","December 2011","April 2014","April 2014","January 31, 2013",,"November 4, 2014","University of Konstanz, Konstanz, Baden Württemberg, Germany",,"https://ClinicalTrials.gov/show/NCT01781000"
79,"NCT01303575","Internet-Based Sexual Health Education for Middle School Native American Youth","IYG-AI/AN","Completed","No Results Available","Sexually Transmitted Diseases|Pregnancy|HIV Infections","Behavioral: HIV, STI and Pregnancy Prevention Curriculum|Behavioral: Control Curricula","Delay onset of sexual activity|Reduce alcohol/drug use|Reduce instances of sexual activity|Decrease the number of sexual partners|Condom use during sexual activity|Contraceptive use while sexually active|Prevalence of sexually transmitted infections|Increase sexual knowledge|Changes in sexual beliefs|Changes in attitudes toward sexual activity|Changes in perception of sexual beliefs among peers|Increased self-efficacy for refusal skills|Increased self-efficacy for condom use|Increased avoidance of risky situations|Changes in perceived norms about sexual activity|Changes in reasons for or against having sex|Changes in intentions to have/abstain from sex","The University of Texas Health Science Center, Houston|Alaska Native Tribal Health Consortium|Inter Tribal Council of Arizona|Northwest Portland Area Indian Health Board","All","12 Years to 14 Years   (Child)","Not Applicable","574","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","5U48DP001949","September 2010","January 2015","January 2015","February 24, 2011",,"June 23, 2015","Alaska Native Tribal Health Consortium, Anchorage, Alaska, United States|Inter Tribal Council of Arizona, Inc., Phoenix, Arizona, United States|Northwest Portland Area Indian Health Board, Portland, Oregon, United States|University of Texas Health Science Center, Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01303575"
80,"NCT00782444","Computer Navigation vs Conventional Technique in Knee Arthroplasty","CAOS","Active, not recruiting","No Results Available","Knee Osteoarthritis|Rheumatoid Arthritis","Procedure: Computer navigated knee replacement|Procedure: Conventional knee replacement","longevity of the implant|Function of the knee|Bleeding|complications","Haukeland University Hospital|The Research Council of Norway","All","50 Years to 85 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2007/12587","January 2009","December 2020","December 2020","October 31, 2008",,"April 7, 2020","Haukeland university hospital, Bergen, Norway|Haugesund hospital, Haugesund, Norway|Haugesund sanitetsforenings revmatismesykehus, Haugesund, Norway|Lovisenberg diakonale sykehus, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT00782444"
81,"NCT00549406","Visual Training Program to Improve Balance and Prevent Falls in Older Adults",,"Completed","No Results Available","Accidental Falls|Musculoskeletal Equilibrium","Procedure: computerized visual training|Procedure: computerized word puzzles|Procedure: video-game based visual training","ability to use peripheral vision to recover balance by grasping a handhold|natural gaze and balance-recovery behavior (in responding to a sudden unpredictable balance perturbation while walking in an unfamiliar environment); clinical balance measures; visual-processing measures","Sunnybrook Health Sciences Centre|Ontario Neurotrauma Foundation|Canadian Institutes of Health Research (CIHR)","All","64 Years to 80 Years   (Adult, Older Adult)","Phase 1","33","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2007-PREV-INT-452|CIHR grant# MOP-13355","June 2008","July 2011","February 2012","October 25, 2007",,"December 23, 2014","Centre for Studies in Aging, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00549406"
82,"NCT02058966","Pilot Study of Entacapone for Methamphetamine Abuse",,"Completed","Has Results","Methamphetamine Dependence","Drug: Entacapone|Drug: Methamphetamine|Drug: Placebo","Effect of Entacapone on Methamphetamine-induced Mood|Effect of Entacapone on Subjective Effects of Methamphetamine|Effect of Entacapone on Methamphetamine-induced Stimulation|Cognitive Function","Oregon Health and Science University|Portland VA Medical Center","All","18 Years to 45 Years   (Adult)","Early Phase 1","29","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","8874|1004805|3986","June 2014","June 2016","June 2016","February 11, 2014","September 12, 2019","September 12, 2019","Oregon Health & Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT02058966"
83,"NCT02444715","Computer-Aided Prevention System","CAPSYS","Completed","Has Results","Cerebrovascular Diseases|Stroke|Cardiovascular Diseases|CVD Risk Factors","Behavioral: Standard care|Behavioral: CAPSYS","Change in Systolic Blood Pressure|Change in HDL Level|Change in LDL Level|Change in Triglyceride Level|Change in HbA1c Level|Change in Glycaemia Level|Change in BMI Value|Change in Fruits and Vegetables Consumption|Change in Whole Grain Food Consumption|Change in Sweets Consumption|Change in Duration of Physical Activity|Change in Quality of Life","Lübomira Spassova|Centre Hospitalier du Luxembourg|Luxembourg Institute of Science and Technology","All","20 Years and older   (Adult, Older Adult)","Not Applicable","94","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","CAPSYS-201205/08-1","January 2013","August 2014","August 2014","May 14, 2015","August 24, 2015","February 18, 2016",,,"https://ClinicalTrials.gov/show/NCT02444715"
84,"NCT04048083","Computer-aided and Mental Trainings Induced Plasticity of Sensorimotor Cortex in Patients Born Without Upper Limbs",,"Recruiting","No Results Available","Amelia of Upper Limb","Behavioral: Mental trainings|Behavioral: Computer-aided trainings|Behavioral: Computer-aided and mental trainings|Other: No trainings","Magnetic Resonance Imaging (MRI)|Functional Magnetic Resonance Imaging (fMRI)|Transcranial magnetic stimulation (TMS)|Electroencephalography (EEG)|Near-infrared spectroscopy (NIRS)|Electromyography (EMG)|Mechanomyography (MMG)|Temperature measurements (Temp)","University School of Physical Education in Wroclaw|Wrocław University of Science and Technology|Kessler Foundation|Nencki Institute of Experimental Biology, Warsaw, Poland|Hospital of St. Hedwig in Trzebnica","All","18 Years to 25 Years   (Adult)","Not Applicable","18","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","DEC-2011/03/B/NZ7/00588","March 11, 2014","September 9, 2016","December 2019","August 7, 2019",,"August 7, 2019","University School of Physical Education in Wroclaw, Wroclaw, Lower Silesia, Poland",,"https://ClinicalTrials.gov/show/NCT04048083"
85,"NCT04421365","Brain-Computer Interface in Laryngeal Dystonia",,"Not yet recruiting","No Results Available","Laryngeal Dystonia","Device: neurofeedback brain-computer interface (BCI)","Changes in voice symptoms","Massachusetts Eye and Ear Infirmary","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","2019P001547","April 2021","March 2026","March 2026","June 9, 2020",,"June 9, 2020","Massachusetts Eye and Ear Infirmary, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04421365"
86,"NCT02119364","Working Memory Training for Children With Cerebral Palsy",,"Unknown status","No Results Available","Cerebral Palsy","Other: Working memory training","Spatial span|Verbal working memory","Sorlandet Hospital HF|Helse Sor-Ost","All","7 Years to 15 Years   (Child)","Not Applicable","115","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","2012/2/00 14","October 2013","December 2016","December 2016","April 21, 2014",,"April 21, 2014","Sorlandet Hospital, Arendal, Aust-Agder, Norway",,"https://ClinicalTrials.gov/show/NCT02119364"
87,"NCT03232996","Evaluation of a Computer Game Based Rehabilitation System for Assessment and Treatment of Balance and Gait Impairments in Individuals With Parkinson's Disease.",,"Completed","No Results Available","Parkinson Disease|Parkinson","Other: Computer game based balance and walking rehabilitation for individuals with Parkinson's Disease","Dynamic Standing Balance|Gait Assessment|Unified Parkinson Disease Rating Scale (UPDRS)","University of Manitoba","All","55 Years to 70 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H2017:225","November 1, 2017","April 30, 2019","August 1, 2019","July 28, 2017",,"March 25, 2020","College of Rehabilitation Sciences, University of Manitoba, Winnipeg, Manitoba, Canada",,"https://ClinicalTrials.gov/show/NCT03232996"
88,"NCT02284022","Clinical Validation Protocol for BCI for the Communication of Patients Suffering From Neuromuscular Disorders.","PVCAFM","Completed","No Results Available","Communication|Neuromuscular Disease","Device: Brain computer interface","Bit rate (BR) the amount fo information that flows from the patient to the computer during the spelling session. This criterion is a combination of the number of symbols selected, the accuracy, and the time.|patient satisfaction (visual analogic scale)","Centre d'Investigation Clinique et Technologique 805|Association Française contre les Myopathies (AFM), Paris","All","18 Years and older   (Adult, Older Adult)",,"15","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","14055","October 2014","February 2017","February 2017","November 5, 2014",,"April 20, 2017","Hôpital R. Poincaré, Garches, France",,"https://ClinicalTrials.gov/show/NCT02284022"
89,"NCT01002131","Exact Localisation of Impacted and Supernumerary Teeth by Cone Beam Computer Tomography",,"Completed","No Results Available","Impacted Teeth","Device: CBCT","exact localisation of impacted teeth","Norwegian University of Science and Technology|St. Olavs Hospital","All","Child, Adult, Older Adult",,"61","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","19236","May 2007","April 2009","September 2009","October 27, 2009",,"February 28, 2017","St Olavs Hospital, Trondheim, Norway",,"https://ClinicalTrials.gov/show/NCT01002131"
90,"NCT02861703","Pilot Feasibility Study of an Online Lifestyle Intervention for Overweight Breast Cancer Survivors",,"Completed","No Results Available","Obesity","Behavioral: Online lifestyle intervention","Change in Body Mass Index|Change in Waist Circumference|Change in Quality of Life|Change in Subjective Health|Change in Life Satisfaction|Change in Symptoms of Anxiety and Depression|Change in Body Image|Change in Objectified Body Consciousness|Change in Dietary Intake|Change in 'Intuitive Eating' Habits|Change in Exercise Habits|Change in Self-Efficacy","Sunnybrook Health Sciences Centre|Canadian Breast Cancer Foundation","Female","21 Years and older   (Adult, Older Adult)","Not Applicable","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CBCF-092014","July 2015","July 2018","July 2018","August 10, 2016",,"December 21, 2018","Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02861703"
91,"NCT01422902","Evaluation of a Cognitive Adaptive E-treatment in Schizophrenia-diagnosed Adults","e-CAeSAR","Completed","No Results Available","Schizophrenia","Other: Plasticity-based Cognitive Training|Other: Non-plasticity-based Training","Evaluation of the effects of plasticity-based, adaptive cognitive remediation on cognitive abilities, functional status and quality of life.|Demonstration of equivalency in safety effects reported between treatment groups.","Posit Science Corporation|National Institute of Mental Health (NIMH)","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Industry|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","BPI-1001-11|IRC2MH909833-01","April 2012","March 2015","June 2015","August 25, 2011",,"February 8, 2016","Palo Alto Veteran's Affairs Medical Center, Palo Alto, California, United States|Posit Science Corporation, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT01422902"
92,"NCT02105571","Evaluation of Safety and Health Involvement For Truck Drivers","SHIFT","Completed","No Results Available","Obesity","Behavioral: Intervention","Change from baseline in body weight at 6 and 18 months|Change from baseline in dietary behaviors at 6 and 18 months|Change from baseline in physical activity at 6 and 18 months|Change from baseline in blood pressure at 6 and 18 months|Change from baseline in percent body fat at 6 and 18 months|Change from baseline in blood lipids and lipoproteins at 6 and 18 months|Change from baseline in blood glucose at 6 and 18 months|Change from baseline in sleep and fatigue at 6 and 18 months|Change from baseline in anthropometric measurements at 6 and 18 months|Change from baseline in stress at 6 and 18 months|Change from baseline in social support at 6 and 18 months|Change from baseline in self-efficacy at 6 and 18 months|Change from baseline in strength and fitness at 6 and 18 months|Change from baseline in safety outcomes (injuries, crashes, moving violations) at 6 and 18 months|Change from baseline in driving measures (sudden decelerations, driving over the speed limit, fuel efficiency, safety belt use) at 6 and 18 months","Oregon Health and Science University|National Heart, Lung, and Blood Institute (NHLBI)","All","21 Years and older   (Adult, Older Adult)","Not Applicable","472","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","e3061|R01HL105495","April 2011","April 2015","March 2017","April 7, 2014",,"May 16, 2018","Oregon Health and Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT02105571"
93,"NCT03647865","Evaluation of The Accuracy of CAD-CAM Custom Made Titanium Miniplates In Positioning of the Genial Segment in Computer Guided Genioplasty",,"Recruiting","No Results Available","Macrogenia|Microgenia|Miniplate","Procedure: Osseous Genioplasty","Accuracy Of the Custom Made Miniplate|Patient Satisfaction (Esthetics)","Cairo University","All","18 Years to 60 Years   (Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018","September 2018","September 2019","October 2019","August 27, 2018",,"September 18, 2018","Cairo University, Cairo, Manial, Egypt",,"https://ClinicalTrials.gov/show/NCT03647865"
94,"NCT03080857","Computer Simulated Atrial Fibrillation Tool",,"Recruiting","No Results Available","Atrial Fibrillation","Other: Virtual Platform","Feasibility of using the simulated AF clinic platform|Patient satisfaction","Nova Scotia Health Authority|Cardiac Arrhythmia Network of Canada","All","18 Years and older   (Adult, Older Adult)","Not Applicable","75","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","RP-003","May 15, 2018","December 31, 2019","May 31, 2020","March 15, 2017",,"March 23, 2020","QE II Health Sciences Centre, Halifax, Nova Scotia, Canada",,"https://ClinicalTrials.gov/show/NCT03080857"
95,"NCT01584882","Computer-Assisted Tobacco Interventions in Dental Offices","CATI","Completed","No Results Available","Smoking","Behavioral: CATI Tool","Patient report","HealthPartners Institute","All","18 Years and older   (Adult, Older Adult)","Not Applicable","548","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","09-062","October 2009","April 2011","July 2012","April 25, 2012",,"July 17, 2014","HealthPartners Research Foundation, Bloomington, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT01584882"
96,"NCT01866813","Internet-Delivered Cognitive Training For Breast Cancer Survivors With Cognitive Complaints",,"Completed","No Results Available","Breast Cancer","Behavioral: Cognitive training intervention group","Paced auditory serial addition test|Cognitive failures questionnaire|cognitive failures questionnaire","University of Aarhus","Female","40 Years and older   (Adult, Older Adult)","Not Applicable","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1-10-72-52-1|1-10-72-52-13","May 2013","January 2015","January 2015","May 31, 2013",,"January 12, 2015","Unit for Psychooncology and Health Psychology Dept. of Oncology, Aarhus University Hospital and Dept of Psychology, Aarhus University, Aarhus, AAarhus, Denmark",,"https://ClinicalTrials.gov/show/NCT01866813"
97,"NCT02728011","Pilot Trial Comparing Computerised Cognitive Exercises to Tetris in Adolescents With ADHD",,"Completed","No Results Available","Attention Deficit/Hyperactivity Disorder","Other: Scientific Brain Training (SBT)|Other: Tetris","Activity Perception Questionnaire|Attention Deficit/Hyperactivity Disorder-Rating Scale|Cambridge Neuropsychological Test Automated Battery (CANTAB) Rapid Visual Information Processing (RVP)(A)|CANTAB: Stockings of Cambridge (SOC) (problems solved in minimum moves)|CANTAB: DMS Delayed Matching to Sample (DMS)","Region Syddanmark|Region of Southern Denmark","All","14 Years to 17 Years   (Child)","Not Applicable","18","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","7/6/2010","October 2010","December 2010","December 2011","April 5, 2016",,"April 5, 2016","Child and Adolescent Mental Health Services Aabenraa, Aabenraa, Denmark|Child and Adolescent Mental Health Services Augustenborg, Augustenborg, Denmark",,"https://ClinicalTrials.gov/show/NCT02728011"
98,"NCT04229056","COMPuter-assisted Self-training to Improve EXecutive Function","COMPEX","Recruiting","No Results Available","Parkinson Disease|Stroke|Cardiac Arrest|Cognitive Dysfunction|Executive Dysfunction","Behavioral: Computer-based cognitive rehabilitation (CBCR)|Behavioral: General computer-based cognitive stimulation","CABPad Working Memory Test|MDS-HC-IADL|CABPad Working Memory Test - 3 months follow-up after end of intervention|Trail Making A|Trail Making B|SDMT|Fonological verbal fluency test|Categorical verbal fluency test|Fear questionnaire|mrs: Modified Rankin Scale|IQCODE (Informant Questionnaire on Cognitive Decline in the Elderly)|EuroQol-5 domain (EQ-5D-5L)|PDQ 39 (Parkinsons Disease Questionnaire: Only in patients with Parkinson Disease)|PDQ 39 (Parkinsons Disease Questionnaire: Only in patients with Parkinsons Disease)|Compliance|PHQ-9 (Patient health questionnaire 9)|2) visual analogue scale (1-10)","Bispebjerg Hospital|Rigshospitalet, Denmark|University of Cambridge|University of Basel","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","H-19039236","June 1, 2020","June 28, 2024","December 31, 2024","January 14, 2020",,"July 8, 2020","Bispebjerg Hospital, Copenhagen, Denmark|Rigshospitalet, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT04229056"
99,"NCT02892760","Clinical Algorithm for Post-Stroke Gait Training With C-Brace",,"Active, not recruiting","No Results Available","Hemiparesis Due to Stroke|Hemiplegia Due to Stroke","Device: C-Brace","Change in gait as assessed by kinematic analysis|Change in muscle function as assessed by surface electromyography (sEMG)|Change in metabolic expenditure during walking|Change in score on the Timed Up and Go Test|Change in mental state as assessed by the Folstein Mini Mental State Examination (MMSE)|Change in hip flexors strength as assessed by dynamometry|Change in hip extensors strength as assessed by dynamometry|Change in hip abductors strength as assessed by dynamometry|Change in hip adductors strength as assessed by dynamometry|Change in knee flexors strength as assessed by dynamometry|Change in knee extensors strength as assessed by dynamometry|Change in ankle dorsiflexors strength as assessed by dynamometry|Change in ankle plantarflexors. strength as assessed by dynamometry|Change in bilateral hip range of motion as assessed by goniometry|Change in knee joints range of motion as assessed by goniometry|Change in ankle joints range of motion as assessed by goniometry|Change in motor impairment as determined by the Fugl-Meyer Assessment|Change in spasticity as assessed by the Modified Ashworth Scale (MAS)|Change in static balance as assessed by the Berg Balance Scale (BBS)|Change in gait speed as assessed by the 10 Meter Walk Test (10MWT)|Change in aerobic capacity as assessed by the Six-minute walk test (6MWT)","The University of Texas Health Science Center, Houston|Otto Bock Healthcare Products GmbH","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","14","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-16-0031","February 13, 2017","January 8, 2019","December 31, 2019","September 8, 2016",,"April 17, 2019","TIRR Research Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02892760"
100,"NCT00929253","Efficacy of Computer Delivered Community Reinforcement Approach (CRA) (Bup II)","CAT","Completed","No Results Available","Opiate Addiction","Drug: Suboxone|Behavioral: CRA|Behavioral: Therapy|Behavioral: CM","Abstinence defined as the longest documented period of continuous abstinence from opioids and cocaine for each participant|Delay discounting measures and other non-normal or ordinal outcomes measures will be compared across treatment groups based on nonparametric rank tests.","Virginia Polytechnic Institute and State University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","206","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB 31695","September 2007","April 2010","April 2010","June 29, 2009",,"May 2, 2016","University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States",,"https://ClinicalTrials.gov/show/NCT00929253"
101,"NCT01875328","Stroke Therapy, Education, Prevention: Telemedicine Outpatient Initiative Trial","STEP TO IT","Completed","No Results Available","Stroke","Other: Telemedicine|Other: Clinic","Outpatient stroke follow-up after discharge using telemedicine in the home is feasible as assessed by visit and intervention adherence for patients living outside a 75 mile radius from OHSU.|Patients being followed in the telemedicine group will achieve rates of goal blood pressure similar to those being followed in clinic.","Oregon Health and Science University","All","21 Years and older   (Adult, Older Adult)","Not Applicable","64","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","9011","November 2012","September 2013","September 2016","June 11, 2013",,"October 17, 2019","Oregon Health and Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT01875328"
102,"NCT04055129","Hormone Induced Effects on Ligament Laxity and Lower Extremity Motor Control",,"Not yet recruiting","No Results Available","Hormone Influence on Ligament Laxity and Motor Control","Other: No interventions","Muscle activity for the following muscles: Quadriceps (vastus medialis and vastus lateralis), Hamstrings (semitendinosus, biceps femoris), gluteus maximus, gluteus medius, lateral gastrocnemius|Ground Reaction Force|Knee valgus, femoral internal rotation angle, knee flexion and extension angles|Laxity of ACL/ anterior tibial excursion","University of St. Augustine for Health Sciences","Female","18 Years to 35 Years   (Adult)",,"52","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","0430-018","August 2020","December 2021","December 2021","August 13, 2019",,"March 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04055129"
