"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
58,"NCT02494908","Evidence of Neuroplasticity After Performing a Cognitive Task in Idiopathic Parkinson's Disease Patients",,"Unknown status","No Results Available","Parkinson Disease","Behavioral: Playing a computer game simulating a car race","seeing evidence of microstructural brain tissue changes in Diffusion Tensor Imaging (DTI) MRI","Dr. Sharon Hassin|Bar-Ilan University, Israel|Tel Aviv University|Sheba Medical Center","All","30 Years to 80 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2372-15-SMC","July 2015","January 2018","July 2018","July 10, 2015",,"July 10, 2015","Movement Disorders Institute, Sheba Medical center, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT02494908"
59,"NCT00475254","Stress and Vision Fluctuations in Retinitis Pigmentosa",,"Completed","No Results Available","Retinitis Pigmentosa",,"Vision test reliability across multiple test administrations in relation to psychological and external factors","Johns Hopkins University|National Institute of Nursing Research (NINR)|National Eye Institute (NEI)","All","18 Years and older   (Adult, Older Adult)",,"50","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","K23EY018356","August 2007","April 2011","April 2011","May 21, 2007",,"April 6, 2011","Johns Hopkins WiImer Eye Insitute's Lions Vision Center, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00475254"
60,"NCT03703180","Vision Assessment With the Quick Contrast Sensitivity Function (qCSF) Method in Healthy Controls and MS","VICTOR2","Recruiting","No Results Available","Multiple Sclerosis",,"Correlation between ganglion cell / inner plexiform layer (GCIPL) thickness loss and area under the log CSF curve change over two years|Correlation between retinal nerve fibre layer (RNFL) thickness loss and area under the log CSF curve change over two years|Longitudinal correlation between visual quality of life and contrast vision","Universitätsklinikum Hamburg-Eppendorf","All","18 Years to 65 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","inims-victor2","January 29, 2018","February 2021","February 2021","October 11, 2018",,"October 22, 2018","Institute of Neuroimmunology and MS, Hamburg, Germany",,"https://ClinicalTrials.gov/show/NCT03703180"
61,"NCT04276610","Words on the Brain: Can Reading Rehabilitation for Age-Related Vision Impairment Improve Cognitive Functioning?","WOTB","Recruiting","No Results Available","Age-related Macular Degeneration|Dementia|Low Vision|Low Vision Aids|Hearing Loss|Reading Problem|Cognitive Impairment","Behavioral: Low Vision Reading Rehabilitation","Rey Auditory Verbal Learning Test (RAVLT)|Letter Number Sequencing task|Montreal Cognitive Assessment - full or blind version|1-n-back task|Minnesota Reading Test (MNRead)|Depression, Anxiety and Stress Scale|Canadian Digit Triplet Test|Magnetic Resonance Imaging (MRI) - for subset of participants","Université de Montréal|Fonds de la Recherche en Santé du Québec|Canadian Institutes of Health Research (CIHR)","All","65 Years and older   (Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CRIR-1284-1217","May 16, 2017","May 16, 2023","May 16, 2023","February 19, 2020",,"February 20, 2020","Institut Nazareth et Louis-Braille du CISSS de la Montérégie-Centre, Longueuil, Quebec, Canada|Centre de réadaptation Lethbridge-Layton-Mackay du CIUSSS du Centre-Ouest-de-l'Île-de-Montréal, Montreal, Quebec, Canada","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04276610/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04276610/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04276610"
62,"NCT00318045","Effects of Optical Blur on Performance and Comfort of Computer Users",,"Unknown status","No Results Available","Refractive Error","Device: Eyeglass lenses","Visual comfort|Productivity (correct output per hour)","Vision Council of America","All","19 Years and older   (Adult, Older Adult)","Phase 3","35","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment","X050208014","October 2005",,"April 2006","April 25, 2006",,"April 25, 2006","School of Optometry, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT00318045"
63,"NCT02679716","Reconstruction of Pathological Changes of the Ophthalmic Artery in Patients With Retinal Artery Occlusion",,"Completed","No Results Available","Retinal Artery Occlusion","Other: MRI of the cerebral arteries","Pathological changes in subjects with retinal artery occlusions|number of patients with preexisting stroke","Vienna Institute for Research in Ocular Surgery","All","21 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","RAO","December 2014","July 31, 2017","July 31, 2018","February 10, 2016",,"October 22, 2019","Vienna Institute for Research in Ocular Surgery, Vienna, Austria|Hanusch-Krankenhaus, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT02679716"
64,"NCT02023957","A Pilot With Interactive Computer-assisted Screening for Mental Health in Primary Care","iCAS","Completed","No Results Available","Mental Health Disorders","Behavioral: Interactive computer-assisted screening (iCAS)","Clinician Detection (probable, sub-clinical, confirmed) of major depression or generalized anxiety or post-traumatic stress disorder or alcohol dependence|Patient discussion on mental health|Patient intention to see a mental health counselor|Patient satisfaction with health services|Patient enablement to cope with these conditions|Patient adherence to follow-up advice and referrals to mental health support","York University|Canadian Institutes of Health Research (CIHR)|North York General Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","154","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","e2013 - 291","November 2013","May 2014","May 2014","December 30, 2013",,"June 3, 2016","York University, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02023957"
65,"NCT02983305","Optical Head-Mounted Display Technology for Low Vision Rehabilitation",,"Completed","Has Results","Retinal Dystrophies|Healthy","Device: Head-Mounted Display","Change in the Planimetric Area of Goldmann Visual Field With the Use of Head-mounted Display Technology Compared to Baseline (Measured in Degrees Squared)|Change in Gait Speed Compared to Baseline (Measured in Seconds)","University of Michigan","All","12 Years and older   (Child, Adult, Older Adult)","Not Applicable","22","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HUM00110408","June 26, 2017","November 21, 2018","November 21, 2018","December 6, 2016","October 9, 2019","October 9, 2019","Kellogg Eye Center, Ann Arbor, Michigan, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/05/NCT02983305/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02983305"
66,"NCT01872000","Binocular Vision in Monocular Pseudophakia","BVMP","Terminated","No Results Available","Cataract","Procedure: Cataract surgery","Extent of binocular vision at near working distance following IOL implantation.|Change in visual acuity and subjective visual comfort at distance, intermediate and near working distances following IOL implantation.","University of Oxford|Oxford University Hospitals NHS Trust","All","18 Years to 45 Years   (Adult)","Not Applicable","12","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BVMP2013","April 2013","October 2018","October 2018","June 7, 2013",,"June 13, 2019","Oxford University Hospitals NHS Trust, Oxford, Oxfordshire, United Kingdom|Stoke Mandeville Hospital, Aylesbury, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01872000"
67,"NCT03884985","Eye Movements, Visual Perception and Attention",,"Recruiting","No Results Available","Vision","Other: Visual stimulation","Average Performance in Visual tasks|Microsaccades rate","University of Rochester|National Eye Institute (NEI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","RSRB00069578|R01EY029788-01","January 1, 2015","February 1, 2023","February 1, 2023","March 21, 2019",,"March 16, 2020","University of Rochester, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT03884985"
68,"NCT03160131","Rehabilitation of Visual Function After Brain Injury","IBOS-NVT","Not yet recruiting","No Results Available","Stroke, Ischemic|Brain Injuries|Stroke Hemorrhagic|Traumatic Brain Injury","Device: Neuro Vision Technology","Ability to complete a mobility route|Time to complete a mobility route|National Eye Institute Visual Functioning Questionnaire-25 (VFQ-25)|Short Form (36) Health Survey (SF-36)|Montreal Cognitive Assessment (MoCA)|Fatigue Severity Scale-7|Multidimensional Fatigue Inventory 20 (MFI-20)|Test of Attentional Performance (TAP) Test 2.3: Visual Field|Behavioral Inattention Test (BIT)|Rey-Osterrieth's complex figure test|Modified Barthel-100 Index|Hemisphere differences","University Hospital, Gentofte, Copenhagen|The Institute for the Blind and Partially Sighted (IBOS)|Copenhagen University Hospital at Herlev","All","14 Years and older   (Child, Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-17001534","August 1, 2017","July 31, 2019","July 31, 2020","May 19, 2017",,"May 19, 2017","The Institute for the Blind and Partially Sighted (IBOS), Copenhagen, Hellerup, Denmark",,"https://ClinicalTrials.gov/show/NCT03160131"
69,"NCT01300949","Spaeth/Richman Contrast Sensitivity Test","SPARCS","Completed","Has Results","Glaucoma","Diagnostic Test: Spaeth/Richman Contrast Sensitivity Test|Diagnostic Test: Pelli-Robson Contrast Sensitivity Chart","Contrast Sensitivity, Another Means of Testing Vision","Wills Eye|Pfizer","All","18 Years and older   (Adult, Older Adult)","Not Applicable","314","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","10-998","January 2010","April 2014","April 2014","February 23, 2011","November 8, 2018","December 11, 2018","Wills Eye Institute, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01300949"
70,"NCT00782444","Computer Navigation vs Conventional Technique in Knee Arthroplasty","CAOS","Active, not recruiting","No Results Available","Knee Osteoarthritis|Rheumatoid Arthritis","Procedure: Computer navigated knee replacement|Procedure: Conventional knee replacement","longevity of the implant|Function of the knee|Bleeding|complications","Haukeland University Hospital|The Research Council of Norway","All","50 Years to 85 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2007/12587","January 2009","December 2020","December 2020","October 31, 2008",,"April 7, 2020","Haukeland university hospital, Bergen, Norway|Haugesund hospital, Haugesund, Norway|Haugesund sanitetsforenings revmatismesykehus, Haugesund, Norway|Lovisenberg diakonale sykehus, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT00782444"
71,"NCT03997890","Clinical Outcomes of Patients Bilaterally Implanted With the TECNIS® Symfony or TECNIS® Symfony Toric Extended Range of Vision IOL",,"Completed","No Results Available","Cataract","Procedure: Cataract surgery with binocular implantation of either Symfony (ZXR00) or Symfony toric (ZXT) IOLs","Visual outcome|Spectacle use|Photic phenomena|Patient Satisfaction","Yonsei University","All","20 Years to 85 Years   (Adult, Older Adult)","Not Applicable","96","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1-2016-0029","July 13, 2016","January 18, 2018","January 18, 2018","June 25, 2019",,"June 27, 2019","Department of Ophthalmology, Yonsei Univeristy College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03997890"
72,"NCT03794752","Visual Enhancement Device in Low Vision Patients","Evergaze","Terminated","No Results Available","Macular Degeneration, Age-Related|Diabetic Retinopathy","Device: Head-Mounted Visual Enhancement Device","Change in best corrected visual acuity (BCVA) compared from baseline with and without the head-mounted electronic visual enhancement device|Change in best corrected near visual acuity (BCNVA) from baseline with and without the head-mounted electronic visual enhancement device|Change in reading speed from baseline compared with and without the head-mounted electronic visual enhancement device|Change in response speed to identify facial expressions from baseline compared with and without the head-mounted electronic visual enhancement device|Change in response speed to visual-motor skills to identify shapes and objects from baseline compared with and without the head-mounted electronic visual enhancement device|Change in score measured on a rating scale to assess difficulty with visual function from baseline compared with and without the head-mounted electronic visual enhancement device","University of Texas Southwestern Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","STU 012014-015","February 2015","December 28, 2018","December 28, 2018","January 7, 2019",,"February 12, 2019",,,"https://ClinicalTrials.gov/show/NCT03794752"
73,"NCT02614651","AUgmented REality for the Visually Impaired - Part 1","AUREVI 1","Completed","No Results Available","Retinitis Pigmentosa|Glaucoma","Procedure: Find visual comfort threshold related to light intensity|Procedure: Find the size of the visual field|Procedure: Effectiveness of brightness control|Procedure: Performance of color correction|Device: Vuzix Wrap 1200DX virtural reality glasses","The maximum brightness value for visual comfort (THRESHOLD_MAX)|The minimum value of the perceptible light contrast in low light perceptible (THRESHOLD_MIN)|The speed of light change adaptation within a pre-specified range (getting dimmer)|The speed of light change adaptation within a pre-specified range (getting brighter)|Optimal range (in degrees) of the visual field provided by the device ""RV glasses + camera""|Response time in seconds|Number of correct responses","Centre Hospitalier Universitaire de Nīmes","All","18 Years and older   (Adult, Older Adult)","Not Applicable","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","LOCAL/2015/IMGD-01|2016-A00099-42","May 2016","April 20, 2017","May 29, 2017","November 25, 2015",,"July 19, 2017","CHRU de Nîmes - Hôpital Universitaire Carémea, Nîmes Cedex 09, France",,"https://ClinicalTrials.gov/show/NCT02614651"
74,"NCT03685968","King Vision® and GlideScope® in Difficult Airways",,"Completed","Has Results","Airway Management","Device: Video laryngoscopes","Overall Successful Tracheal Intubation for All 3 Video Laryngoscopes - GSAVL, KVChVL and KVNChVL|First-attempt Successful Intubation for All 3 Video Laryngoscopes - GSAVL, KVChVL and KVNChVL","The University of Texas Health Science Center, Houston|King Systems Corporation","All","18 Years and older   (Adult, Older Adult)","Not Applicable","225","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","HSC-MS-13-0024","March 6, 2013","November 17, 2015","December 17, 2015","September 26, 2018","January 4, 2019","January 8, 2019",,,"https://ClinicalTrials.gov/show/NCT03685968"
75,"NCT03589859","Computerized Vestibular Rehabilitation",,"Active, not recruiting","No Results Available","Vestibular Diseases",,"Vestibulo-ocular reflex gain","VA Office of Research and Development","All","18 Years to 75 Years   (Adult, Older Adult)",,"30","U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","C2892-P","December 1, 2018","November 30, 2020","November 30, 2020","July 18, 2018",,"April 16, 2020","Louis Stokes VA Medical Center, Cleveland, OH, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03589859"
76,"NCT00685074","Computer-based Brief Intervention for Perinatal Substance Abuse",,"Completed","No Results Available","Substance Abuse","Behavioral: Computer-based Motivational Interviewing|Behavioral: Time control","Drug use at 3 months|Drug use at 6 months","Wayne State University|National Institute on Drug Abuse (NIDA)","Female","18 Years to 45 Years   (Adult)","Phase 1|Phase 2","143","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","MES-III|5R01DA021329-04|DA021329-01","September 2007","March 2011","March 2011","May 28, 2008",,"October 14, 2011","Hutzel Women's Hospital, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT00685074"
77,"NCT04067050","A Clinical Study of the Comfilcon A Asphere Soft Contact Lens in Users of Digital Devices",,"Completed","No Results Available","Ametropia","Device: comfilcon A asphere|Device: Spectacles","Symptom of Burning|Symptom of Itching|Symptom of Feeling of Foreign Body|Symptom of Tearing|Symptom of Excessive Blinking|Symptom of Eye Redness|Symptom of Eye Pain|Symptom of Heavy Eyelids|Symptom of Dryness|Symptom of Blurred Vision|Symptom of Double Vision|Symptom of Difficulty Focusing For Near Vision|Symptom of Increased Sensitivity to Light|Symptom of Colored Halos Around Objects|Symptom of Feeling That Sight is Worsening|Symptom of headache","Coopervision, Inc.","All","18 Years to 35 Years   (Adult)","Not Applicable","76","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","EX-MKTG-105","July 4, 2019","February 28, 2020","March 30, 2020","August 26, 2019",,"May 5, 2020","Eurolens Research - The University of Manchester, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04067050"
78,"NCT03098927","Mirror Neuron Network Based Motor Imagery Training to Improve Brain Computer Interface Performance in Spinal Cord Injury Patients","BCI","Withdrawn","No Results Available","Spinal Cord Injuries","Behavioral: Motor imagery training","Change in motor imagery performance|Cortical signal generation (Mirror Neuron Network activation)","The Cleveland Clinic|National Aeronautics and Space Administration (NASA)|MetroHealth Medical Center","All","18 Years to 45 Years   (Adult)","Not Applicable","0","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","14-041","September 1, 2014","November 30, 2017","November 30, 2017","April 4, 2017",,"December 14, 2017","The Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03098927"
79,"NCT00013351","Restricted Useful Field View as a Risk Factor in Older Adults",,"Completed","No Results Available","Vision Impairment","Procedure: Prevention of Falls",,"US Department of Veterans Affairs|VA Office of Research and Development","All","18 Years and older   (Adult, Older Adult)",,"150","U.S. Fed","Observational","Time Perspective: Prospective","C1830R","April 1998",,"March 2001","March 16, 2001",,"January 21, 2009","VAMC, Decatur, Decatur, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT00013351"
80,"NCT04332783","Isolating and Mitigating Sequentially Dependent Perceptual Errors in Clinical Visual Search",,"Recruiting","No Results Available","Vision","Other: No Intervention","Serial Dependence Assessment","University of California, Berkeley","All","18 Years and older   (Adult, Older Adult)",,"1650","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","1R01CA236793","April 1, 2019","March 30, 2025","March 30, 2025","April 3, 2020",,"May 15, 2020","University of California, Berkeley, Berkeley, California, United States",,"https://ClinicalTrials.gov/show/NCT04332783"
81,"NCT01669031","Randomized Controlled Trial on Visual Field Training",,"Unknown status","No Results Available","Glaucoma","Other: Practice program","The absolute value of the difference in mean deviation of the first and second visual field exam|Difference in the absolute number of altered points in the visual field with a total deviation below the 0.5 percentile|Difference in the percentage of false positives, false negatives, and fixation losses at the first and second exam between control and intervention group|Difference in the time required to complete the first and second exam|Difference in the proportion of unreliable visual fields at the first and second exam between control and intervention groups","Oftalmologia Hospital Sotero del Rio","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic","Oftalmo_Glaucoma_002","August 2012","May 2013","May 2013","August 20, 2012",,"August 20, 2012","Hospital Sótero del Río, Santiago, Puente Alto, Chile",,"https://ClinicalTrials.gov/show/NCT01669031"
82,"NCT02988154","Simulation Efficacy in Neurosurgical Education","SENSE","Unknown status","No Results Available","Educational|Simulation|Hydrocephalus|Intraventricular Hemorrhage","Other: Simulation training|Other: ''See one, do one'' approach","Accuracy of catheter placement|Speed of performing the procedure|Subjective survey","Johannes Gutenberg University Mainz|University of Oxford","All","Child, Adult, Older Adult",,"20","Other","Observational","Observational Model: Other|Time Perspective: Prospective","SimLab_SSP_01","June 2016","January 2017",,"December 9, 2016",,"January 20, 2017","University of Mainz / Department of Neurosurgery, Mainz, Rheinland Pfalz, Germany",,"https://ClinicalTrials.gov/show/NCT02988154"
83,"NCT02431156","Functional Assessment of Activities of Daily Living (ADL) in Patients Who Underwent Mini-monovision Correction",,"Unknown status","No Results Available","Presbyopia","Other: Assessment of visual capacity","Assessment of Visual capacity (VC)|Visual capacity for activities that require distant vision (DVC)|Visual capacity for activities that require intermediate vision (IVC)|Visual capacity for activities that require near vision (NVC)","Democritus University of Thrace","All","50 Years to 60 Years   (Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","PseudoPresbADL","March 2015","June 2015","June 2015","April 30, 2015",,"April 30, 2015","Eye Institute Of thrace, Alexandroupolis, Evros, Greece",,"https://ClinicalTrials.gov/show/NCT02431156"
84,"NCT02559063","Vision-based Speed of Processing Cognitive Training and Mild Cognitive Impairment",,"Completed","No Results Available","Mild Cognitive Impairment","Behavioral: Vision-based speed of processing training|Behavioral: Mental leisure activities","Attention and processing speed test (UFOV)|Cognitive control and working memory (EXAMINER)|instrumental activities of daily living (TIADL)|mean of functional connectivity in default mode network|mean of structural connectivity in default mode network","University of Rochester|National Institute of Nursing Research (NINR)","All","60 Years and older   (Adult, Older Adult)","Not Applicable","84","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","1R01NR015452","January 12, 2016","October 9, 2018","July 1, 2019","September 24, 2015",,"October 2, 2019","University of Rochester Memory Care Program, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT02559063"
85,"NCT01617408","Brain Stimulation and Vision Testing",,"Recruiting","No Results Available","Transcranial Magnetic Stimulation (TMS)|Visual System|fMRI|Dorsal Pathway|Ventral Pathway",,"Online behavioral TMS experiments: performance accuracy, sensitivity and reaction time (RT); Offline fMRI TBS experiments: taskperformance as well as reduced neuronal activity","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 50 Years   (Adult)",,"345","NIH","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","120128|12-M-0128","March 4, 2013",,,"June 12, 2012",,"June 11, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01617408"
86,"NCT04334369","Contact Lens and Myopia Control in Optometry School Students",,"Active, not recruiting","No Results Available","Myopia, Progressive","Device: Proclear Single Vision Contact Lenses manufactured by CooperVision|Device: Proclear Multifocal Contact Lenses manufactured by CooperVision","Contact Lenses and Myopia Progression","University of the Incarnate Word","All","Child, Adult, Older Adult","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention","RSO myopia control","December 12, 2018","August 2023","August 2024","April 6, 2020",,"April 6, 2020","Bowden Eye Care & Health Center, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04334369"
87,"NCT02988570","Study on the Phenotype of Language in Preterm Born Children at 5 Years of Age","EPILANG2","Completed","No Results Available","Preterm Children","Behavioral: computer-evaluation of the language","Evaluation of comprehension of words and phrases level|Evaluation of production of words and phrases level|Evaluation of judgment of sentences level","University Hospital, Rouen","All","5 Years to 6 Years   (Child)","Not Applicable","49","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2016/338/HP","November 10, 2016","March 31, 2017","March 31, 2017","December 9, 2016",,"April 30, 2018","Rouen University Hospital, Rouen, France",,"https://ClinicalTrials.gov/show/NCT02988570"
88,"NCT03873844","Improving Thinking in Everyday Life: Pilot Study A",,"Recruiting","No Results Available","Cognitive Impairment","Behavioral: Speed of Processing Training|Behavioral: Transfer Package from CI Therapy","Cognitive Task Activity Log (CTAL)|Useful Field of View (UFOV)","University of Alabama at Birmingham","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-300002814","March 15, 2019","March 15, 2022","March 15, 2025","March 14, 2019",,"June 19, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT03873844"
89,"NCT00549406","Visual Training Program to Improve Balance and Prevent Falls in Older Adults",,"Completed","No Results Available","Accidental Falls|Musculoskeletal Equilibrium","Procedure: computerized visual training|Procedure: computerized word puzzles|Procedure: video-game based visual training","ability to use peripheral vision to recover balance by grasping a handhold|natural gaze and balance-recovery behavior (in responding to a sudden unpredictable balance perturbation while walking in an unfamiliar environment); clinical balance measures; visual-processing measures","Sunnybrook Health Sciences Centre|Ontario Neurotrauma Foundation|Canadian Institutes of Health Research (CIHR)","All","64 Years to 80 Years   (Adult, Older Adult)","Phase 1","33","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2007-PREV-INT-452|CIHR grant# MOP-13355","June 2008","July 2011","February 2012","October 25, 2007",,"December 23, 2014","Centre for Studies in Aging, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00549406"
90,"NCT01691027","Visuomotor Rehabilitation Training for Manual Task Deficits From Macular Scotomas","VRT","Completed","Has Results","Scotoma, Central|Central Visual Impairment","Behavioral: Visuo-motor training","Improvement in Eye-hand Coordination|Stylus to Eclipse Area","VA Office of Research and Development","All","55 Years to 95 Years   (Adult, Older Adult)","Not Applicable","4","U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C1000-R","July 2013","July 2015","December 2015","September 24, 2012","February 23, 2018","February 23, 2018","Kansas City VA Medical Center, Kansas City, MO, Kansas City, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT01691027"
91,"NCT04450966","Adolescent Substance Use Prevention Intervention Research Study in Pediatric Primary Care","ASPIRE","Not yet recruiting","No Results Available","Heavy Drinking|Driving Under the Influence|Riding With Driver Under the Influence","Behavioral: Computer-facilitated Screening and Brief Intervention","Any heavy episodic drinking day during past 3 months|Any riding/driving risk","Boston Children’s Hospital|American Academy of Pediatrics|Children's Hospital of Philadelphia","All","14 Years to 17 Years   (Child)","Not Applicable","1268","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","NIAAA_1R01AA027253-01A1","May 1, 2021","September 30, 2024","March 30, 2025","June 30, 2020",,"June 30, 2020","American Academy of Pediatrics, Itasca, Illinois, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04450966"
92,"NCT02405143","Restoration of Vision After Stroke","REVIS","Unknown status","No Results Available","Stroke|Infarction; Posterior Cerebral Artery|Hemianopsia","Device: Active tACS using DC-Stimulator MC|Device: Sham stimulation using DC-Stimulator MC","Improved detection in the visual field defined as the percentage change of the stimulus detection rate in High-resolution perimetry (HRP)|The change in extent of visual fields in standard automated perimetry","Helsinki University Central Hospital|Academy of Finland","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","UAK1010001","April 2015","June 2016","June 2017","April 1, 2015",,"April 1, 2015","Helsinki University Central Hospital, Helsinki, Finland",,"https://ClinicalTrials.gov/show/NCT02405143"
