"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
89,"NCT03874702","Automated Diagnosis of Stroke in Computed Tomography With the Use of Artificial Intelligence",,"Enrolling by invitation","No Results Available","Stroke|Ischemic Stroke",,"Alberta Stroke Program Early Computed Tomography Score","University of Guadalajara","All","18 Years and older   (Adult, Older Adult)",,"350","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","UGuadalajara","August 15, 2019","June 1, 2022","June 1, 2022","March 14, 2019",,"September 25, 2019","Departamento de neurociencias, Guadalajara, Jalisco, Mexico",,"https://ClinicalTrials.gov/show/NCT03874702"
90,"NCT02694159","Physician Judgment and Machine Predictions",,"Active, not recruiting","No Results Available","Sepsis",,"Patients developing sepsis|Under- and over-diagnosis of sepsis|Treatment decisions among patients in the emergency department","University of Pennsylvania|Harvard University","All","18 Years to 90 Years   (Adult, Older Adult)",,"50000","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","823464","February 2016","December 30, 2020","December 30, 2020","February 29, 2016",,"June 25, 2020",,,"https://ClinicalTrials.gov/show/NCT02694159"
91,"NCT03946319","Personalized, Transdiagnostic Approach to Preventative Mental Health",,"Recruiting","No Results Available","Mental Health|Mental Disorders|Delivery of Health Care|Self-Assessment|Diagnosis, Psychiatric","Diagnostic Test: Introspect Health","Self-Report Adherence Rate|Completed Assessments Scored|Assessment Questions Scored|Time per Assessment Question|Response Time|Assessment Completion Rate","Introspect Health","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","IH-001","May 2019","August 2019","August 2019","May 10, 2019",,"May 14, 2019","California Institute of Integral Studies, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT03946319"
92,"NCT02651493","Digital Dysmorphology Project",,"Recruiting","No Results Available","Down Syndrome","Device: photographs","Number of participants with Down syndrome accurately assessed by computer-aided detection (CADe) tool|Number of participants with other dysmorphic syndromes accurately assessed by computer-aided detection (CADe) tool","Kevin Cleary|Children's National Research Institute|George Washington University|Chiang Mai University","All","up to 18 Years   (Child, Adult)","Not Applicable","750","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","Pro00003506.","February 2013","December 2023","December 2023","January 11, 2016",,"January 4, 2019","Children's National, Washington, District of Columbia, United States",,"https://ClinicalTrials.gov/show/NCT02651493"
93,"NCT04200950","Trial for the Early Identification of Acute Kidney Injury",,"Not yet recruiting","No Results Available","Acute Kidney Injury","Device: Previse","Incidence of adverse kidney events as assessed by Major Adverse Kidney Event within 30 days (MAKE30) criteria","Dascena","All","18 Years and older   (Adult, Older Adult)","Phase 2","8574","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","07012020","July 2020","June 2021","June 2021","December 16, 2019",,"December 16, 2019",,,"https://ClinicalTrials.gov/show/NCT04200950"
94,"NCT03680014","Remote Monitoring and Analysis of Gait and Falls Within an Elderly Population","4279","Not yet recruiting","No Results Available","Accidental Fall|Fall|Fall Injury|Hip Fractures","Diagnostic Test: CUSH","Validation of gait analysis algorithm by use of Inertial Measurement Unit (IMU)","CUSH Health Ltd.","All","65 Years and older   (Older Adult)",,"40","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","CUSH DHTC 4279","September 12, 2018","October 31, 2018","September 30, 2019","September 21, 2018",,"September 21, 2018",,,"https://ClinicalTrials.gov/show/NCT03680014"
95,"NCT04359745","Improving Treatment of Glioblastoma: Distinguishing Progression From Pseudoprogression",,"Recruiting","No Results Available","Glioblastoma",,"Accuracy of the artificial intelligence model|Failure rate of the artificial intelligence model","Guy's and St Thomas' NHS Foundation Trust|King's College London","All","18 Years to 80 Years   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","3.0 04/09/18","March 21, 2019","May 26, 2023","May 26, 2023","April 24, 2020",,"April 27, 2020","Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King's College Hospital NHS Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04359745"
96,"NCT04415541","Psychodynamic Psychotherapy for Psychosis",,"Not yet recruiting","No Results Available","Psychotic Disorders","Behavioral: Psychodynamic Psychotherapy|Behavioral: Usual Care","Overall Symptom Severity|Overall Functioning - Social|Overall Functioning - Role|Symptom Severity (Positive Symptoms)|Symptom Severity (Negative Symptoms)","Yale University|University of Southern California","All","16 Years to 35 Years   (Child, Adult)","Not Applicable","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Gallagher01","September 2020","August 2021","August 2021","June 4, 2020",,"June 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04415541"
97,"NCT04045639","A Study to Assess the Effectiveness of an Atrial Fibrillation (AF) Risk Prediction Algorithm and Diagnostic Test in Identifying Patients With AF.","PULsE AI","Recruiting","No Results Available","Atrial Fibrillation",,"Percentage of participants with diagnosed Atrial Fibrillation during the research window in control and intervention arms|Expected healthcare resource utilisation (Annual maintenance costs related to health states (informed by the primary endpoint), and daily treatment costs (including monitoring))|Quality-adjusted life years (QALYs)|Life years (LYs)","Bristol-Myers Squibb","All","30 Years and older   (Adult, Older Adult)",,"18000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","CV185-703","May 31, 2019","April 30, 2020","April 30, 2020","August 5, 2019",,"November 13, 2019","Local Institution, Leamington Spa, United Kingdom|Local Institution, Ludlow, United Kingdom|Local Institution, Shropshire, United Kingdom|Local Institution, Warkwickshire, United Kingdom|Local Institution, Wolverhampton, United Kingdom|Local Institution, Worcester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04045639"
98,"NCT04026555","Realtime Streaming Clinical Use Engine for Medical Escalation","ReSCUE-ME","Completed","No Results Available","Clinical Deterioration|Hospital Medicine|Monitoring, Physiologic","Other: MEWS++ Monitoring|Other: Predictor Score","Overall rate of care escalation|Number of participants requiring blood pressure support|Number of participants requiring respiratory support|Number of cardiac arrest episode|Mortality Rate|Notification Frequency|Number of calls|Sensitivity and Specificity of the RRT alert","Icahn School of Medicine at Mount Sinai","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2915","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","GCO 19-0729","June 18, 2019","March 19, 2020","March 19, 2020","July 19, 2019",,"June 25, 2020","Mount Sinai Hospital, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04026555"
99,"NCT04184791","Computational Modeling of 60 Hz Subthalamic Nucleus Deep Brain Stimulation for Gait Disorder in Parkinson's Disease",,"Recruiting","No Results Available","Parkinson Disease","Device: Deep Brain Stimulation","Change in Gait and Balance using Wearable Sensors|Accuracy of Predicting Gait Response to 60hz with Machine Learning|Accuracy of Predicting Best Stimulation Frequency (60hz vs. High Frequency) with Machine Learning|Change in Hand Tremor Severity|Change in Speed of Limb Movements","Northwell Health|National Institute of Neurological Disorders and Stroke (NINDS)|The University of Tennessee, Knoxville","All","21 Years to 80 Years   (Adult, Older Adult)","Not Applicable","30","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","19-0217|R21NS111301","January 15, 2020","December 2021","December 2021","December 4, 2019",,"May 1, 2020","Northwell Health, Great Neck, New York, United States",,"https://ClinicalTrials.gov/show/NCT04184791"
100,"NCT03533205","Prediction of Hemodynamic Instability in Patients Undergoing Surgery",,"Completed","No Results Available","Blood Pressure|Prediction Models|Machine Learning|Hemodynamic Instability","Diagnostic Test: Hypotension Probability Indicator","Sensitivity of the HPI algorithm|Specifity of the HPI algorithm|Predictive positive value of the HPI algorithm|Negative predictive value of the HPI algorithm|Time from HPI alarm to hypotensive event during surgery","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)","All","18 Years and older   (Adult, Older Adult)",,"507","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","W15_080","April 1, 2015","December 1, 2016","April 26, 2018","May 23, 2018",,"May 23, 2018",,,"https://ClinicalTrials.gov/show/NCT03533205"
101,"NCT04455646","Combining H1-Coil Deep Transcranial Magnetic Stimulation (dTMS) and App-guided CBT in Subjects With Major Depression Disorder (MDD)",,"Recruiting","No Results Available","Data Collection for Facilitation of Machine Learning Algorithm for Personalized Treatment","Behavioral: CBT-based, mobile-delivered, intervention platform","Patient Patient Health Questionnaire (PHQ) Patient Health Questionnaire (PHQ) Patient Health Questionnaire (PHQ) Health Questionnaire (PHQ)|Patient Patient Health Questionnaire (PHQ)","Brainsway","All","22 Years to 68 Years   (Adult, Older Adult)",,"540","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","101","August 26, 2019","August 26, 2021","August 26, 2021","July 2, 2020",,"July 9, 2020","Kadima Neuropsychiatry, San Diego, California, United States|Advanced Mental Health Care Inc. - Juno Beach, Juno Beach, Florida, United States|Advanced Mental Health Care Inc. - Palm Beach, Palm Beach, Florida, United States|Advanced Mental Health Care Inc. - Royal Palm Beach, Royal Palm Beach, Florida, United States|Greenbrook - Annapolis, Annapolis, Maryland, United States|Greenbrook - Columbia, Columbia, Maryland, United States|Greenbrook - Frederick, Frederick, Maryland, United States|Greenbrook - Glen Burnie, Glen Burnie, Maryland, United States|Greenbrook - Greenbelt, Greenbelt, Maryland, United States|Greenbrook - Kensington, Kensington, Maryland, United States|Greenbrook - Olney, Olney, Maryland, United States|Greenbrook - Rockville, Rockville, Maryland, United States|Greenbrook - O'Fallon, O'Fallon, Missouri, United States|Greenbrook - Tesson Ferry, Saint Louis, Missouri, United States|Greenbrook - Creve Coeur, Saint Louis, Missouri, United States|Greenbrook - Chapel Hill, Chapel Hill, North Carolina, United States|Greenbrook - Greensboro, Greensboro, North Carolina, United States|Greenbrook - Matthews, Matthews, North Carolina, United States|Greenbrook - Raleigh, Raleigh, North Carolina, United States|Greenbrook - Glen Allen, Glen Allen, Virginia, United States|Greenbrook TMS NeuroHealth Centers, McLean, Virginia, United States|Greenbook - Newport News, Newport News, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04455646"
102,"NCT04060160","Acne Detection Software (AcneDect)","AcneDect","Not yet recruiting","No Results Available","Acne Lesions|Acne Vulgaris","Other: Self- learning software that can detect acne lesions|Other: Patient reported outcomes","Pictures to train the AcneDect software|AcneDect questionnaire regarding acne burden (Visual Analogue Scale (VAS) scale ranging from ""Not bad at all"" to ""Very bad"")","University Hospital, Basel, Switzerland","All","10 Years to 35 Years   (Child, Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018-00702; sp19Navarini","July 2020","December 2020","December 2020","August 16, 2019",,"April 3, 2020","Department of Dermatology, University Hospital Basel, Basel, Switzerland",,"https://ClinicalTrials.gov/show/NCT04060160"
103,"NCT03982654","Investigating the Physiology of Labour and Labour Onset Through Longitudinal Measurements Performed With a Wearable Sensor",,"Completed","No Results Available","Labour Onset","Device: Bloomlife","Accuracy|Labour probability","Bloom Technologies","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","145","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","WISH01","March 30, 2018","November 26, 2018","March 5, 2019","June 11, 2019",,"June 11, 2019","Ziekenhuis Oost-Limburg, Genk, Belgium|CHR de la Citadelle, Liège, Belgium",,"https://ClinicalTrials.gov/show/NCT03982654"
104,"NCT04035993","The HEADWIND-Study","HEADWIND","Recruiting","No Results Available","Diabetes|Diabetes Mellitus, Type 1","Other: Controlled hypoglycaemic state while driving with a driving simulator","Accuracy of the HEADWIND-model: Diagnostic accuracy of the hypoglycaemia warning system (HEADWIND) to detect hypoglycaemia (blood glucose < 3.9 mmol/l) quantified as the area under the receiver operator characteristics curve (AUC ROC > 0.85).|Change of time driving over midline|Change of swerving|Change of spinning|Defining the glycemic level when driving performance is decreased|Driving performance before and after hypoglycemia|Change of heart-rate|Change of heart-rate variability|Change of electrodermal activity (EDA)|Change of skin temperature|CGM accuracy during hypoglycaemic state|CGM time-delay during hypoglycaemic state|Change of glucagon|Change of growth hormone (GH)|Change of catecholamines|Change of cortisol|Glycemic level at time point of hypoglycemia detection by the HEADWIND-model|Comparison CGM and HEADWIND-model regarding time-point of hypoglycemia detection|Comparison CGM and HEADWIND-model regarding glycemia|Accuracy-comparison of HEADWIND-model and HEADWINDplus-model|Self-estimation of glucose and hypoglycemia|Self-estimation of driving performance|Time point of need-to-treat|Self-perception of hypoglycemia symptoms compared to baseline hypoglycemia awareness|Incidence of Adverse Events (AEs)|Incidence of Serious Adverse Events (SAEs)|Perceived ease of use of the early hypoglycaemia warning system (EWS)|Perceived usefulness of the EWS|Perceived enjoyment during EWS usage|Intention to adopt the EWS|Intention to continuously use the EWS|Reception of recommendations of the EWS|Processing of recommendations of the EWS|Perceived understandability of the recommendations of the EWS|Perceived familiarity of the recommendations of the EWS|Cognitive and emotional trust in the recommendations of the EWS","University Hospital Inselspital, Berne|University of Zurich|University of St.Gallen","All","21 Years to 50 Years   (Adult)","Not Applicable","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","HEADWIND","October 7, 2019","July 31, 2020","July 31, 2020","July 29, 2019",,"December 2, 2019","University Department of Endocirnology, Diabetology, Clinical Nutrition and Metabolism, Bern, Switzerland",,"https://ClinicalTrials.gov/show/NCT04035993"
105,"NCT04139889","Diagnosis of Laryngeal Lesions Using the Probe-based Confocal Laser Endomicroscopy",,"Recruiting","No Results Available","Laryngeal Leiomyoma|Probe-based Confocal Laser Endomicroscopy","Diagnostic Test: Confocal Laser Endomicroscopy","pCLE diagnostic classification|the image analysis by machine learning","Eye & ENT Hospital of Fudan University","All","18 Years to 85 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","20170601","June 1, 2017","November 30, 2019","December 21, 2020","October 25, 2019",,"January 7, 2020","Otorhinolaryngology Department of Affiliated Eye and ENT Hospital, Fudan University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04139889"
106,"NCT03739073","Can we Predict COronary Resistance By EYE Examination ? (COREYE)","COREYE","Recruiting","No Results Available","Coronary Artery Disease","Other: OCTA (angiography by tomography in optical coherence)","Coronary microvascular resistance results (Combowire)|Coronary microvascular resistance results (OCTA)|angiographical stenosis|Fractional Flow Reserve (FFR)|coronary microvascular resistance (CFR)|microvascular resistance values|total area of flow signal void on the choriocapillaris layer","Hospices Civils de Lyon","All","18 Years and older   (Adult, Older Adult)","Not Applicable","210","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","69HCL18_0301|2018-A01181-54","October 4, 2018","April 5, 2020","April 5, 2021","November 13, 2018",,"December 31, 2018","Hospices Civils de Lyon - Hopital de la Croix Rousse, Lyon, France",,"https://ClinicalTrials.gov/show/NCT03739073"
107,"NCT04152031","Activity-Aware Prompting to Improve Medication Adherence in Heart Failure Patients",,"Completed","No Results Available","Heart Failure|Cardiovascular Diseases","Other: Prompting","Medication adherence rate","Washington State University|University of California, Irvine","All","21 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","16243-001","October 20, 2016","August 5, 2019","August 5, 2019","November 5, 2019",,"November 5, 2019",,,"https://ClinicalTrials.gov/show/NCT04152031"
108,"NCT03696420","Probabilistic Targeting of the VIM","PROBA-VIM","Recruiting","No Results Available","Essential Tremor|Deep Brain Stimulation","Other: Coordinates of active plots and VIM landmarks calculation","Euclidian distance between the predicted target and the center of the active contact of the DBS lead","University Hospital, Bordeaux|Institut National de Recherche en Informatique et en Automatique","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","CHUBX 2018/26","November 30, 2018","November 2020","November 2020","October 4, 2018",,"January 14, 2019","Bordeaux University Hospital, Bordeaux, France",,"https://ClinicalTrials.gov/show/NCT03696420"
109,"NCT00241046","Letrozole in the Treatment of 1st and 2nd Line Hormone Receptor Positive Breast Cancer: Pre-therapeutic Risk Assessment",,"Terminated","No Results Available","Metastatic Breast Cancer","Drug: Letrozole","Comparison of the the individual pretherapeutic predictions from the computer or doctor with the patient data obtained in a first- or second-line treatment of metastatic breast cancer after progression of the disease|Determination of the individual response at 3 monthly assessments","Novartis Pharmaceuticals|Novartis","Female","18 Years and older   (Adult, Older Adult)","Phase 4","13","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CFEM345ADE02","April 2002","March 2005",,"October 18, 2005",,"April 19, 2012",,,"https://ClinicalTrials.gov/show/NCT00241046"
110,"NCT03804606","Risk and Benefit Informed MTM Pharmacist Intervention in Heart Failure",,"Enrolling by invitation","No Results Available","Heart Failure","Other: Referral to MTM Pharmacist","All-cause mortality|Hospital admission|Healthcare utilization - Total cost of care|Incidence of flu vaccine care gap closure; relationship to mortality|Incidence of evidence-based beta blocker care gap closure; relationship to mortality|Incidence of ACE inhibitor/ARB care gap closure; relationship to mortality|Incidence of diabetic a1C ""in goal"" care gap closure; relationship to mortality","Geisinger Clinic","All","18 Years and older   (Adult, Older Adult)","Not Applicable","600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Health Services Research","2018-0735","February 28, 2019","June 2020","June 2020","January 15, 2019",,"April 9, 2019","Geisinger Health System, Danville, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03804606"
111,"NCT03984773","Machine-Generated Mortality Estimates and Nudges to Promote Advance Care Planning Discussion Among Cancer Patients",,"Completed","No Results Available","Oncology","Behavioral: Nudge","Change in the proportion of patients with a documented serious illness conversation (SIC)|Change in the proportion of patients with a documented SIC among those identified as high-risk by the algorithm|Change in the proportion of patients with a documented advanced care planning|Change in the proportion of patients with a documented serious illness conversation (SIC) including follow-up|Change in the proportion of patients with a documented SIC among those identified as high-risk by the algorithm including follow-up|Change in the proportion of patients with a documented advanced care planning including follow-up","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Not Applicable","78","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","833178","July 15, 2019","November 1, 2019","April 19, 2020","June 13, 2019",,"April 24, 2020","Penn Medicine, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03984773"
112,"NCT02265354","Developing Smokers for Smoker (S4S): A Collective Intelligence Tailoring System","S4S","Active, not recruiting","No Results Available","Tobacco Smoking","Behavioral: Collective-Intelligence computer tailored health communication|Behavioral: Rule-based computer tailored health communication","Repeated Use of website measure|30-day point prevalent smoking cessation at six months","University of Massachusetts, Worcester|University of Massachusetts, Amherst|National Cancer Institute (NCI)","All","19 Years and older   (Adult, Older Adult)","Not Applicable","260","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","H00002005|K07CA172677","January 11, 2017","December 28, 2017","June 28, 2020","October 15, 2014",,"December 12, 2019","UMass Medical School, Worcester, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02265354"
113,"NCT03547219","Biomarkers of Antidepressant Response and Suicidal Events in Depressed Youth",,"Completed","No Results Available","Depression|Adolescent","Drug: Escitalopram","the change from baseline in CDRS-R at week 8 or upon termination|CGI-I at 8 weeks or upon termination","Seoul National University|National Research Foundation of Korea","All","12 Years to 17 Years   (Child)","Not Applicable","152","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2015R1A2A2A01004501","August 5, 2015","August 2, 2018","August 2, 2018","June 6, 2018",,"April 4, 2019","Seoul National University Hospital, Seoul, N/A = Not Applicable, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03547219"
114,"NCT04208789","Artificial Inteligent for Diagnosing Drug-Resistant Tuberculosis",,"Recruiting","No Results Available","MDR Tuberculosis|Resistance to Tuberculostatic Drugs","Diagnostic Test: Rapid Molecular Drug-Resistant Tuberculosis Test|Other: Artificial Intelligent Model|Diagnostic Test: Drug Susceptibility Test","Accuracy of Artificial Intelligent Model to Drug Susceptibility Test Results|Accuracy of Rapid Molecular Drug Resistant Tuberculosis test to Drug Susceptibility Test Results","Hasanuddin University|Chulalongkorn University","All","Child, Adult, Older Adult",,"528","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","0111190912","June 15, 2020","September 30, 2020","December 30, 2020","December 23, 2019",,"June 25, 2020","Kanudjoso Djatiwibowo General Hospital, Balikpapan, East Kalimantan, Indonesia|Tarakan General Hospital, Tarakan, North Kalimantan, Indonesia|Labuang Baji General Hospital, Makasar, South Sulawesi, Indonesia|Balai Besar Kesehatan Paru Masyarakat, Makasar, South Sulawesi, Indonesia|Wahidin Sudirohusodo General Hospital, Makassar, South Sulawesi, Indonesia",,"https://ClinicalTrials.gov/show/NCT04208789"
115,"NCT02416375","Home Monitoring to Predict Exacerbation in Cystic Fibrosis","SmartCare","Unknown status","No Results Available","Cystic Fibrosis",,"Home monitoring possible in adult Cystic Fibrosis patients|Whether daily monitoring can provide early warning of a new chest infection|Development of a web-based machine learning tool","Papworth Hospital NHS Foundation Trust|Cystic Fibrosis Trust|King's College Hospital NHS Trust|Royal Brompton & Harefield|The Leeds Teaching Hospitals NHS Trust|University Hospital Southampton NHS Foundation Trust|Microsoft Research|Frimley Park Hospital NHS Trust|University Hospitals Bristol NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)",,"200","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","PO1955","May 2015","May 2016","November 2016","April 15, 2015",,"February 17, 2016","Papworth Hospital NHS Trust, Cambridge, Cambridgeshire, United Kingdom|Papworth Hospital NHS Trust, Cambridge, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02416375"
116,"NCT03607435","A Clinical Study to Collect Calibration & Performance Data of the KBS Systems 1.0 Non-Invasive Glucose Monitoring Device",,"Recruiting","No Results Available","Diabetes","Device: Spectroscopy for Analyte Quantification","Calibration of the KBS-1 Test Article using the POC Control data for comparison.|Research Subject Assessment|Calibration of the RBA-1 Test Article using the hospital lab test Control data and POC blood glucose monitor Control data for comparison.","Florida Hospital Tampa Bay Division|Kaligia Biosciences, LLC","All","21 Years and older   (Adult, Older Adult)","Not Applicable","300","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","KBS002","August 2, 2018","June 2019","July 2019","July 31, 2018",,"August 6, 2018","Florida Hospital Tampa, Tampa, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03607435"
117,"NCT03879291","Assessment of Utility of accelerateIQ in the Care of Patients Participating in a Pulmonary Rehabilitation Program","GASSP","Terminated","No Results Available","COPD|Pulmonary Rehabilitation","Other: pinpointIQ","Clinical Utility","Karen Larimer|Sunovian|physIQ, Inc.","All","40 Years and older   (Adult, Older Adult)",,"5","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CTP-010","January 9, 2019","December 30, 2019","December 30, 2019","March 18, 2019",,"March 16, 2020","NorthShore University Health System, Evanston, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03879291"
118,"NCT04057690","Automatic PredICtion of Edema After Stroke","APICES","Recruiting","No Results Available","Stroke, Acute|Brain Edema",,"Number of patients with stroke-related malignant edema after recanalization treatment detected by deep learning algorithms|Number of correctly identified specific imaging findings for early detection of malignant edema","University Hospital Tuebingen","All","Child, Adult, Older Adult",,"1500","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","APICES","April 1, 2019","March 31, 2020","March 31, 2022","August 15, 2019",,"August 15, 2019","University Hospital Tuebingen, Tuebingen, Germany",,"https://ClinicalTrials.gov/show/NCT04057690"
119,"NCT01962181","Identifying Characteristic Signature of Attention Deficit / Hyperactivity Disorder (ADHD) and Ritalin Treatment",,"Unknown status","No Results Available","""Attention Deficit Hyperactivity Disorder""","Drug: Ritalin|Drug: Placebo","Resting oscillation activity and Event-related-Potentials in Attention Deficit / Hyperactivity Disorder (ADHD) and healthy subjects.","Hadassah Medical Organization","All","18 Years to 50 Years   (Adult)","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","RE0379-HMO-STILL","October 2013","December 2015","December 2015","October 14, 2013",,"October 14, 2013","Hadassah Medical Center, Jerusalem, Israel",,"https://ClinicalTrials.gov/show/NCT01962181"
120,"NCT03662802","Development of a Novel Convolution Neural Network for Arrhythmia Classification","AI-ECG","Not yet recruiting","No Results Available","Arrhythmias, Cardiac|Cardiac Arrest|Cardiac Arrythmias","Other: Neural Network Classifier","Diagnostic Accuracy","Scripps Clinic|Scripps Health","All","Child, Adult, Older Adult",,"2000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","027527","October 2018","October 2019","October 2019","September 7, 2018",,"September 7, 2018","Scripps Clinic, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT03662802"
121,"NCT03605810","Study to Develop a Tool to Estimate the Kidney Function in Databases Without Laboratory Data",,"Completed","No Results Available","Renal Function","Other: No Intervention","Performance of classification to predict eGFR","Bayer","All","18 Years and older   (Adult, Older Adult)",,"5132200","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20325","July 15, 2018","December 31, 2018","December 31, 2018","July 30, 2018",,"December 10, 2019","US OPTUM CDM database, Whippany, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT03605810"
122,"NCT03627923","Personalizing Mediterranean Diet in Children.",,"Not yet recruiting","No Results Available","Personalized Nutrition In Children|Glucose, High Blood|Diet Habit",,"Postprandial glycemic response|Microbiome composition and function","Weizmann Institute of Science|Schneider Children's Medical Center, Israel|University of Naples","All","6 Years to 9 Years   (Child)",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0694-17-RMC","November 2018","August 2020","August 1, 2021","August 14, 2018",,"October 3, 2018",,,"https://ClinicalTrials.gov/show/NCT03627923"
123,"NCT04404452","Heart Failure Monitoring With Eko Electronic Stethoscopes","HOME0","Not yet recruiting","No Results Available","Heart Failure|Crackles|Heart Failure With Preserved Ejection Fraction","Device: Use of Eko CORE and Eko DUO electronic stethoscopes","Feasibility of use of Eko DUO by protocol compliance|Feasibility of use of Eko CORE|Intra-Subject Reproducibility of Normalized EMAT|Intra-Subject Reproducibility of HRV|Intra-Subject Reproducibility of S3 Heart Sound|Algorithm Model Development of Hemodynamic Status based on time since invasive right heart catheter insertion","Eko Devices, Inc.","All","18 Years and older   (Adult, Older Adult)",,"50","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2020.2","June 2020","January 2021","January 2021","May 27, 2020",,"May 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04404452"
