"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
234,"NCT04353349","Impact of Robotic Approach Compared to VATS and Open Approach on Quality of Life in Patients With Lung Cancer","QoL","Active, not recruiting","No Results Available","Lung Cancer|Robotic Thoracic Surgery|Video-assisted Thoracis Surgery (VATS)|Open Thoracotomy Surgery",,"Evaluation of quality of life by EORTC QOL-CC30.|Evaluation of postoperative pain by daily evaluation with visual numeric scale before and after surgery until discharge and at 1, 6 and 12 months|Intraoperative complications|Postoperative complications|Disease free survival at 24 months","Istituto Clinico Humanitas","All","Child, Adult, Older Adult",,"150","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","1524","April 1, 2016","December 1, 2020","December 1, 2020","April 20, 2020",,"April 20, 2020","Istituto Clinico Humanitas, Rozzano, Milan, Italy",,"https://ClinicalTrials.gov/show/NCT04353349"
235,"NCT03160157","Comparing the Outcomes of Laparoscopic Cholecystectomy vs. Robotic Cholecystectomy","RCT","Recruiting","No Results Available","Gallbladder Diseases",,"Determine which minimally invasive (small incisions) surgical approach is associated with the best outcomes when performing the removal of the gallbladder (cholecystectomy): laparoscopic or robotic?","University of Illinois at Chicago","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2016-0790","December 2016","December 2020","December 2020","May 19, 2017",,"January 11, 2019","University of Illinois Outpatient Care Center (OCC), Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03160157"
236,"NCT03504826","Walking Rehabilitation After Spinal Cord Injury: Locomotor Training Using Adaptive Robotics",,"Recruiting","No Results Available","Spinal Cord Injuries","Device: Hybrid Assistive Limb (HAL)","10-Meter Walk Test (10MWT)|6-Minute Walk Test (6MWT)|Electromyogram (EMG) will be used to assess the neuromuscular activation of the lower extremities","Brooks Rehabilitation|University of Florida","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-02655","November 29, 2018","March 2021","August 2021","April 20, 2018",,"March 19, 2020","Brooks Rehabilitation, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03504826"
237,"NCT01611285","Uphold Versus Robotic Surgery for Pelvic Prolapse Repair: A Decision Analytic Approach",,"Completed","No Results Available","Pelvic Organ Prolapse",,"Surgical cure versus failure of prolapse repair|Financial costs of outcomes","Atlantic Health System|Boston Scientific Corporation","Female","18 Years to 90 Years   (Adult, Older Adult)",,"20","Other|Industry","Observational","Observational Model: Other|Time Perspective: Other","R10-04-002","November 2010","July 2011","August 2011","June 4, 2012",,"June 9, 2017","Atlantic Health System Department of Urogynecology, Morristown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01611285"
238,"NCT04095312","Clinical Study for Evaluating the Clinical Safety and Effectiveness of the Automated Robotic Robot, Revo-i Surgical Robot System (Model MSR-5100), Used for General Endoscopic Surgery.",,"Recruiting","No Results Available","Periampullary Cancer","Procedure: Revo-i robotic surgery system (Model MSR-5100)","Operation success rate|Operative outcome","Yonsei University","All","19 Years and older   (Adult, Older Adult)","Not Applicable","33","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1-2019-0030","September 17, 2019","March 2020","April 2020","September 19, 2019",,"September 30, 2019","Department of Surgery, Yonsei University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04095312"
239,"NCT04230642","Multicenter Study to Evaluate a New Robotic Device for Image-guided Percutaneous Needle Placement",,"Not yet recruiting","No Results Available","Hepatic Tumor","Device: The Quantum Surgical device","Evaluation of the safety related to the procedure|Evaluation of the feasibility of the Quantum Surgical device: Number of targets reached|Evaluation of the accuracy of the device|Evaluation of the needle readjustments of the device|Evaluation of the safety not related to the procedure","Quantum Surgical","All","18 Months and older   (Child, Adult, Older Adult)","Not Applicable","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QS-IS-G-H-1901","May 2, 2020","August 31, 2020","August 31, 2020","January 18, 2020",,"January 18, 2020",,,"https://ClinicalTrials.gov/show/NCT04230642"
240,"NCT04436627","Protocol Design of Hand Robotics Assisted Therapy in Patients With Different Severity of Stroke",,"Not yet recruiting","No Results Available","Stroke","Device: Amadeo-assisted training-1|Device: Amadeo-assisted training-2|Device: Amadeo-assisted training-3","Fugl-Meyer Assessment, FMA|Modified Ashworth scale of muscle spasticity, MAS|Grip and pinch power|Medical Research Council scale, MRC|Wolf Motor Function Test, WMFT|Nine-hole pegboard test, NPT|User experience","Chang Gung Memorial Hospital","All","20 Years and older   (Adult, Older Adult)","Not Applicable","35","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","201901693A3","June 2020","December 2022","December 2022","June 18, 2020",,"June 18, 2020","Chang Gung Memorial Hospital, Taoyuan City, Taiwan",,"https://ClinicalTrials.gov/show/NCT04436627"
241,"NCT03828110","The Effectiveness of Robotic Gait Training in Children With Neurological Impairment",,"Completed","No Results Available","Acquired Brain Injury|Cerebral Palsy","Device: Robotic Assisted Gait Training (Lokomat)|Procedure: Physiotherapy","Change in 6minWT distance walked|change in GMFM-88: total score and Dimensions|change in spatiotemporal gait parameters|change in kinematic gait parameters|change in kinetic gait parameters|change in FAQ score|Lokomat therapy duration|Lokomat therapy total distance walked|Lokomat therapy total time walked|Lokomat stiffness values (LStiff)|Lokomat force values (LForce)","IRCCS Eugenio Medea","All","4 Years to 18 Years   (Child, Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","GIP-454","May 1, 2017","April 30, 2019","April 30, 2019","February 4, 2019",,"February 26, 2020","Scientific Institute IRCCS E. Medea, Bosisio Parini, Lecco, Italy",,"https://ClinicalTrials.gov/show/NCT03828110"
242,"NCT01865929","Minimally Invasive Benign Hysterectomy",,"Unknown status","No Results Available","Menorrhagia|Metrorrhagia|Uterine Fibroids|Cervical Dysplasia","Device: Robotic hysterectomy|Procedure: Vaginal or laparoscopic hysterectomy","Cost of surgery|Patient outcome","Region Skane","Female","25 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LundKK","January 2010","September 2014","December 2015","May 31, 2013",,"May 31, 2013","Department of Obstetrics and Gynecology, Skane University Hospital, Lund, Sweden",,"https://ClinicalTrials.gov/show/NCT01865929"
243,"NCT03444688","Development and Evaluation of a Novel Portable Robotic Gait Rehabilitation in Chronic Stroke",,"Unknown status","No Results Available","Stroke","Other: Conventional Gait Training|Device: Gait rehabilitation with walker","Modified Ashworth Scale (MAS)|Medical Research Council (MRC) grading|Functional Ambulation Category (FAC)|National Institute of Health Stroke Scale (NIHSS)|Timed Up and Go (TUG)|Berg Balance Scale (BBS)|Clinical Outcomes Variables Score (COVS)|6 minute walk test|Temporal spatial gait analysis (Part 1)|Temporal spatial gait analysis (Part 2)|Electromyography (EMG)|Functional Independence Measure (FIM)|Revised Nottingham Sensory Assessment (rNSA)|Number of falls|Patient's attitudes towards the robotic walker using visual analogue scale (EQ-5D VAS) ranging from 0 (negative) to 10 (positive).","National University Hospital, Singapore|National University, Singapore","All","50 Years to 90 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","DSRB 2017/00696","April 2, 2018","December 10, 2018","December 10, 2018","February 23, 2018",,"April 10, 2018","National University Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT03444688"
244,"NCT00918762","Transoral Robotic Surgery or Standard Surgery in Treating Patients With Benign or Malignant Tumors of the Larynx and Pharynx",,"Completed","No Results Available","Head and Neck Cancer|Perioperative/Postoperative Complications|Precancerous Condition","Procedure: assessment of therapy complications|Procedure: diagnostic endoscopic surgery|Procedure: quality-of-life assessment|Procedure: therapeutic conventional surgery|Procedure: therapeutic endoscopic surgery|Procedure: transoral robotic surgery|Procedure: video-assisted surgery","Operative time that directly affects operative cost|Blood loss|Intra-operative and post-operative complications|Need for reconstruction|Margins status|Length of hospital stay|Tracheostomy and PEG dependence|Days to oral intake|Time to locoregional recurrence|Speech intelligibility|Quality of life|Postoperative pain|Proportion of robotic surgical cases where adequate surgical exposure allowed for successful operation completion","Barbara Ann Karmanos Cancer Institute|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","6","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CDR0000642940|P30CA022453|WSU-2008-022","May 2009","February 2010","October 2010","June 11, 2009",,"May 9, 2014","Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT00918762"
245,"NCT02391324","Effectiveness of Robotic Gait Training and Physical Therapy for Children and Youth With Cerebral Palsy",,"Recruiting","No Results Available","Cerebral Palsy","Procedure: Lokomat (LOK)|Procedure: Gait focused physical therapy (fPT)|Procedure: LOK + fPT","Change in gross motor abilities using the Gross Motor Function Measure (GMFM-66) from 0-8 and 0-20 weeks|Change in walking distance using the 6-Minute walk test from 0-8 and 0-20 weeks|Change in individual goal attainment using the Canadian Occupational Performance Measure (COPM) performance ratings from 0-8 and 0-20 weeks|Change in individual goal attainment using Goal Attainment Scaling (GAS) from 0-8 and 0-20 weeks|Change in anaerobic capacity using the Adapted Shuttle Run Test from 0-8 and 0-20 weeks|Change in Pediatric Berg Balance Scale from 0-8 and 0-20 weeks|Change in Quality FM from 0-8 and 0-20 weeks|Change in confidence in performing ambulatory abilities as measured by the Activities Balance Confidence Scale from 0-8 and 0-20 weeks|Change in functional abilities as measured by the PEDI-CAT from 0-8 and 0-20 weeks|Change in # of steps/day from 0-8 and 0-20 weeks as measured with an accelerometer.|Change in self-efficacy for physical activity as measured by the Physical Activity Self-efficacy scale|Change in the participation measured using the Participation and Environment Measure for Children and Youth (PEM-CY) from 0-8 and 0-20 weeks|Change in quality of life using the Kidscreen from 0-8 and 0-20 weeks|Change in quality of life using the Life Satisfaction Scale from 0-8 and 0-20 weeks","University of Alberta|Holland Bloorview Kids Rehabilitation Hospital|Shirley Ryan AbilityLab|Northeastern University","All","5 Years to 18 Years   (Child, Adult)","Not Applicable","160","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","RES0022460","January 2016","October 2020","October 2020","March 18, 2015",,"October 14, 2019","Shirley Ryan AbilityLab, Chicago, Illinois, United States|University of Alberta, Edmonton, Alberta, Canada|Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02391324"
246,"NCT01832168","Randomized Clinical Trial Using Amniotic Membrane in Robotic Assisted Laparoscopic Prostatectomy",,"Completed","No Results Available","Pudendal Nerve","Procedure: Robotic Assisted Laparoscopic Prostatectomy|Other: Application of Absorbable Hemostat|Other: Application of dehydrated human amniotic membrane","The proportion of patients achieving return to baseline Sexual Health Inventory for Men (SHIM) score in the AmnioFix group versus the Control group.|Time to return of erectile function.|Pain scores.","MiMedx Group, Inc.","Male","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","34","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AFRALP001","February 2013","June 2014","June 2014","April 15, 2013",,"March 17, 2015","Jackson South Urology Center of Excellence, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT01832168"
247,"NCT02852512","Trial Comparing Laparoscopic Vs Robotic-assisted Colposacropexy for Pelvic Organ Prolapse Repair",,"Unknown status","No Results Available","Pelvic Organ Prolapse","Procedure: sacrocolpopexy","Anatomical outcome|Intraoperative ando post operative complications|post operative pain|voiding and storage symptoms|sexual dysfunctions|patient satisfaction|Quality of life","University Of Perugia","Female","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","62","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LVR1","March 2016","March 2017","March 2018","August 2, 2016",,"August 4, 2016","Santa Maria della Misericordia Hospital- University of Perugia, Perugia, Italy",,"https://ClinicalTrials.gov/show/NCT02852512"
248,"NCT03208634","Rehabilitation Multi Sensory Room for Robot Assisted Functional Movements in Upper-limb Rehabilitation in Chronic Stroke","RehaMSR","Completed","No Results Available","Chronic Stroke","Device: Robotic intervention","Change in Upper-Extremity Fugl-Meyer Assessment|Change in Wolf Motor Function Test (WMFT)|Change in Motor Activity Log","Villa Beretta Rehabilitation Center|National Research Council of Italy","All","18 Years and older   (Adult, Older Adult)","Not Applicable","21","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0043622/14U","October 2013","December 2016","December 2016","July 5, 2017",,"July 5, 2017","Villa Beretta Rehabilitation Center, Costa Masnaga, Lecco, Italy",,"https://ClinicalTrials.gov/show/NCT03208634"
249,"NCT03052790","Comparison of Implant Positioning With Robotic Aided Surgery and Traditional Jig Positioning in Total Knee Arthroplasty",,"Withdrawn","No Results Available","Knee Arthritis","Procedure: manually instrumented total knee arthroplasty|Device: robotic assisted total knee arthroplasty","Summation of angle differences between pre-operative plan and the final implant position as indicated by computed tomography (CT)|Pain as assessed by the PROMIS 10 measurement system|Function as assessed by the PROMIS 10 measurement system|Knee injury and Osteoarthritis as assessed by the Knee injury and Osteoarthritis Outcome Score (KOOS) measurement system|Pain as assessed by a Visual Analogue Scale (VAS)","The University of Texas Health Science Center, Houston","All","25 Years to 95 Years   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","HSC-MS-16-1096","July 1, 2018","July 1, 2019","December 1, 2019","February 14, 2017",,"April 4, 2019","The University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03052790"
250,"NCT04162197","Efficacy of End-Effector Robot-Assisted Gait Training Combined With Robotic Balance Training in Subacute Stroke Patients",,"Recruiting","No Results Available","Stroke","Device: GEO|Device: GEO and HUNOVA","Change in Berg Balance Scale (BBS)|Change in Motricity Index (MI)|Change in Modified Ashworth Scale (MAS)|Change in Tinetti Scale Balance (TIN-B)|Change in Functional Ambulation Classification (FAC)|Change in 10 Meter Walk Test (10MWT)|Change in Trunk Control Test (TCT)|Change in Time Up And Go (TUG)|Change in Walking Handicap Scale (WHS)|Change in Ambulation Index (AI)|Change in Numerical Rating Scale (NRS)|Change in Neuropathic Pain Screen (ID PAIN)|Change in Barthel Scale/Index (BI)|Change in Six-Minute Walking Test (6MWT)","Fondazione Don Carlo Gnocchi Onlus","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","FDG_GEOHUN","November 18, 2019","March 2, 2020","March 2, 2020","November 14, 2019",,"February 6, 2020","Don Gnocchi Foundation, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT04162197"
251,"NCT00721539","Assessing the da Vinci® Robotic Surgical System for Surgery of the Upper Aerodigestive Tract",,"Terminated","Has Results","Hypopharyngeal Neoplasms|Laryngeal Neoplasms|Head and Neck Cancers","Device: da Vinci Surgical Robot Platform|Procedure: Transoral Robotic Surgery","Overall Complication Rate (Intraoperative and Postoperative)|Feasibility Defined as Ability to Perform the Planned Diagnostic or Therapeutic Procedure|Average Blood Loss|Average Operative Time","Stanford University","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","9","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","ENT0026|SU-07152008-1258","September 2010","September 2012","September 2012","July 24, 2008","November 3, 2016","November 3, 2016","Stanford University School of Medicine, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT00721539"
252,"NCT01726660","The General Use of Robots in Stroke Recovery",,"Withdrawn","No Results Available","Stroke","Device: IMT Robotic Arm therapy","Change from baseline in Upper Extremity Fugl Meyer Motor Assessment|Change from baseline in Kinematic Data|Change from baseline in Fugl Meyer Sensation Scale|Change from baseline in Fugl Meyer Proprioception Scale","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11-121B","February 2012","November 2015","December 2015","November 15, 2012",,"February 5, 2018","Feinstein Institute for Medical Research, Manhasset, New York, United States",,"https://ClinicalTrials.gov/show/NCT01726660"
253,"NCT03808077","The Effect of Deep Versus Moderate Muscle Relaxants in Men During and After Robotic Surgery for Prostate Cancer",,"Recruiting","No Results Available","Prostate Cancer","Drug: Rocuronium 0.3mg/kg/hr|Drug: Rocuronium 1.5mg/kg/hr","Difference in levels of Intra-Abdominal Pressure (IAP) when performing robotic prostatectomy in participants under a moderate vs deep Neuromuscular Blockade technique|Difference in levels of postoperative pain in participants under a moderate vs deep Neuromuscular Blockade technique during robotic prostatectomy using the Visual Analog Scale (VAS)","Memorial Sloan Kettering Cancer Center","Male","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","130","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","18-408","January 14, 2019","January 2021","January 2021","January 17, 2019",,"April 9, 2020","Memorial Sloan - Kettering Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03808077"
254,"NCT03100201","Robotic-assisted Training After Upper Arm Fracture","RASTA","Completed","No Results Available","Shoulder Injury","Other: Intervention Armeo®Spring|Other: Control Group","Change in disability of the arm, shoulder and hand (DASH)|Change in the WMFT-O|Change in ROM|Change in grip strength","Robert Bosch Gesellschaft für Medizinische Forschung mbH|Berufsgenossenschaftliche Unfallklinik Murnau|Berufsgenossenschaftliche Unfallklinik Ludwigshafen|Deutsche Gesetzliche Unfallversicherung (DGUV)","All","35 Years to 70 Years   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","RASTA 2016","February 15, 2016","December 15, 2018","December 1, 2019","April 4, 2017",,"April 24, 2020","Berufsgenossenschaftliche Klinik Ludwigshafen, Ludwigshafen, Germany|Berufsgenossenschaftliche Klinik Murnau, Murnau am Staffelsee, Germany|Robert-Bosch-Hospital, Stuttgart, Germany",,"https://ClinicalTrials.gov/show/NCT03100201"
255,"NCT01855308","Single Site Robotic Cholecystectomy in Non Selected Patients","SSRC","Completed","No Results Available","Cholelithiasis","Procedure: Single site robotic chole|Device: da Vinci Si Surgical System","Completion of procedure by SSRC|Adverse events to study participants (e.g. bile duct injury, hemorrhage)","University of California, Davis","All","18 Years and older   (Adult, Older Adult)",,"160","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","307021","January 2012","January 2017","January 2017","May 16, 2013",,"September 26, 2017","UC Davis Medical Center, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT01855308"
256,"NCT02570958","ENB Robotic ICG Guided Surgery: A Novel Technique for Targeting Small Lung Tumors","ENB-RIGGS","Withdrawn","No Results Available","Non-small Cell Lung Cancer|Thoracic Surgery","Drug: Indocyanine Green","Safety determined by the rates of adverse reactions to ICG dye, intra-operative adverse events, and post-operative complications as defined by the Ottawa Thoracic Morbidity and Mortality classification|Reproducibility|Oncological validity|Process Feasibility will be determined by recruitment rate (The proportion of patients enrolled in the study versus the number eligible, up to n=30)|Management Feasibility will be determined by the percentage of cases for which ICG was successfully obtained from pharmacy and prepared for the ENB-RIGGS procedure|Resource Feasibility will be determined by the sum of the dollar costs of the ENB-RIGGS materials and personnel required to perform the procedure, divided by the number of participants.","St. Joseph's Healthcare Hamilton","All","18 Years and older   (Adult, Older Adult)","Phase 1","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BFCRS-RP-002-1504-29","October 2017","October 2017","October 2017","October 7, 2015",,"June 5, 2017",,,"https://ClinicalTrials.gov/show/NCT02570958"
257,"NCT04319614","Can the Prophylactic Administration of Tranexamic Acid Reduce Blood Loss After Robotic-assisted Radical Prostatectomy?","RARPEX","Recruiting","No Results Available","Robotic-assisted Radical Prostatectomy","Drug: Tranexamic Acid Injectable Product|Drug: Placebos","Reduction of blood loss|The risk of postoperative complications","University Hospital Hradec Kralove","Male","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","RARPEX","February 24, 2020","December 31, 2021","March 30, 2022","March 24, 2020",,"March 27, 2020","University Hospital Hradec Králové, Hradec Králové, Czechia",,"https://ClinicalTrials.gov/show/NCT04319614"
258,"NCT02878720","Combining Non-Invasive Vagus Nerve Stimulation and Robotic Training in Upper Limb-Impaired Chronic Stroke Patients",,"Recruiting","No Results Available","Stroke","Device: Transcutaneous vagal nerve stimulation","Change in Fugl-Meyer Score|Change in kinematic data (Motion Accuracy) measured by the robot|Change in kinematic data (Motion Direction) measured by the robot|Change in kinematic data (Smoothness) measured by the robot|Change in kinematic data (Speed) measured by the robot|Change in kinematic data (Movement Duration) measured by the robot|Change in kinematic data (Efficiency) measured by the robot|Incidence of adverse events that are related to treatment","Campus Bio-Medico University|Biomedical Robotics and Biomicrosystems, Campus Bio-Medico University|Physical and Rehabilitation Medicine, Campus Bio-Medico University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","VagusStroke","January 2016","January 2022","December 2022","August 25, 2016",,"January 27, 2020","Institute of Neurology, Campus Biomedico University, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT02878720"
259,"NCT01726673","Robots Paired With tDCS in Stroke Recovery",,"Completed","Has Results","Stroke","Device: Transcranial Direct Current Stimulation (tDCS)|Device: Placebo sham","Median Change in Upper Extremity Fugl Meyer Assessment Score|Median Change in WOLF Motor Function Test (WMFT)|Median Change in Motor Power Manual Muscle Test Score for the Upper Extremity (MRC)","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Phase 2","54","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","12-102B","September 2012","January 2018","June 2018","November 15, 2012","August 16, 2018","August 16, 2018","Feinstein Institute for Medical Research, Manhasset, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT01726673/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01726673"
260,"NCT02058238","ADDRESS - Adult Deformity Robotic vs. Freehand Surgery to Correct Spinal Deformity",,"Withdrawn","No Results Available","Scoliosis|Kyphosis|Kyphoscoliosis|Spinal Deformity|Spondylosis",,"Incidence of surgical complications|Intraoperative radiation exposure|Revision surgeries|Deformity correction as measured on plain radiographs|Clinical outcome measures assessed using health-related quality of life questionnaires|Pedicle screw instrumentation accuracy|Length of convalescence|Ratio of executed vs. planned screws|Times of intra-operative stages|Implant Failure|Number of Abandoned Screws|Number of screws instrumented freehand|Clinical performance of instrumentation technique|Fusion rate/pseudoarthrosis|Neuromonitoring events","Mazor Robotics","All","21 Years and older   (Adult, Older Adult)",,"0","Industry","Observational","Observational Model: Case-Control|Time Perspective: Prospective","CLN105","October 2014","January 2024","January 2027","February 10, 2014",,"March 22, 2018","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT02058238"
261,"NCT03292276","Improving Hand Motor Function After Stroke: Role of Robotics",,"Completed","No Results Available","It is Possible That Amadeo Will Guarantee a Greater Clinical Improvement as Compared to an Occupational Therapy Thanks to the Strengthening of Brain Plasticity","Device: Amadeo Training","Nine hole peg test|cortical modifications related to movement preparation and execution after robot-assisted training","IRCCS Centro Neurolesi ""Bonino-Pulejo""","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","44/2016","January 2, 2018","February 20, 2018","March 31, 2018","September 25, 2017",,"April 27, 2018","IRCCS Centro Neurolesi ""Bonino-Pulejo"", Messina, Italy",,"https://ClinicalTrials.gov/show/NCT03292276"
262,"NCT01394861","Endoscopic Submucosal Dissection (ESD)- Master Slave Robotic System - Human Study","ESD","Completed","No Results Available","Endoscopic Submucosal Dissection","Device: ESD using Master Slave Robotic System","Ease of the procedure|Completeness of the Procedure|Immediate Procedure Related Complications|Delayed Procedure Related Complications","Asian Institute of Gastroenterology, India|Nanyang Technological University","All","25 Years to 60 Years   (Adult)","Early Phase 1","3","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AIG-GI2011-04","June 2011","July 2011","October 2011","July 15, 2011",,"March 6, 2012","Asian Institute Of Gastroenterology India, Hyderabad, Andhra Pradesh, India",,"https://ClinicalTrials.gov/show/NCT01394861"
263,"NCT01867658","Progel® Pleural Air Leak Sealant (PALS) in Video and Robotic Assisted Thoracoscopic Surgery",,"Completed","Has Results","Pulmonary Disease","Device: Progel® Pleural Air Leak Sealant","Rate of Device and/or Procedure-related Adverse Events|Percentage of Subjects Without Postoperative Air Leaks Following Lung Surgery up to One (1) Month Follow-up|Percentage of Air Leaks That Are Sealed or Reduced|Number of Subjects Who Are Free From Air Leaks Immediately Following Surgery|Duration of Postoperative Air Leaks From the Time of Surgery Until the Air Leak Seals|Duration of Chest Tube Drainage|Duration of Hospitalization (Length of Stay)|Patient Reported Quality of Life as Measured by the SF-36 at Change From Baseline at One(1) Month Follow up","C. R. Bard","All","18 Years and older   (Adult, Older Adult)","Not Applicable","207","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NEO12-102","June 2013","April 2014","April 2014","June 4, 2013","November 11, 2016","March 29, 2017","Cardiothoracic & Vascular Surgical Associates, PA, Jacksonville, Florida, United States|Jupiter Medical Center, Inc., Jupiter, Florida, United States|Baptist Hospital of Miami, Miami, Florida, United States|H. Lee Moffitt Cancer Center and Research Institute Hospital, Inc., Tampa, Florida, United States|North Shore University Health System, Evanston, Illinois, United States|Mayo Clinic, Rochester, Minnesota, United States|Washington University, St. Louis, Missouri, United States|Integrated Cardiology Group, LLC, Lincoln, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Trustees of Columbia University, NY - Presbyterian Hospital, New York City, New York, United States|Greenville Hospital System, Greenville, South Carolina, United States|Baylor Research Institute, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|INOVA Health Care Services, Falls Church, Virginia, United States|Dean Foundation for Health, Research, and Eduation, Inc, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT01867658"
