Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE,NLM,2237739,5R29LM005291-02,5,R29,LM,5291,2,,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1994,91424,
STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE,NLM,3474521,1R29LM005291-01A2,1,R29,LM,5291,1,A2,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1993,101006,
Pittsburgh Biomedical Informatics Training Program,NLM,7214399,2T15LM007059-21,2,T15,LM,7059,21,,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2007,589426,
Pittsburgh Biomedical Informatics Training Program,NLM,7627417,3T15LM007059-21S1,3,T15,LM,7059,21,S1,,1882704,"COOPER, GREGORY F.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2008,6796,
Administrative Core,NIAMS,9792247,5P50AR070590-03,5,P50,AR,70590,3,,6979,6080691,"COOPER, KEVIN D",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,2019,,331404
Psoriasis Center of Research Translation,NIAMS,9792242,5P50AR070590-03,5,P50,AR,70590,3,,,6080691,"COOPER, KEVIN D ","MCCORMICK, THOMAS S;WARD, NICOLE LEANNE",CASE WESTERN RESERVE UNIVERSITY,,2019,1308373,
Administrative Core,NIAMS,9568316,5P50AR070590-02,5,P50,AR,70590,2,,6979,6080691,"COOPER, KEVIN D",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,2018,,328042
Psoriasis Center of Research Translation,NIAMS,9568310,5P50AR070590-02,5,P50,AR,70590,2,,,6080691,"COOPER, KEVIN D ","MCCORMICK, THOMAS S;WARD, NICOLE LEANNE",CASE WESTERN RESERVE UNIVERSITY,,2018,1308227,
Psoriasis Center of Research Translation,NIAMS,9370683,1P50AR070590-01A1,1,P50,AR,70590,1,A1,,6080691,"COOPER, KEVIN D ","MCCORMICK, THOMAS S;WARD, NICOLE LEANNE",CASE WESTERN RESERVE UNIVERSITY,,2017,1276741,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9920230,5R01MH107558-06,5,R01,MH,107558,6,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,676651,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9693300,5R01MH107558-05,5,R01,MH,107558,5,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,676659,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9481191,5R01MH107558-04,5,R01,MH,107558,4,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2018,616434,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9563758,7R01MH107558-03,7,R01,MH,107558,3,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2017,380712,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9331744,5R01MH107558-02,5,R01,MH,107558,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2017,193734,
Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9176279,1R01MH107558-01A1,1,R01,MH,107558,1,A1,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2016,574983,
Automated linguistic analyses of semantics and syntax in speech output in the psychosis prodrome:  A novel paradigm to evaluate subtle thought disorder.,NIMH,9231498,5R03MH108933-02,5,R03,MH,108933,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2017,35453,
Automated linguistic analyses of semantics and syntax in speech output in the psychosis prodrome:  A novel paradigm to evaluate subtle thought disorder.,NIMH,9017082,1R03MH108933-01,1,R03,MH,108933,1,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2016,81000,
Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9859468,5R01MH115332-03,5,R01,MH,115332,3,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,533776,
Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9903990,3R01MH115332-02S1,3,R01,MH,115332,2,S1,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,89238,
Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9669113,5R01MH115332-02,5,R01,MH,115332,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,468909,
Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9435649,1R01MH115332-01,1,R01,MH,115332,1,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2018,513989,
ADVANCED DIGITAL PROCESSING OF CLINICAL 2D-ECHO IMAGES,NHLBI,3899649,5P50HL017651-15,5,P50,HL,17651,15,,52,3244694,"CORDAY, ELIOT ",Not Applicable,CEDARS-SINAI MEDICAL CENTER,,1989,,
ADVANCED DIGITAL PROCESSING OF CLINICAL 2D-ECHO IMAGES,NHLBI,3920640,5P50HL017651-14,5,P50,HL,17651,14,,52,3244694,"CORDAY, ELIOT ",Not Applicable,CEDARS-SINAI MEDICAL CENTER,,1988,,
COMPUTER ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,2173334,5R01GM018519-23,5,R01,GM,18519,23,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1993,273707,
COMPUTER ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269302,5R01GM018519-22,5,R01,GM,18519,22,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1992,273707,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269296,2R01GM018519-21,2,R01,GM,18519,21,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1991,304174,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269301,5R01GM018519-20,5,R01,GM,18519,20,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1990,241553,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269300,5R01GM018519-19,5,R01,GM,18519,19,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1989,185740,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,NIGMS,3269299,5R01GM018519-18,5,R01,GM,18519,18,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1988,225132,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,NIGMS,3269298,5R01GM018519-17,5,R01,GM,18519,17,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1987,253178,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,NIGMS,3269295,2R01GM018519-16,2,R01,GM,18519,16,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1986,213738,
COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269297,5R01GM018519-15,5,R01,GM,18519,15,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1985,244475,
Cancer Prevention through Dietary Change: Training in translational neuroimaging,NCI,9756118,1F31CA232357-01A1,1,F31,CA,232357,1,A1,,14458269,"COSME, DANIELLE ",Not Applicable,UNIVERSITY OF OREGON,,2019,39535,
National Drug Early Warning System Coordinating Center,NIDA,9995237,1U01DA051126-01,1,U01,DA,51126,1,,,1871253,"COTTLER, LINDA B.",Not Applicable,UNIVERSITY OF FLORIDA,,2020,702041,
CORE--CLINICAL RESEARCH,NHLBI,3858332,5P50HL014214-20,5,P50,HL,14214,20,,9001,3393440,"COTTON, ROBERT B",Not Applicable,VANDERBILT UNIVERSITY,,1991,,
CORE--CLINICAL RESEARCH,NHLBI,3879257,5P50HL014214-19,5,P50,HL,14214,19,,9001,3393440,"COTTON, ROBERT B",Not Applicable,VANDERBILT UNIVERSITY,,1990,,
LEARNING SIMPLE ARITHMETIC PROCEDURE,NIMH,3429276,1R03MH046054-01,1,R03,MH,46054,1,,,1879498,"COTTRELL, GARRISON W",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO,,1990,35470,
ELUCIDATING CENTRAL PATTERN GENERATORS,NIMH,3386723,5R01MH046899-02,5,R01,MH,46899,2,,,1879498,"COTTRELL, GARRISON W",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO,,1993,88191,
ELUCIDATING CENTRAL PATTERN GENERATORS,NIMH,3386722,1R01MH046899-01A2,1,R01,MH,46899,1,A2,,1879498,"COTTRELL, GARRISON W",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO,,1992,85075,
Enabling Audio-Haptic Interaction with Physical Objects for the Visually Impaired,NEI,9653180,5R01EY025332-04,5,R01,EY,25332,4,,,2132443,"COUGHLAN, JAMES M",Not Applicable,SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,,2019,416574,
Leveraging Maps and Computer Vision to Support Indoor Navigation for Blind Travelers,NEI,9934891,3R01EY029033-02S1,3,R01,EY,29033,2,S1,,2132443,"COUGHLAN, JAMES M",Not Applicable,SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,,2019,105337,
Leveraging Maps and Computer Vision to Support Indoor Navigation for Blind Travelers,NEI,9663319,5R01EY029033-02,5,R01,EY,29033,2,,,2132443,"COUGHLAN, JAMES M",Not Applicable,SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,,2019,416374,
Identifying palliative care needs among hospitalized patients with chronic obstructive pulmonary disease,NHLBI,9746515,5K23HL143181-02,5,K23,HL,143181,2,,,11916260,"COURTRIGHT, KATHERINE RINALDI",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,174140,
Genetic determinants of puberty and later life health outcomes,NICHD,9805815,1K99HD099330-01,1,K99,HD,99330,1,,,14377561,"COUSMINER, DIANA ",Not Applicable,CHILDREN'S HOSP OF PHILADELPHIA,,2019,131733,
EMBOLI CLASSIFICATION SYSTEM TO REDUCE BRAIN INJURY,NINDS,2891987,5R44NS034208-03,5,R44,NS,34208,3,,,1869786,"COX, HENRY ",Not Applicable,ORINCON CORPORATION,,1999,338826,
EMBOLI CLASSIFICATION SYSTEM TO REDUCE BRAIN INJURY,NINDS,2644307,2R44NS034208-02A2,2,R44,NS,34208,2,A2,,1869786,"COX, HENRY ",Not Applicable,ORINCON CORPORATION,,1998,410552,
Pilot Project Component,NIAAA,7499415,2P60AA007611-21,2,P60,AA,7611,21,,17,1868766,"CRABB, DAVID W",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2008,,86607
Accelerating Multi-modal Biomarker Discovery in Translational Research with Cloud Data Integration,NIGMS,9672504,5R44GM117914-03,5,R44,GM,117914,3,,,14312162,"CRAFORD, DAVID ",Not Applicable,"CYTOBANK, INC.",,2019,652516,
CUTANEOUS PATTERN PERCEPTION,NIDCD,3215656,3R01DC000095-22S1,3,R01,DC,95,22,S1,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1993,90716,
CUTANEOUS PATTERN PERCEPTION,NIDCD,3215659,5R01DC000095-22,5,R01,DC,95,22,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1992,220382,
CUTANEOUS PATTERN PERCEPTION,NIDCD,3215658,5R01DC000095-21,5,R01,DC,95,21,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1991,206811,
CUTANEOUS PATTERN PERCEPTION,NIDCD,3215657,5R01DC000095-20,5,R01,DC,95,20,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1990,192523,
CUTANEOUS PATTERN PERCEPTION,NIDCD,3215660,7R01DC000095-19,7,R01,DC,95,19,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1989,230027,
CUTANEOUS PATTERN PERCEPTION,NINDS,3394044,5R01NS009783-18,5,R01,NS,9783,18,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1988,173421,
CUTANEOUS PATERN PERCEPTION,NINDS,3394043,5R01NS009783-17,5,R01,NS,9783,17,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1987,184022,
CUTANEOUS PATERN PERCEPTION,NINDS,3394041,2R01NS009783-16,2,R01,NS,9783,16,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1986,160677,
CUTANEOUS PATTERN PERCEPTION,NINDS,3394042,5R01NS009783-15,5,R01,NS,9783,15,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1985,157630,
A NON INVASIVE DERMATOLOGICAL LESION CLASSIFIER,NCI,6376769,5R44CA078006-03,5,R44,CA,78006,3,,,7922334,"CRAINE, ERIC R.",Not Applicable,"WESTERN RESEARCH COMPANY, INC.",,2001,359255,
A NON INVASIVE DERMATOLOGICAL LESION CLASSIFIER,NCI,6143548,2R44CA078006-02,2,R44,CA,78006,2,,,7922334,"CRAINE, ERIC R.",Not Applicable,"WESTERN RESEARCH COMPANY, INC.",,2000,363073,
NONINVASIVE DERMATOLOGICAL LESION CLASSIFIER,NCI,2645334,1R43CA078006-01,1,R43,CA,78006,1,,,7922334,"CRAINE, ERIC R.",Not Applicable,"WESTERN RESEARCH COMPANY, INC.",,1998,100000,
ADNI Psychometrics: Machine Learning to discern Natural History Aim 2 Supplement,NIA,9933184,3R01AG029672-08S1,3,R01,AG,29672,8,S1,,6773724,"CRANE, PAUL K",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,281279,
Use of a machine learning framework to predict severe maternal morbidity,NICHD,9767258,5R03HD095057-02,5,R03,HD,95057,2,,,14509408,"CREANGA, ANDREEA ALINA",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2019,81875,
Technology-supported training and quality assurance for psychosocial interventions,NIMH,9829235,1R56MH118550-01,1,R56,MH,118550,1,,,9761528,"CREED, TORREY A. ","ATKINS, DAVID CHARLES;NARAYANAN, SHRIKANTH ",UNIVERSITY OF PENNSYLVANIA,,2019,831604,
Towards a FAIR Digital Ecosystem in the Cloud,OD,9672008,3OT3OD025456-01S1,3,OT3,OD,25456,1,S1,,12037964,"CROSAS, MERCE ",Not Applicable,HARVARD UNIVERSITY,,2018,347221,
Towards a FAIR Digital Ecosystem in the Cloud,OD,9559873,1OT3OD025456-01,1,OT3,OD,25456,1,,,12037964,"CROSAS, MERCE ",Not Applicable,HARVARD UNIVERSITY,,2018,300000,
Novel Approaches for Predicting Unstructured Short Periods of Physical Activities in Youth,NICHD,9688867,5R01HD083431-04,5,R01,HD,83431,4,,,8418532,"CROUTER, SCOTT E ","DING, WEI ;KEOGH, EAMONN JOHN",UNIVERSITY OF TENNESSEE KNOXVILLE,,2019,416786,
Revealing the transcriptional and developmental mechanisms of interneuron identity,NIMH,9754408,1K99MH120050-01,1,K99,MH,120050,1,,,14643076,"CROW, MEGAN ",Not Applicable,COLD SPRING HARBOR LABORATORY,,2019,118421,
Paperless Quality Donor System with Decision Making,NHLBI,7127266,5R44HL072635-05,5,R44,HL,72635,5,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2006,927498,
Paperless Quality Donor System with Decision Making,NHLBI,6990079,2R44HL072635-04A1,2,R44,HL,72635,4,A1,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2005,910764,
Paperless Quality Donor System with Decision Making,NHLBI,6930165,3R44HL072635-03S1,3,R44,HL,72635,3,S1,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2004,394563,
Paperless Quality Donor System with Decision Making,NHLBI,6745080,5R44HL072635-03,5,R44,HL,72635,3,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2004,359477,
Paperless Quality Donor System with Decision Making,NHLBI,6728674,4R44HL072635-02,4,R44,HL,72635,2,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2003,514079,
Paperless Quality Donor System with Decision Making,NHLBI,6585908,1R44HL072635-01,1,R44,HL,72635,1,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2003,119826,
Sedation Management in Pediatric Patients supported on *,NICHD,6796829,5R21HD045020-02,5,R21,HD,45020,2,,,6487216,"CURLEY, MARTHA AQ",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,2004,176460,
Sedation Management in Pediatric Patients,NICHD,6690641,1R21HD045020-01,1,R21,HD,45020,1,,,6487216,"CURLEY, MARTHA AQ",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,2003,194965,
Dynamic; real-time prediction of alcohol use lapse using mHealth technologies,NIAAA,9709183,5R01AA024391-05,5,R01,AA,24391,5,,,2117650,"CURTIN, JOHN J.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2019,381816,
Contextualized daily prediction of lapse risk in opioid use disorder by digital phenotyping,NIDA,9818617,1R01DA047315-01A1,1,R01,DA,47315,1,A1,,2117650,"CURTIN, JOHN J. ","SHAH, DHAVAN ",UNIVERSITY OF WISCONSIN-MADISON,,2019,683430,
Digital Markers in Relapse and Recovery,NIDA,10001918,1ZIADA000628-01,1,ZIA,DA,628,1,,,16135727,"CURTIS, BRENDA ",Not Applicable,NATIONAL INSTITUTE ON DRUG ABUSE,,2019,443524,
Reducing HIV Vulnerability in High Risks Populations,NIDA,10001919,1ZIADA000629-01,1,ZIA,DA,629,1,,,16135727,"CURTIS, BRENDA ",Not Applicable,NATIONAL INSTITUTE ON DRUG ABUSE,,2019,430479,
Using the Electronic Health Record to Identify and Promote Goals-of-Care Communication for Older Patients with Serious Illness,NIA,9708591,1R01AG062441-01,1,R01,AG,62441,1,,,1886745,"CURTIS, J RANDALL ","ENGELBERG, RUTH ANN",UNIVERSITY OF WASHINGTON,,2019,777399,
PERCEIVING STRUCTURE IN EVENTS,NIMH,3376208,5R01MH037467-04,5,R01,MH,37467,4,,,1885505,"CUTTING, JAMES E",Not Applicable,CORNELL UNIVERSITY ITHACA,,1987,42448,
PERCEIVING STRUCTURE IN EVENTS,NIMH,3376206,2R01MH037467-03,2,R01,MH,37467,3,,,1885505,"CUTTING, JAMES E",Not Applicable,CORNELL UNIVERSITY ITHACA,,1986,44287,
A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9928376,5R01AG053163-05,5,R01,AG,53163,5,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2020,736726,
A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9791132,5R01AG053163-04,5,R01,AG,53163,4,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2019,587119,
A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9708683,7R01AG053163-03,7,R01,AG,53163,3,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2018,589098,
A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9346004,5R01AG053163-02,5,R01,AG,53163,2,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2017,579139,
A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9147924,1R01AG053163-01,1,R01,AG,53163,1,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2016,834282,
A MECHANICAL SPECTROMETER FOR BIOLOGICAL MATERIALS,NCRR,3509389,5R44RR003680-03,5,R44,RR,3680,3,,,3797982,"D'SOUZA, GERARD ",Not Applicable,"SYSTEMS APPLICATIONS, INC.",,1990,211636,
A MECHANICAL SPECTROMETER FOR BIOLOGICAL MATERIALS,NCRR,3509388,2R44RR003680-02,2,R44,RR,3680,2,,,3797982,"D'SOUZA, GERARD ",Not Applicable,"SYSTEMS APPLICATIONS, INC.",,1989,227068,
Real-Time Virtual Assessment of MitraClip Placement,NHLBI,9679208,1R43HL145896-01,1,R43,HL,145896,1,,,15423639,"DABIRI, YAGHOUB  ","KASSAB, GHASSAN S","3DT HOLDINGS, LLC",,2019,289679,
Genome wide profiling of histone variants in tumors,NCI,10014570,1ZIABC011206-11,1,ZIA,CA,11206,11,,,8630576,"DALAL, YAMINI P",Not Applicable,,,2019,459337,
Precision Cardio-Metabolic Phenotyping for Genetic Discovery and Risk Prediction,VA,9744464,5IK2CX001780-02,5,IK2,VA,1780,2,,,9231626,"DAMRAUER, SCOTT MICHAEL",Not Applicable,PHILADELPHIA VA MEDICAL CENTER,,2019,,
Precision Cardio-Metabolic Phenotyping for Genetic Discovery and Risk Prediction,VA,9565219,1IK2CX001780-01,1,IK2,VA,1780,1,,,9231626,"DAMRAUER, SCOTT MICHAEL",Not Applicable,PHILADELPHIA VA MEDICAL CENTER,,2018,,
Quantitative Analysis,NIAMS,9718542,1P30AR074990-01,1,P30,AR,74990,1,,5324,9721736,"DANIEL, THOMAS L.",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,,164087
Bayesian Methods for Longitudinal Cancer Data,NCI,7029008,5R01CA085295-07,5,R01,CA,85295,7,,,6181794,"DANIELS, MICHAEL J",Not Applicable,UNIVERSITY OF FLORIDA,,2006,123264,
Bayesian Methods for Longitudinal Cancer Data,NCI,6872964,5R01CA085295-06,5,R01,CA,85295,6,,,6181794,"DANIELS, MICHAEL J",Not Applicable,UNIVERSITY OF FLORIDA,,2005,95917,
Bayesian Methods for Longitudinal Cancer Data,NCI,6781385,2R01CA085295-05,2,R01,CA,85295,5,,,6181794,"DANIELS, MICHAEL J",Not Applicable,UNIVERSITY OF FLORIDA,,2004,100115,
An Intracortical Brain-Computer Interface Model for High Efficiency Development of Closed-Loop Neural Decoding Algorithms,NINDS,9817780,1R01NS109257-01A1,1,R01,NS,109257,1,A1,,9553574,"DANZIGER, ZACHARY C",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY,,2019,367007,
Technologic Innovation to Enhance the Scalability and Sustainability of Trauma Center Provider Training in Suicide Safety Planning,NIMH,9973232,5K23MH118361-02,5,K23,MH,118361,2,,,11423043,"DARNELL, DOYANNE ASPEN",Not Applicable,UNIVERSITY OF WASHINGTON,,2020,154553,
Technologic Innovation to Enhance the Scalability and Sustainability of Trauma Center Provider Training in Suicide Safety Planning,NIMH,9821134,1K23MH118361-01A1,1,K23,MH,118361,1,A1,,11423043,"DARNELL, DOYANNE ASPEN",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,154695,
Motion Sequencing for All: pipelining; distribution and training to enable broad adoption of a next-generation platform for behavioral and neurobehavioral analysis,NINDS,9654850,1U24NS109520-01,1,U24,NS,109520,1,,,1892479,"DATTA, SANDEEP R",Not Applicable,HARVARD MEDICAL SCHOOL,,2019,455655,
Data Science Core,NINDS,9823714,1U19NS113201-01,1,U19,NS,113201,1,,7917,1892479,"DATTA, SANDEEP R",Not Applicable,HARVARD MEDICAL SCHOOL,,2019,,392515
New Wavelet-based and Source Separation Methods for fMRI,NIMH,7107885,5R01MH067204-05,5,R01,MH,67204,5,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2006,385718,
New Wavelet-based and Source Separation Methods for fMRI,NIMH,6949109,5R01MH067204-04,5,R01,MH,67204,4,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2005,395000,
New Wavelet-based and Source Separation Methods for fMRI,NIMH,6797879,5R01MH067204-03,5,R01,MH,67204,3,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2004,395000,
New Wavelet-based and Source Separation Methods for fMRI,NIMH,6663283,5R01MH067204-02,5,R01,MH,67204,2,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2003,395000,
New Wavelet-based and Source Separation Methods for fMRI,NIMH,6554738,1R01MH067204-01,1,R01,MH,67204,1,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2002,395000,
Pattern Analysis of fMRI via machine learning/sparse models: application to brain development,NIBIB,9695211,5R01EB022573-04,5,R01,EB,22573,4,,,2090584,"DAVATZIKOS, CHRISTOS  ","FAN, YONG ",UNIVERSITY OF PENNSYLVANIA,,2019,522460,
Mapping Heterogeneity of Neuroanatomical Imaging Signatures of Psychosis via Pattern Analysis,NIMH,9742524,5R01MH112070-03,5,R01,MH,112070,3,,,2090584,"DAVATZIKOS, CHRISTOS ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,659674,
Tools for modeling state-dependent sensory encoding by neural populations across spatial and temporal scales,NIBIB,9774688,1R01EB028155-01,1,R01,EB,28155,1,,,8375607,"DAVID, STEPHEN V ","MESGARANI, NIMA ",OREGON HEALTH & SCIENCE UNIVERSITY,,2019,1082375,
PULSE PILEUP RECOVERY FOR ENERGY DISPERSIVE SPECTROSCOPY,NCRR,2703183,5R44RR008828-03,5,R44,RR,8828,3,,,1957597,"DAVILLA, SCOTT D",Not Applicable,"FOUR-PI ANALYSIS, INC.",,1998,211267,
PULSE PILEUP RECOVERY FOR ENERGY DISPERSIVE SPECTROSCOPY,NCRR,2040081,2R44RR008828-02,2,R44,RR,8828,2,,,1957597,"DAVILLA, SCOTT D",Not Applicable,"FOUR-PI ANALYSIS, INC.",,1997,234971,
CRCNS: Representational foundations of adaptive behavior in natural and artificial ,NIMH,9292377,5R01MH109177-03,5,R01,MH,109177,3,,,9076101,"DAW, NATHANIEL DOUGLASS",Not Applicable,PRINCETON UNIVERSITY,,2017,373529,
CRCNS: Representational foundations of adaptive behavior in natural and artificial ,NIMH,9126614,5R01MH109177-02,5,R01,MH,109177,2,,,9076101,"DAW, NATHANIEL DOUGLASS",Not Applicable,PRINCETON UNIVERSITY,,2016,384420,
CRCNS: Representational foundations of adaptive behavior in natural and artificial ,NIMH,9052441,1R01MH109177-01,1,R01,MH,109177,1,,,9076101,"DAW, NATHANIEL DOUGLASS",Not Applicable,PRINCETON UNIVERSITY,,2015,425468,
