OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
FA9550-18-S-0003,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,99999,"Daniel P. Smith
Procurement Analyst
Phone 703-585-1785",,daniel.smith120@us.af.mil,,,06/11/2018,04/10/2019,07/23/2019 14:42:23,Synopsis 5
BAA-AFRL-AFOSR-2015-0001,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,100,"King Nwoha
Contract Specialist
703-696-1146

Kathy Walston
Procurement Analyst
937-255-9493
",,afosr.baa@us.af.mil,,,05/07/2015,07/10/2016,06/03/2016 13:49:03,Synopsis 5
BAA-AFOSR-2013-0001,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,,"Rina Martinez
Procurement Analyst
Phone 703-588-8496",,rina.martinez@us.af.mil,,,01/29/2013,03/31/2014,03/04/2014 14:33:04,Synopsis 3
NIJ-2016-8997,"Community Corrections: Technology Research, Development and Evaluation to Improve Supervision and Outcomes",USDOJ-OJP-NIJ,National Institute of Justice,2000000,3,"NCJRS Call Center
grants@ncjrs.gov
",,grants@ncjrs.gov,,,02/19/2016,05/19/2016,02/19/2016 17:03:19,Synopsis 1
NIJ-2020-17295,"Research and Evaluation of Promising Reentry Initiatives, Fiscal Year 2020",USDOJ-OJP-NIJ,National Institute of Justice,6000000,6,"For assistance with any other requirements of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 1-800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date. General information on applying for NIJ awards can be found at https://nij.ojp.gov/funding. Answers to frequently asked questions that may assist applicants are posted at https://nij.ojp.gov/funding/frequently-asked-questions-about-applying-grants-and-cooperative-agreements.
grants@ncjrs.gov",,grants@ncjrs.gov,,,01/23/2020,05/05/2020,03/27/2020 16:34:27,Synopsis 5
DE-FOA-0002173,Early Career Research Program,PAMS-SC,Office of Science,49000000,65,"Linda Horton 
SC.Early@science.doe.gov",,SC.Early@science.doe.gov,,,11/21/2019,04/27/2020,04/24/2020 8:06:24,Synopsis 3
RFI-AFRL-RQKM-2016-0009,Manufacturing Innovation Institutes,DOD-AFRL,Air Force -- Research Lab,75000000,1,"Mary Ann Sharits
Grants Officer
Phone 937-713-9898",,mary.sharits@us.af.mil,,,12/15/2015,04/07/2016,03/15/2016 14:34:15,Synopsis 4
ED-GRANTS-011310-001,National Institute on Disability and Rehabilitation Research (NIDRR)--Small Business Innovation Research Program (SBIR)--Phase I CFDA 84.133S-1,ED,Department of Education,1125000,15,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Manager:
Lynn Medley
U.S. Department of Education
400 Maryland Avenue, SW., room 6027
Potomac Center Plaza (PCP)
Washington, DC 20202-2700
Telephone: (202) 245-7338 or by e-mail:",,lynn.medley@ed.gov,,,01/13/2010,03/15/2010,01/13/2010 10:11:13,Synopsis 1
NNH20ZHA001O,National Space Grant College and Fellowship Program – Artemis Student Challenge Opportunities FY2020 – FY2021,NASA,National Aeronautics and Space Administration,2400000,6,"Erica J. Alston
Deputy Space Grant Program Manager
757-864-7247",,SGCFP@nasaprs.com,,,12/12/2019,02/10/2020,12/12/2019 13:41:12,Synopsis 6
ONRFOA14-012,Fiscal Year (FY) 2015 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-ONR,Office of Naval Research,145000000,,"For Navy Submission:
Mary Helen Dent 
Contract Specialist
Phone 703-588-2432",,mary.dent@navy.mil,,,09/22/2014,,12/05/2014 14:47:05,Synopsis 4
BAA-AFOSR-2014-0001,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,,Susan Fuller,,afosr.baa@us.af.mil,,,02/28/2014,05/31/2015,05/19/2015 10:43:19,Synopsis 5
W911NF18S0003,Fiscal Year (FY) 2019 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) - ARMY SUBMISSION,DOD-AMC,Dept of the Army -- Materiel Command,,,"Kia McCormick
Procurement Analyst
Phone (919)549-4281",,kia.s.mccormick.civ@mail.mil,,,03/27/2018,10/16/2018,07/17/2018 14:46:17,Synopsis 3
N00014-18-S-F006,Fiscal Year (FY) 2019 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-ONR,Office of Naval Research,,,"David Broadwell
Grant Management Specialist
Phone 703-588-2866",,david.broadwell@navy.mil,,,03/22/2018,10/16/2018,07/17/2018 13:58:17,Synopsis 3
BAA-RIK-2014-0008,"Centers of Excellence:  Autonomy, Cyber Security, and Research Data Analysis at Historically Black Colleges and Universities and Other Minority-Serving Institutions of Higher Education",DOD-AFRL,Air Force -- Research Lab,15000000,3,"Gail Marsh
Contracting Officer
Phone 315-330-7518",,Gail.Marsh@us.af.mil,,,05/01/2014,07/22/2014,06/09/2014 10:30:09,Synopsis 2
W911NF-08-R-0007,Minerva Research Initiative (MRI),DOD-AMC,Dept of the Army -- Materiel Command,,,"Susan Hill
Grants/Contracting Officer
Phone 919-549-4338",,susan.p.hill@us.army.mil,,,06/12/2008,10/03/2008,08/11/2008 11:50:11,Synopsis 3
HR001117S0016,Lifelong Learning Machines (L2M),DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,"Dr. Hava Siegelmann, 
Program Manager",,HR001117S0016@darpa.mil,,,04/12/2017,06/30/2017,06/08/2017 14:32:08,Synopsis 2
SFOP0005895,FY 2019 DRL Internet Freedom Annual Program Statement,DOS-DRL,Bureau of Democracy Human Rights and Labor,14000000,0,InternetFreedom@state.gov,,,,,05/16/2019,09/20/2019,05/16/2019 16:07:16,Synopsis 1
W9126G-12-2-SOI-0017,"Monitoring and Management of Endangered Species Populations and Habitat; Red-cockaded Woodpecker, Florida Scrub-jay, and Florida Grasshopper Sparrow",DOD-COE,Dept. of the Army  --  Corps of Engineers,427000,1,"Michael Johns
Contracts Specialist
Phone 817-886-1266",,michael.v.johns@usace.army.mil,,,03/07/2012,03/20/2012,03/06/2012 15:56:06,Synopsis 1
R14AC00066,Notice of Intent to Award to Texas A,DOI-BOR,Bureau of Reclamation,123000,1,"Michelle Maher
Grants Officer
Phone 303-445-2025",,mmaher@usbr.gov,,,07/07/2014,07/21/2014,07/07/2014 13:59:07,Synopsis 1
FOA-AFRL-AFOSR-2018-0001,Fiscal Year (FY) 2019 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-AFOSR,Air Force Office of Scientific Research,,,"Katie Wisecarver
Grantor
Phone 703-696-9544",,katie.wisecarver@us.af.mil,,,03/22/2018,11/13/2018,11/06/2018 12:30:06,Synopsis 6
USDA-NIFA-OP-007632,Agricultural Genome to Phenome Initiative,USDA-NIFA,National Institute of Food and Agriculture,960000,,"NIFA Help Desk 
Phone: 202-401-5048 
Business hours are M-F, 7:00 am -5:00 pm ET, excluding Federal holidays",,electronic@usda.gov,,,06/05/2020,07/15/2020,06/12/2020 17:51:12,Synopsis 1
SFOP0007150,Demonstrating and Supporting U.S. Values and Leadership in the Global Scientific Enterprise,DOS-OES,Bureau of Oceans - Int. Environmental - Scientific,,0,LennonAM@state.gov,,,,,06/26/2020,08/10/2020,06/26/2020 18:05:26,Synopsis 1
W911NF-10-R-0008,FY 2010 Historically Black Colleges and Universities (HBCUs) Partnership in Research Transition (PIRT) Program,DOD-AMC,Dept of the Army -- Materiel Command,20000000,5,"Ernie Dixon
Phone 919-549-4270",,ernie.dixon@us.army.mil,,,07/20/2010,10/22/2010,07/20/2010 16:45:20,Synopsis 1
DHS-20-GPD-075-00-01,Fiscal Year 2020 Transit Security Grant Program (TSGP),DHS-DHS,Department of Homeland Security - FEMA,88000000,40,"User, System
ndgrants@fema.dhs.gov",,ndgrants@fema.dhs.gov,,,02/14/2020,04/30/2020,03/23/2020 12:49:23,Synopsis 2
DHS-20-GPD-057-00-01,Fiscal Year (FY) 2020 Intercity Bus Security Grant Program (IBSGP),DHS-DHS,Department of Homeland Security - FEMA,2000000,100,"User, System
ndgrants@fema.dhs.gov",,ndgrants@fema.dhs.gov,,,02/14/2020,04/30/2020,04/13/2020 9:21:13,Synopsis 4
G20AS00042,2021 EHP External Research Grants,DOI-USGS1,Geological Survey,,200,"Margaret Eastman
Contract Specialist
Phone 703-648-7366",,mrussell@usgs.gov,,,03/10/2020,06/03/2020,04/30/2020 10:58:30,Synopsis 2
72011420RFA00001,Information Integrity Program in Georgia,USAID-GEO,Georgia USAID-Tbilisi,7500000,1,"Maya Chelidze
Acquisition and Assist. Specialist
Phone 2022166272x4203

Deborah Perlman
Regional Agreement Officer
dperlman@usaid.gov",,mchelidze@usaid.gov,,,04/02/2020,06/10/2020,05/28/2020 9:59:28,Synopsis 11
FOA-AFRL-AFOSR-2020-0002,Multidisciplinary Research Program of the University Research Initiative (FY21 Air Force Submission),DOD-AFOSR,Air Force Office of Scientific Research,180000000,500,"If you have difficulty accessing the full announcement electronically, please contact

Katie Wisecarver
Program Coordinator
Phone 703-696-9544",,Katie.wisecarver@us.af.mil,,,02/26/2020,09/14/2020,06/08/2020 11:18:08,Synopsis 8
N00014-18-S-B001,FY18 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,DOD-ONR,Office of Naval Research,,,"Matthew Murray
Contracting Specialist
Phone 703-696-4257",,matthew.murray1@navy.mil,,,09/29/2017,12/31/2018,09/20/2018 7:45:20,Synopsis 3
W911NF-20-S-0009,Multidisciplinary Research Program of the University Research Initiative (FY21 ARMY SUBMISSION),DOD-AMC,Dept of the Army -- Materiel Command,180000000,,"Kia S McCormick
Procurement Analyst
Phone 919-549-4281",,kia.s.mccormick.civ@mail.mil,,,02/25/2020,09/14/2020,05/08/2020 8:01:08,Synopsis 3
N00014-20-S-F003,Fiscal Year (FY) 2021 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-ONR,Office of Naval Research,,,"Veronica Lacey
Grant Management Specialist
veronica.lacey@navy.mil",,veronica.lacey@navy.mil,,,02/24/2020,09/14/2020,05/07/2020 14:12:07,Synopsis 2
WHS-AD-FOA-18,Minerva Research Initiative,DOD,Department of Defense,,,"Christina Gess
Contract Specialist
Phone 703-545-1880",,christina.l.gess.civ@mail.mil,,,05/24/2018,08/14/2018,05/24/2018 10:37:24,Synopsis 1
W911NF-12-R-0012,Army Research Office Broad Agency Announcement for Basic and Applied Scientific Research,DOD-AMC,Dept of the Army -- Materiel Command,,1000,"ANDREW L. FISKE
Procurement Analyst
Army Contracting Command
Aberdeen Proving Ground
Research Triangle Park Division
Phone: (919) 549-4338
FAX: (919) 549-4388
andrew.l.fiske.civ@mail.mil

",,andrew.l.fiske.civ@mail.mil,,,03/27/2015,03/31/2017,05/09/2016 15:19:09,Synopsis 10
DARPA-RA-19-01,Young Faculty Award (YFA),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
YFA2020@darpa.mil",,YFA2020@darpa.mil,,,08/28/2019,11/19/2019,08/28/2019 16:08:28,Synopsis 1
N00014-17-S-F006,Fiscal Year (FY) 2018 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),DOD-ONR,Office of Naval Research,,,"David Broadwell
Grants Officer
Phone 703-588-2866",,david.broadwell@navy.mil,,,03/16/2017,11/01/2017,03/16/2017 11:53:16,Synopsis 1
N00014-17-S-F006,Fiscal Year (FY) 2018 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) - ARMY SUBMISSION,DOD-AMC,Dept of the Army -- Materiel Command,,,"ANDREW FISKE
PROCUREMENT ANALYST
Phone 9195494338",,andrew.l.fiske.civ@mail.mil,,,03/22/2017,11/01/2017,05/31/2017 14:29:31,Synopsis 2
N00014-17-S-F006,Fiscal Year (FY) 2018 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-AFOSR,Air Force Office of Scientific Research,170000000,10,"Chakila Tillie
Program Coordinator
",,chakila.tillie@us.af.mil,,,03/20/2017,11/01/2017,05/31/2017 11:08:31,Synopsis 3
ONRBAA10-002,Department of Defense Multi-Disciplinary Research Program of the University Research Initiative,DOD-ONR,Office of Naval Research,,,"Matt Ferebee
Contract Specialist
Phone 703-696-1474",,matthew.ferebee@navy.mil,,,10/09/2009,03/02/2010,10/09/2009 15:15:09,Synopsis 1
ONR-BAA-10-002,Fiscal Year (FY) 2010 Department of Defense Multidisciplinary Research Program of the University Research Initiative,DOD-AFOSR,Air Force Office of Scientific Research,,,E-mail: afosr.baa@afosr.af.mil,,afosr.baa.@afosr.af.mil,,,10/14/2009,03/02/2010,02/25/2010 16:03:25,Synopsis 3
ONRBAA10-002,Fiscal Year (FY) 2010 Department of Defense Multidisciplinary Research Program of the University Research Initiative - For Proposal Submission to the Army,DOD-AMC,Dept of the Army -- Materiel Command,,,"Lida Barton
Contracting
Phone 919-549-4266",,lida.barton@us.army.mil,,,10/22/2009,03/02/2010,10/22/2009 10:43:22,Synopsis 1
FOA-AFRL-AFOSR-2019-0002,Multidisciplinary Research Program of the University Research Initiative (FY20 Air Force Submission),DOD-AFOSR,Air Force Office of Scientific Research,180000000,,"If you have difficulty accessing the full announcement electronically, please contact

Katie Wisecarver
Program Coordinator
Phone 703-696-9544",,Katie.wisecarver@us.af.mil,,,03/06/2019,09/13/2019,03/06/2019 10:57:06,Synopsis 2
W911NF-07-R-0001-05,ARL/ARO Broad Agency Announcement-Revised,DOD-AMC,Dept of the Army -- Materiel Command,,100,"Kevin Bassler
Procurement Analyst
Phone 919-549-4295",,kevin.j.bassler.civ@mail.mil,,,11/25/2008,05/15/2012,04/10/2012 7:42:10,Synopsis 18
W911QY20R0022,US Army Combat Capabilities Development Command Broad Agency Announcement,DOD-AMC-ACCAPGN,ACC APG - Natick,,50,"Shawn P Haubner
Grantor
Phone 508-206-2067",,shawn.p.haubner.civ@mail.mil,,,06/02/2020,02/28/2025,06/24/2020 10:30:24,Synopsis 1
N00014-19-S-F005,Fiscal Year (FY) 2020 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),DOD-ONR,Office of Naval Research,,,"David Broadwell
Grant Management Specialist
Phone 703-588-2866",,david.broadwell@navy.mil,,,02/28/2019,09/13/2019,04/11/2019 12:07:11,Synopsis 2
BAA08-22-PDF,Defense Sciences Research & Technology,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Coordinator,,BAA08-22@darpa.mil,,,01/16/2009,03/06/2009,02/26/2009 6:48:26,Synopsis 2
BAA-AFOSR-2012-0001,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,,Procurement Analyst,,afosr.baa@afosr.af.mil,,,03/27/2012,04/30/2013,03/27/2013 15:28:27,Synopsis 2
N00421-19-S-0001,Naval Air Systems Command Digital Office (NDO) Office-Wide Broad Agency Announcement,DOD-ONR-AIR,NAVAIR,,,NAVAIR NDO BAA Coordinator,,navair_ndo_baa.fct@navy.mil,,,11/19/2018,11/18/2019,11/19/2018 15:24:19,Synopsis 1
BAA-AFRL-AFOSR-2016-0007,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,,99999,"Daniel Smith
Procurement Analyst
Phone 703-588-8494",,Daniel.smith.120@us.af.mil,,,11/07/2017,06/10/2018,06/19/2018 8:10:19,Synopsis 2
W911NF-19-S-0008,Multidisciplinary Research Program of the University Research Initiative (FY20 ARMY SUBMISSION),DOD-AMC,Dept of the Army -- Materiel Command,180000000,,"Kia S McCormick
Procurement Analyst
Phone 919-549-4281",,kia.s.mccormick.civ@mail.mil,,,03/01/2019,09/13/2019,04/18/2019 16:23:18,Synopsis 6
NIJ-2011-2800,Expert Systems Technologies for Criminal Justice Applications,USDOJ-OJP-NIJ,National Institute of Justice,,,"For assistance with any other requirement of this solicitation, contact John Kaplan, General Engineer, at 2023054503 or by e-mail at John.Kaplan@usdoj.gov.
For technical assistance with submitting the application, contact the Grants.gov Customer Support Hotline at 8005184726 or via e-mail to support@grants.gov.
Note: The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except Federal holidays.
",,John.Kaplan@usdoj.gov,,,11/09/2010,02/07/2011,11/09/2010 15:58:09,Synopsis 2
ED-GRANTS-090908-001,Small Business Innovative Research Program (SBIR)--Phase I CFDA 84.133S-1,ED,Department of Education,1125000,15,"Julius Cotton
ED Grants.gov FIND System Admin.
Phone (202) 245-6140
julius.cotton@ed.gov
Program Manager:
Lynn Medley
U.S. Department of Education
400 Maryland Avenue, SW., room 6027
Potomac Center Plaza 
Washington, DC 20202-2700. 
Telephone: (202) 245-7338 or by e-mail: ",,Lynn.Medley@ed.gov,,,09/09/2008,11/10/2008,09/09/2008 9:48:09,Synopsis 2
ED-GRANTS-121613-003,OSERS/NIDRR: Small Business Innovation Research (SBIR) Phase I CFDA Number 84.133S-1,ED,Department of Education,750000,10,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
EducationGrantInquiries@ed.gov
Program Manager:
Patricia Barrett
U.S. Department of Education
400 Maryland Avenue SW., Room 5142,
Potomac Center Plaza (PCP) 
Washington, DC 20202-2700. 
Telephone: (202) 245-6211 or by email: patricia.barrett@ed.gov.

",,patricia.barrett@ed.gov,,,12/16/2013,02/14/2014,12/16/2013 10:22:16,Synopsis 1
RA08-52,Computer Science Study Group,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,1,Dr . Benjamin Mann,,DARPA-RA-08-52@darpa.mil,,,06/09/2008,06/10/2009,09/03/2008 8:31:03,Synopsis 2
ED-GRANTS-121310-002,National Institute on Disability and Rehabilitation Research (NIDRR)--Small Business Innovation Research Program (SBIR)--Phase I CFDA Number 84.133S-1,ED,Department of Education,1125000,15,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Managers:
Lynn Medley or Marlene Spencer
Lynn Medley
U.S. Department of Education
400 Maryland Avenue, SW., room 5140
Potomac Center Plaza (PCP)
Washington, DC 20202-2700
Telephone: (202) 245-7338 or by e-mail: Lynn.Medley@ed.gov
Marlene Spencer
U.S. Department of Education
400 Maryland Avenue, SW., room 5133
Potomac Center Plaza (PCP)
Washington, DC 20202-2700
Telephone: (202) 245-7532 or e-mail:",,Marlene.Spencer@ed.gov,,,12/13/2010,02/11/2011,12/13/2010 10:20:13,Synopsis 1
ED-GRANTS-121311-001,National Institute on Disability and Rehabilitation Research (NIDRR) Small Business Innovative Research Phase I CFDA Number 84.133S-1,ED,Department of Education,1125000,15,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Managers:
Lynn Medley or Marlene Spencer
Lynn Medley
U.S. Department of Education
400 Maryland Avenue SW., room 5140
Potomac Center Plaza (PCP)
Washington, DC 20202-2700.
Telephone: (202) 245-7338 or by email: 
Lynn.Medley@ed.gov. 
Marlene Spencer
U.S. Department of Education
400 Maryland Avenue SW., room 5133
Potomac Center Plaza (PCP)
Washington, DC 20202-2700. 
Telephone: (202) 245-7532 or by email: Marlene.Spencer@ed.gov.",,Lynn.Medley@ed.gov,,,12/13/2011,02/13/2012,12/13/2011 10:22:13,Synopsis 2
ED-GRANTS-121311-002,National Institute on Disability and Rehabilitation Research (NIDRR): Research Fellowships Program CFDA Number 84.133F-1,ED,Department of Education,505000,7,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Managers:
Lynn Medley or Marlene Spencer
Lynn Medley
U.S. Department of Education
400 Maryland Avenue SW., Room 5140
Potomac Center Plaza (PCP)
Washington, DC 20202-2700. 
Telephone: (202) 245-7338 or by email: Lynn.Medley@ed.gov.
Marlene Spencer,
U.S. Department of Education
400 Maryland Avenue SW., Room 5133
Potomac Center Plaza (PCP) 
Washington, DC 20202-2700.
Telephone: (202) 245-7532 or by 
email: Marlene.Spencer@ed.gov.",,Lynn.Medley@ed.gov,,,12/13/2011,02/13/2012,12/13/2011 10:43:13,Synopsis 1
ED-GRANTS-073018-001,Office of Postsecondary Education (OPE): Fund for the Improvement of Postsecondary Education (FIPSE): Open Textbooks Pilot Program CFDA Number 84.116T,ED,Department of Education,4950000,2,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
educationgrantinquiries@ed.gov
Program Manager:
Stacey Slijepcevic, 
U.S. Department of Education, 
400 Maryland Avenue SW, Room 268-32, 
Washington, DC 20202. 
Telephone: (202) 453-6150. Email: stacey.slijepcevic@ed.gov.",,stacey.slijepcevic@ed.gov,,,07/31/2018,08/29/2018,08/06/2018 12:02:06,Synopsis 2
SFOP0006248,2020 CTR Countering Threats from Acquisition or Misuse of Emerging and Advanced Technologies for WMD and WMD-Related Delivery Systems,DOS-ISN,Bureau of International Security-Nonproliferation,,10,ISN-CTR-CPFY20@state.gov,,,,,11/01/2019,01/31/2020,11/01/2019 14:43:01,Synopsis 2
NOAA-OAR-CIPO-2020-2006289,Competition for a Cooperative Institute for the Pacific Northwest and Polar Regions,DOC,Department of Commerce,300000000,1,"Dr. Gary Matlock
OAR Cooperative Institutes
1315 East-West Highway, Room 11461
Silver Spring, MD 20910
301-734-1184",,cipo.oar@noaa.gov,,,10/30/2019,01/06/2020,10/30/2019 10:07:30,Synopsis 1
NOAA-OAR-CIPO-2020-2006292,"Competition for a Southwest Cooperative Institute for Ecosystem-Based Management of Living Marine Resources, Ocean Observations, Climate and Weather Studies",DOC,Department of Commerce,220000000,1,"Dr. Gary Matlock
OAR Cooperative Institutes
1315 East-West Highway, Room 11461
Silver Spring, MD 20910
301-734-1184",,cipo.oar@noaa.gov,,,11/06/2019,01/06/2020,11/06/2019 9:52:06,Synopsis 1
693JJ318NF5229,Dwight David Eisenhower Transportation Fellowship Program (DDETFP) Grants for Research Fellowship (GRF),DOT-FHWA,DOT Federal Highway Administration,,2,"Ewa Flom
Program Manager
Phone 703-235-0532",,ewa.flom@dot.gov,,,06/01/2018,07/16/2018,06/25/2018 14:32:25,Synopsis 2
N00173-19-S-BA01,NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,DOD-ONR-NRL,Naval Research Laboratory,,,"Mary A Johnson
Procurement Analyst
Phone 202-767-2021",,nrlproposals@nrl.navy.mil,,,09/06/2019,09/05/2020,03/24/2020 9:05:24,Synopsis 2
NOAA-NOS-OCS-2020-2006385,Joint Hydrographic Center 2020,DOC,Department of Commerce,38500000,1,"Mr. Andrew Armstrong	603.862.4559	Joint Hydrographic Center
24 Colovos RD, Durham, NH 03824",,Andy.Armstrong@noaa.gov,,,03/26/2020,05/21/2020,03/26/2020 20:34:26,Synopsis 1
M20AS00004,"Demonstration Project, Integrating DNA Profiles, Genomics and Photo-Identification Data",DOI-BOEM,Bureau of Ocean Energy Management,350000,1,"Christy Tardiff 703-787-1367
Christy.Tardiff@bsee.gov",,Christy.Tardiff@bsee.gov,,,03/02/2020,05/01/2020,04/10/2020 15:49:10,Synopsis 1
NOAA-NOS-OCS-2020-2006381,Ocean and Coastal Mapping Centers,DOC,Department of Commerce,9000000,1,"Teresa   Fleisher	(240) 847-8252
1315 East West Hwy
Sta. 6708
N/CS1, Silver Spring, MD 20910",,teresa.fleisher@noaa.gov,,,03/26/2020,05/22/2020,05/14/2020 16:21:14,Synopsis 3
F13AS00002,Evaluation of Natural Marks for Cultured Delta Smelt,DOI-FWS,Fish and Wildlife Service,38271,1,"Dwight Luginbill, Grants/Agreements Assistant, 209-334-2968 x340
dwight_luginbill@fws.gov
",,dwight_luginbill@fws.gov,,,10/09/2012,10/24/2012,10/09/2012 13:40:09,Synopsis 1
R15AS00053,Evaluation and Coordination of Pacific Lamprey Activities in the Yakima River Basin,DOI-BOR,Bureau of Reclamation,305136,1,"Melinda Ritacco, Grants Management Specialist, 208-870-7613
mritacco@usbr.gov
",,mritacco@usbr.gov,,,07/01/2015,07/15/2015,07/01/2015 15:07:01,Synopsis 1
IEP1203,The evaluation of natural marks for cultured delta smelt and longfin smelt,DOI-FWS,Fish and Wildlife Service,80323,1,"Dwight (Ike) Luginbill
Grants/Agreements Assistant
Phone 209-946-6400 x340",,Dwight_Luginbill@fws.gov,,,12/22/2011,01/06/2012,12/22/2011 11:53:22,Synopsis 1
USGS-16-FA-0387,Notice of Intent - Evaluating seasonally assisted migration: are fish rescue programs an effective tool for mitigating the effects of drought on coldwater fishes?,DOI-USGS1,Geological Survey,186923,1,"Janet Ciciarelli
Grants Specialist
Phone 703-648-7202",,jciciarelli@usgs.gov,,,08/01/2016,08/15/2016,08/01/2016 12:00:01,Synopsis 1
USGS-17-FA-0387,Notice of Intent,DOI-USGS1,Geological Survey,,1,"Janet Ciciarelli
Grants Specialist
Phone 703-648-7202",,jciciarelli@usgs.gov,,,08/03/2017,08/17/2017,08/03/2017 9:29:03,Synopsis 1
N00174-17-0001,Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for FY17,DOD-ONR-SEA-NSWCIH,NSWC Indian Head,,10,"Alex Polster
Contract Specialist
Phone 9737249568",,alexander.polster@navy.mil,,,08/24/2017,12/12/2017,11/07/2017 13:12:07,Synopsis 3
HR001117S0014,Innovative Systems for Military Missions,DOD-DARPA-TTO,DARPA - Tactical Technology Office,,,BAA Coordinator,,HR001117S0014@darpa.mil,,,06/13/2017,06/12/2018,02/22/2018 9:52:22,Synopsis 2
W912HZ-19-BAA-01,2019 ERDC Broad Agency Announcement,DOD-COE-ERDC,Engineer Research and Development Center,,,"Reginald Bryant
ERDC Contracting Office
601-634-7166
ERDC-BAA@usace.army.mil

Alternate POC:
Anitra Wilson
ERDC Contracting Office
Anitra.D.Wilson@usace.army.mil",,ERDC-BAA@usace.army.mil,,,02/04/2019,01/31/2020,02/04/2019 15:48:04,Synopsis 3
2018-NIST-SURF-01,Summer Undergraduate Research Fellowship (SURF) Program,DOC-NIST,National Institute of Standards and Technology,,,"Christopher Hunton
Management and Program Analyst
Phone 301-975-5718",,grants@nist.gov,,,11/27/2017,02/12/2018,11/27/2017 17:14:27,Synopsis 1
EDA-HDQ-OIE-2019-2005942,FY 2019 Regional Innovation Strategies Program,DOC,Department of Commerce,,60,"If you have difficulty accessing the full announcement electronically, please contact:",,oie@eda.gov,,,02/01/2019,04/04/2019,01/31/2019 14:15:31,Synopsis 1
HR0011-16-S-0001,Microsystems Technology Office Office-wide Broad Agency Announcement,DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,"Dr. William Chappell
Director, Microsystems Technology Office",,HR0011-16-S-0001@darpa.mil,,,09/14/2016,09/13/2018,09/14/2016 15:06:14,Synopsis 1
HR001118S0060,Microsystems Technology Office (MTO) Office-Wide,DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,"BAA Coordinator
HR001118S0060@darpa.mil",,HR001118S0060@darpa.mil,,,09/26/2018,03/12/2020,03/11/2020 12:48:11,Synopsis 2
2019-NIST-MSE-01,Measurement Science and Engineering (MSE) Research Grant Programs,DOC-NIST,National Institute of Standards and Technology,12000000,750,"Leon Sampson
NOFO Coordinator
Phone 301-975-3086",,leon.sampson@nist.gov,,,04/26/2019,02/11/2020,02/10/2020 15:08:10,Synopsis 3
