pmid	title	journal
32539153	The impact of the COVID-19 pandemic on suicide rates.	QJM
32539142	COVID-19 will further exacerbate global antimicrobial resistance.	J Travel Med
32539139	COVID-19, vision, and fitness to drive.	QJM
32539128	Implementation of field hospital pharmacy services during the COVID-19 pandemic.	Am J Health Syst Pharm
32539107	Hospital-Wide SARS-CoV-2 Antibody Screening in 3056 Staff in a Tertiary Center in Belgium.	JAMA
32539093	Monoclonal Antibodies for Prevention and Treatment of COVID-19.	JAMA
32539019	Simultaneous mechanical ventilation of several patients with a single ventilator.	Gac Med Mex
32539017	Challenges for medical education in Mexico in the time of COVID-19.	Gac Med Mex
32539016	The new coronavirus that came from the East: analysis of the initial epidemic in Mexico.	Gac Med Mex
32539010	Neurologic manifestations of COVID-19.	Gac Med Mex
32538996	High-flow cannulas will be required with current COVID-19 crisis, not only mechanical ventilators.	Gac Med Mex
32538995	Recommendations for the management of critically ill adult patients with COVID-19.	Gac Med Mex
32538983	Pandemics: COVID-19.	Cir Cir
32538935	COVID 19 and Nepal: Identification of Critical Public Health Measures.	JNMA J Nepal Med Assoc
32538934	Nepalese Medical Students in the COVID-19 Pandemic: Ways Forward.	JNMA J Nepal Med Assoc
32538893	Clinical and radiological features of novel coronavirus pneumonia.	J Xray Sci Technol
32538870	Care, Convenience, Comfort, Confidentiality, and Contagion: The 5 C's that Will Shape the Future of Telemedicine.	J Parkinsons Dis
32538858	Dementia in the COVID-19 Period.	J Alzheimers Dis
32538857	Neurobiology of COVID-19.	J Alzheimers Dis
32538856	Dementia Care in Times of COVID-19: Experience at Fundacio ACE in Barcelona, Spain.	J Alzheimers Dis
32538855	Potential Novel Role of COVID-19 in Alzheimer's Disease and Preventative Mitigation Strategies.	J Alzheimers Dis
32538831	Herd immunity or suppression strategy to combat COVID-19.	Clin Hemorheol Microcirc
32538830	Contrast enhanced ultrasound (CEUS) to assess pleural pulmonal changes in severe Covid 19 infection: First results.	Clin Hemorheol Microcirc
32538820	[Scholia about the pandemia urbi et orbi et orbe generate by de COVID-19 disease.]	Arch Esp Urol
32538819	Impact of COVID-19 in spanish urology residents: Recommendations and perspective.	Arch Esp Urol
32538818	[Robotic and laparosocpic urological surgery during COVID-19 pandemia.]	Arch Esp Urol
32538817	[Impact of COVID-19 during de-escalation in pediatric urology.]	Arch Esp Urol
32538816	[Renal transplantation during COVID-19 period in Spain.]	Arch Esp Urol
32538815	[Strategies and recommendations for urolithiasis treatment and follow-up in COVID-19 pandemia.]	Arch Esp Urol
32538814	[Management of neurourological patients during the COVID-19 pandemic.]	Arch Esp Urol
32538813	[Functional urology during COVID-19: Recommendations during de-escalation.]	Arch Esp Urol
32538812	[Reconstructive surgery protocol recommendations during COVID-19 pandemia.]	Arch Esp Urol
32538811	[Andrology and penile cancer. Recommendations during COVID-19 pandemia.]	Arch Esp Urol
32538810	[Benign prostatic hyperplasia management during COVID-19 pandemia.]	Arch Esp Urol
32538809	[De-escalation: Testicular cancer.]	Arch Esp Urol
32538808	[Current status for urpper tract transitional cell carcinoma during COVID-19 pandemia.]	Arch Esp Urol
32538807	[Recommendations on bladder cancer Management during COVID-19 pandemia: lessons learned and future plans.]	Arch Esp Urol
32538806	[Prostate cancer and COVID-19 pandemia: Current recommendations.]	Arch Esp Urol
32538805	Renal cell carcinoma and COVID-19 pandemia: Management strategies adapted to current practice.	Arch Esp Urol
32538804	[Emergency surgery during COVID-19 pandemia.]	Arch Esp Urol
32538803	[Implementation of Remote Clinics in urology practice during the COVID-19 era: What have we learned?]	Arch Esp Urol
32538802	[Current situation in Urology practice in Spain during the COVID-19 pandemic.]	Arch Esp Urol
32538801	[Healthcare management during COVID-19 pandemia.]	Arch Esp Urol
32538800	[De-escalation urology measures. COVID-19 pandemia stepwise recommendations.]	Arch Esp Urol
32538780	COVID-19 medical papers have fewer women first authors than expected.	Elife
32538775	Combating sars-cov-2 through lipoxins, proteasome, caveolin and nuclear factor-kappab pathways in non-pregnant and pregnant populations.	Cell Mol Biol (Noisy-le-grand)
32538738	Molecular simulation of SARS-CoV-2 spike protein binding to pangolin ACE2 or human ACE2 natural variants reveals altered susceptibility to infection.	J Gen Virol
32538717	Structural Biology Aids the Research of New Anti-COVID-19 Drugs.	Curr Org Synth
32538694	Coronavirus Disease (COVID-19) Detected at the Lung Apices During CT Angiography in Acute Stroke Assessment.	AJR Am J Roentgenol
32538693	On the Role of Chest Radiography and CT in the Coronavirus Disease (COVID-19) Pandemic.	AJR Am J Roentgenol
32538665	COVID-19 and U.S.-based refugee populations: Commentary.	Psychol Trauma
32538664	Coronavirus and interpersonal violence: A need for digital mental health resources.	Psychol Trauma
32538663	China experience from COVID-19: Mental health in mandatory quarantine zones urgently requires intervention.	Psychol Trauma
32538662	Coronavirus disease (COVID-19) pandemic: Furnishing experiences from India.	Psychol Trauma
32538661	"Are women still ""the other""? Gendered mental health interventions for health care workers in Spain during COVID-19."	Psychol Trauma
32538660	The effects of nonconventional palliative and end-of-life care during COVID-19 pandemic on mental health-Junior doctors' perspective.	Psychol Trauma
32538659	The coronavirus pandemic and Holocaust survivors in Israel.	Psychol Trauma
32538658	Psychological adjustment during the global outbreak of COVID-19: A resilience perspective.	Psychol Trauma
32538657	Psychological impact of COVID-19 in Spain: Early data report.	Psychol Trauma
32538655	A tale of two crises: The compounded effect of COVID-19 and anti-immigration policy in the United States.	Psychol Trauma
32538654	Fear, anger, and media-induced trauma during the outbreak of COVID-19 in the Czech Republic.	Psychol Trauma
32538653	Psychological and social impact of COVID-19.	Psychol Trauma
