,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
711,Molecular Analysis of Human Breast Cancer,NCI,6800810,5R01CA096483-02,5,R01,CA,96483,2,,,1970705,"CLARKE, ROBERT R.",Not Applicable,GEORGETOWN UNIVERSITY,,2004,Predicting Stimulant Use Relapse using Neuroimaging Techniques,NIDA
712,Molecular Analysis of Human Breast Cancer,NCI,6648196,1R01CA096483-01A1,1,R01,CA,96483,1,A1,,1970705,"CLARKE, ROBERT R.",Not Applicable,GEORGETOWN UNIVERSITY,,2003,564550,
713,Biochemistry of Energy-Dependent (Intracellular) Protein Degradation,NCI,7732887,1Z01BC005597-19,1,Z01,CA,5597,19,,,6568970,"MAURIZI, MICHAEL ",Not Applicable,,,2008,MIXED EFFECTS MULTIDIMENSIONAL SCALING,NIMH
714,MIXED EFFECTS MULTIDIMENSIONAL SCALING,NIMH,2776571,2R44MH057559-02,2,R44,MH,57559,2,,,1873936,"CLARKSON, DOUGLAS B",Not Applicable,INSIGHTFUL CORPORATION,,1998,250736,
715,Biochemistry of Energy-Dependent (Intracellular) Protein Degradation,NCI,7592538,1Z01BC005597-18,1,Z01,CA,5597,18,,,6568970,"MAURIZI, MICHAEL ",Not Applicable,,,2007,1124895,SOFTWARE FOR A RANDOM EFFECTS INDSCAL MODEL
716,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,NCI,6776980,5K01CA087017-05,5,K01,CA,87017,5,,,6377330,"CLARKSON, ERIC WAYNE",Not Applicable,UNIVERSITY OF ARIZONA,,2004,Leveraging large-scale national data to understand; reduce; and prevent benzodiazepine-related harms among older adults,NIDA
717,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,NCI,6658949,5K01CA087017-04,5,K01,CA,87017,4,,,6377330,"CLARKSON, ERIC WAYNE",Not Applicable,UNIVERSITY OF ARIZONA,,2003,144147,
718,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,NCI,6522634,5K01CA087017-03,5,K01,CA,87017,3,,,6377330,"CLARKSON, ERIC WAYNE",Not Applicable,UNIVERSITY OF ARIZONA,,2002,144324,
719,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,NCI,6377983,5K01CA087017-02,5,K01,CA,87017,2,,,6377330,"CLARKSON, ERIC WAYNE",Not Applicable,UNIVERSITY OF ARIZONA,,2001,120093,
720,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,NCI,6165674,1K01CA087017-01,1,K01,CA,87017,1,,,6377330,"CLARKSON, ERIC WAYNE",Not Applicable,UNIVERSITY OF ARIZONA,,2000,117073,
721,Optimized identification of therapeutic bacterial strains in ulcerative colitis,NIDDK,9781704,5R01DK114038-02,5,R01,DK,114038,2,,,11767204,"CLEMENTE, JOSE ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,254179,
722,Leveraging large-scale national data to understand; reduce; and prevent benzodiazepine-related harms among older adults,NIDA,9706344,3R01DA045705-01S1,3,R01,DA,45705,1,S1,,10321181,"MAUST, DONOVAN T",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2018,331584,Biomedical Data Translator Technical Feasibility Assessment and Architecture Design
723,Biomedical Data Translator Technical Feasibility Assessment and Architecture Design,NCATS,9337924,1OT3TR002025-01,1,OT3,TR,2025,1,,,1879023,"CLEMONS, PAUL ANDREW",Not Applicable,"BROAD INSTITUTE, INC.",,2016,Leveraging large-scale national data to understand; reduce; and prevent benzodiazepine-related harms among older adults,NIDA
724,COMPUTATIONAL THINKING-Developing an Intelligent and Socially Oriented Search Que,NLM,8173663,276201000032C-0-0-1,,N03,LM,,,,,10678787,"MAXWELL, TERRI ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,YES,2010,301251,Structural and functional connectivity markers of developmental speech and language disorders
725,LANGUAGE COMPREHENSION,NICHD,3315843,5R01HD018708-12,5,R01,HD,18708,12,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1992,103144,
726,LANGUAGE COMPREHENSION,NICHD,3315842,5R01HD018708-11,5,R01,HD,18708,11,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1991,99409,
727,LANGUAGE COMPREHENSION,NICHD,3315836,2R01HD018708-10,2,R01,HD,18708,10,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1990,100317,
728,LANGUAGE COMPREHENSION RELATED TO LOCAL BRAIN DAMAGE,NICHD,3315841,5R01HD018708-09,5,R01,HD,18708,9,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1989,74441,
729,147563,LANGUAGE COMPREHENSION,NICHD,3315840,5R01HD018708-08,5,R01,HD,18708,8,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1988,69390
730,67686,,,,,,,,,,,,,,,,,,
731,Using Machine Learning to Predict Clinical Deterioration in Hospitalized Children,NHLBI,9805481,1K01HL148390-01,1,K01,HL,148390,1,,,14200157,"MAYAMPURATH, ANOOP ",Not Applicable,UNIVERSITY OF CHICAGO,,2019,147563,COMPREHENDING SENTENCES WITH LONG-DISTANCE DEPENDENCIES
732,COMPREHENDING SENTENCES WITH LONG-DISTANCE DEPENDENCIES,NICHD,3315838,5R01HD018708-05,5,R01,HD,18708,5,,,1872727,"CLIFTON, CHARLES E.",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1985,66553,
733,Electrophysiological Biomarkers to Optimize DBS for Depression,NINDS,9929246,3UH3NS103550-03S1,3,UH3,NS,103550,3,S1,,1960809,"MAYBERG, HELEN S ","RIVA-POSSE, PATRICIO ;ROZELL, CHRISTOPHER JOHN",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,165527,CRCNS: Probabilistic models of perceptual grouping/segmentation in natural vision  
734,355251,,,,,,,,,,,,,,,,,,
735,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE,NIGMS,6490022,5R01GM039900-14,5,R01,GM,39900,14,,,1863273,"COHEN, FRED E",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,2002,345489,
736,"RIVA-POSSE, PATRICIO ;ROZELL, CHRISTOPHER JOHN",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,1262523,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE,NIGMS,6342823,5R01GM039900-13,5,R01,GM,39900,13,,,1863273,"COHEN, FRED E",Not Applicable
737,353940,,,,,,,,,,,,,,,,,,
738,Electrophysiological Biomarkers to Optimize DBS for Depression,NINDS,9405277,1UH3NS103550-01,1,UH3,NS,103550,1,,,1960809,"MAYBERG, HELEN S",Not Applicable,EMORY UNIVERSITY,,2017,5562,COMPUTER ANALYSIS & PREDICTION OF PROTEIN STRUCTURE
739,COMPUTER ANALYSIS & PREDICTION OF PROTEIN STRUCTURE,NIGMS,2608876,5R01GM039900-10,5,R01,GM,39900,10,,,1863273,"COHEN, FRED E",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1998,289568,
740,Perception and Modulation of Visceral Sensation,NIDDK,9773019,5R01DK048351-19,5,R01,DK,48351,19,,,3161952,"MAYER, EMERAN A",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,461813,COMPUTER ANALYSIS & PREDICTION OF PROTEIN STRUCTURE
741,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE,NIGMS,2180085,5R01GM039900-07,5,R01,GM,39900,7,,,1863273,"COHEN, FRED E",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1995,253389,
742,Perception and Modulation of Visceral Sensation,NIDDK,9529636,5R01DK048351-18,5,R01,DK,48351,18,,,3161952,"MAYER, EMERAN A",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2018,576642,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE
743,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE,NIGMS,3297168,5R01GM039900-05,5,R01,GM,39900,5,,,1863273,"COHEN, FRED E",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1993,184222,
744,Perception and Modulation of Visceral Sensation,NIDDK,9348634,5R01DK048351-17,5,R01,DK,48351,17,,,3161952,"MAYER, EMERAN A",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2017,COMPUTER ANALYSIS AND PREDICTION OF PROTEIN STRUCTURE,NIGMS
745,PsyNeuLink:  A Block Modeling Environment for Cognitive Neuroscience and Computational Psychiatry,NIMH,9824928,1R21MH117548-01A1,1,R21,MH,117548,1,A1,,1862686,"COHEN, JONATHAN D",Not Applicable,PRINCETON UNIVERSITY,,2019,253798,
746,PATTERN ANALYSIS OF CORNEAL TOPOGRAPHY,NEI,3265572,5R01EY008299-02,5,R01,EY,8299,2,,,1965862,"COHEN, KENNETH L",Not Applicable,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,,1993,Perception and Modulation of Visceral Sensation,245708
747,PATTERN ANALYSIS OF CORNEAL TOPOGRAPHY,NEI,3265571,1R01EY008299-01A3,1,R01,EY,8299,1,A3,,1965862,"COHEN, KENNETH L",Not Applicable,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,,1992,260611,
748,Robust Inference from Observational Data with Distributed Representations of Conceptual Relations,NLM,9881862,3R01LM011563-06S1,3,R01,LM,11563,6,S1,,9489026,"COHEN, TREVOR ",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,400387,
749,Robust Inference from Observational Data with Distributed Representations of Conceptual Relations,NLM,9881862,3R01LM011563-06S1,3,R01,LM,11563,6,S1,,9489026,"COHEN, TREVOR ",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,400387,Perception and Modulation of Visceral Sensation
750,Facial Expression Analysis by Image Processing,NIMH,7049026,2R01MH051435-12,2,R01,MH,51435,12,,,1896871,"COHN, JEFFREY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2006,480876,
751,Structure And Function Of Neurotransmitter Receptor Ion Channels,NICHD,9150065,1ZIAHD000707-31,1,ZIA,HD,707,31,,,2415655,"MAYER, MARK L",Not Applicable,,,2015,942826,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING
752,42260,,,,,,,,,,,,,,,,,,
753,1,ZIA,HD,707,30,,,2415655,"MAYER, MARK L",Not Applicable,,,2014,1265043,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING,NIMH,6736314,5R01MH051435-10,5
754,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING,NIMH,6639029,5R01MH051435-09,5,R01,MH,51435,9,,,1896871,"COHN, JEFFREY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2003,297999,
755,Structure And Function Of Neurotransmitter Receptor Ion Channels,NICHD,8736824,1ZIAHD000707-29,1,ZIA,HD,707,29,,,2415655,"MAYER, MARK L",Not Applicable,,,2013,1399879,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING
756,Structure And Function Of Neurotransmitter Receptor Ion Channels,NICHD,8553853,1ZIAHD000707-28,1,ZIA,HD,707,28,,,2415655,"MAYER, MARK L",Not Applicable,,,2012,1402702,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING
757,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING,NIMH,6185949,5R01MH051435-06,5,R01,MH,51435,6,,,1896871,"COHN, JEFFREY F",Not Applicable,MELLON PITTS CORPORATION (MPC CORP),,2000,233574,
758,Structure And Function Of Neurotransmitter Receptor Ion Channels,NICHD,8351116,1ZIAHD000707-27,1,ZIA,HD,707,27,,,2415655,"MAYER, MARK L",Not Applicable,,,2011,1707901,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING
759,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING,NIMH,2675154,5R01MH051435-04,5,R01,MH,51435,4,,,1896871,"COHN, JEFFREY F",Not Applicable,MELLON PITTS CORPORATION (MPC CORP),,1998,220716,
760,FACIAL EXPRESSION ANALYSIS BY IMAGE PROCESSING,NIMH,2397736,2R01MH051435-03,2,R01,MH,51435,3,,,1896871,"COHN, JEFFREY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1997,234369,
761,FACIAL EXPRESSION ANALYSIS BY COMPUTER IMAGE PROCESSING,NIMH,2250696,1R01MH051435-01A3,1,R01,MH,51435,1,A3,,1896871,"COHN, JEFFREY F",Not Applicable,MELLON PITTS CORPORATION (MPC CORP),,Large-Scale Reconstruction of Microvascular Networks and the Surrounding Cellular,NLM,8920669
762,Automatic Multimodal Affect Detection for Research and Clinical Use ,NIMH,9701324,5R01MH096951-08,5,R01,MH,96951,8,,,1896871,"COHN, JEFFREY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,613809,
763,CRCNS: Sensory-Motor Integration in Mammalian Brian: experiment; analysis; modeling,NINDS,Large-Scale Reconstruction of Microvascular Networks and the Surrounding Cellular,9730639,5R01NS100049-04,5,R01,NS,100049,4,,,7859011,"COIFMAN, RONALD R",Not Applicable,8916335,4R00LM011390-02,4,R00
764,The neural computations supporting hierarchical reinforcement learning,NIMH,9894854,5R01MH119383-02,5,R01,MH,119383,2,,,12210489,"COLLINS, ANNE G.E.",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2020,381213,
765,The neural computations supporting hierarchical reinforcement learning,NIMH,9728374,1R01MH119383-01,1,R01,MH,119383,1,,,12210489,"COLLINS, ANNE G.E.",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2019,381751,
766,2760336,,,,,,,,,,,,,,,,,,
767,Analytics-Based Platform for Diabetic Retinopathy Care Management,NEI,9679729,1R41EY029917-01,1,R41,EY,29917,1,,,9847215,"MAYORGA, MARIA ESTHER",Not Applicable,"RETINAL CARE, INC.",,2019,219356,Using Machine Learning to Mitigate Reverberation Effects in Cochlear Implants
768,A precision medicine framework to improve long-term outcomes in Sepsis Survivors,NIGMS,9897562,5K23GM132688-02,5,K23,GM,132688,2,,,15365707,"MAYR, FLORIAN ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2020,187984,Innovative Methods for Constructing Just-in-Time Adaptive Inverventions
769,Innovative Methods for Constructing Just-in-Time Adaptive Inverventions,NIDA,9517835,5P50DA039838-04,5,P50,DA,39838,4,,6654,1893990,"COLLINS, LINDA M",Not Applicable,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,,2018,,503876
770,A precision medicine framework to improve long-term outcomes in Sepsis Survivors,NIGMS,9718511,1K23GM132688-01,1,K23,GM,132688,1,,,15365707,"MAYR, FLORIAN ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,189327,Innovative Methods for Constructing Just-in-Time Adaptive Inverventions
771,Innovative Methods for Constructing Just-in-Time Adaptive Inverventions,NIDA,9126486,5P50DA039838-02,5,P50,DA,39838,2,,6654,1893990,"COLLINS, LINDA M",Not Applicable,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,,2016,,517217
772,Innovative Methods for Constructing Just-in-Time Adaptive Inverventions,NIDA,8930314,1P50DA039838-01,1,P50,DA,39838,1,,6654,1893990,"COLLINS, LINDA M",Not Applicable,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,,2015,,545186
773,NOVEL PROBES FOR EFFICIENT GENETIC DISEASE DIAGNOSIS,NIGMS,3497686,1R43GM036235-01,1,R43,GM,36235,1,,,2070703,"COLLINS, MARY ",Not Applicable,"GENETICS INSTITUTE, INC.",,1986,50000,
774,NIMH,10010441,1R42MH123368-01,1,R42,MH,123368,1,,,9990882,"COMER, JONATHAN S ","TIMMONS, ADELA ",COLLIGA APPS CORP.,,2020,416822,,
775,Machine learning and collaborative filtering tools for personalized education in digital breast tomosynthesis,NIBIB,9321997,5R01EB021360-02,5,R01,EB,21360,2,,,9913936,"MAZUROWSKI, MACIEJ A.",Not Applicable,DUKE UNIVERSITY,,2017,396791,Applying Computational Linguistics to Fundamental Components of Schizophrenia
776,Applying Computational Linguistics to Fundamental Components of Schizophrenia,NIMH,8512143,1R21MH097999-01A1,1,R21,MH,97999,1,A1,,7110511,"COMPTON, MICHAEL T",Not Applicable,GEORGE WASHINGTON UNIVERSITY,,2013,249349,
777,EFFECT OF AN EXPERT SYSTEM ON PLATELET TRANSFUSION,NHLBI,3358561,5R01HL041086-03,5,R01,HL,41086,3,,,1961396,"CONNELLY, DONALD PATRICK",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES,,1992,158789,
778,3358560,5R01HL041086-02,5,R01,HL,41086,2,,,1961396,"CONNELLY, DONALD PATRICK",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES,,1991,145997,,,
779,5K25DC013557-03,5,K25,DC,13557,3,,,11384300,"MAZZUCATO, LUCA ",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK,,2016,167410,EFFECT OF AN EXPERT SYSTEM ON PLATELET TRANSFUSION,NHLBI,3358559,1R01HL041086-01A2
780,Exploring the evolving relationship between tobacco; marijuana and e-cigarettes,NIDA,9788381,5R21DA043775-02,5,R21,DA,43775,2,,,10414640,"CONWAY, MICHAEL AMBROSE",Not Applicable,UNIVERSITY OF UTAH,,2019,225147,
781,Spontaneous activity in gustatory cortex,NIDCD,8890825,5K25DC013557-02,5,K25,DC,13557,2,,,11384300,"MAZZUCATO, LUCA ",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK,,2015,166288,Investigating the documentation of E-cigarette use in the VA EHR
782,Development of an Online Course Suite in Tools for Analysis of Sensor-Based Behavioral Health Data (AHA!),NIBIB,9696381,5R25EB024327-03,5,R25,EB,24327,3,,,8828839,"COOK, DIANE JOYCE",Not Applicable,WASHINGTON STATE UNIVERSITY,,2019,Spontaneous activity in gustatory cortex,150529
783,A clinician-in-the-loop smart home to support health monitoring and intervention for chronic conditions,NINR,9693819,5R01NR016732-03,5,R01,NR,16732,3,,,8828839,"COOK, DIANE JOYCE ","FRITZ, ROSCHELLE LYNNETTE;SCHMITTER-EDGECOMBE, MAUREEN ",WASHINGTON STATE UNIVERSITY,,2019,356218,
784,STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE,NLM,2460259,5R29LM005291-05,5,R29,LM,5291,5,,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1997,102782,
785,Transmission Networks in Trait-Based Communities,NIGMS,9750722,5R01GM122062-04,5,R01,GM,122062,4,,,14440114,"MCART, SCOTT H ","ADLER, LYNN S.;ELLNER, STEPHEN PAUL;IRWIN, REBECCA ELIZABETH;MCFREDERICK, QUINN S;MYERS, CHRISTOPHER R",CORNELL UNIVERSITY,,2019,527585,STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE
786,STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE,NLM,2237739,5R29LM005291-02,5,R29,LM,5291,2,,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1994,91424,
787,Transmission Networks in Trait-Based Communities,NIGMS,9530668,5R01GM122062-03,5,R01,GM,122062,3,,,14440114,"MCART, SCOTT H ","ADLER, LYNN S.;ELLNER, STEPHEN PAUL;IRWIN, REBECCA ELIZABETH;MCFREDERICK, QUINN S;MYERS, CHRISTOPHER R",CORNELL UNIVERSITY,,2018,584485,STRUCTURING MEDICAL KNOWLEDGE--PROBABILISTIC INFERENCE
788,Pittsburgh Biomedical Informatics Training Program,NLM,7214399,2T15LM007059-21,2,T15,LM,7059,21,,,1882704,"COOPER, GREGORY F",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2007,589426,
789,406785,Pittsburgh Biomedical Informatics Training Program,NLM,7627417,3T15LM007059-21S1,3,T15,LM,7059,21,S1,,1882704,"COOPER, GREGORY F.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2008,6796
790,Transmission Networks in Trait-Based Communities,NIGMS,9241579,1R01GM122062-01,1,R01,GM,122062,1,,,14440114,"MCART, SCOTT H ","ADLER, LYNN S.;ELLNER, STEPHEN PAUL;IRWIN, REBECCA ELIZABETH;MCFREDERICK, QUINN S;MYERS, CHRISTOPHER R",CORNELL UNIVERSITY,,2016,409580,Administrative Core
791,1308373,,,,,,,,,,,,,,,,,,
792,MECHANISMS OF SHOCK WAVE ACTION FOR IMPROVED SHOCKWAVE LITHOTRIPSY,NIDDK,7668657,5P01DK043881-14,5,P01,DK,43881,14,,2,2401694,"MCATEER, JAMES ALEXANDER",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2008,Administrative Core,NIAMS
793,Psoriasis Center of Research Translation,NIAMS,9568310,5P50AR070590-02,5,P50,AR,70590,2,,,6080691,"COOPER, KEVIN D ","MCCORMICK, THOMAS S;WARD, NICOLE LEANNE",CASE WESTERN RESERVE UNIVERSITY,,2018,1308227,
794,Psoriasis Center of Research Translation,NIAMS,9370683,1P50AR070590-01A1,1,P50,AR,70590,1,A1,,6080691,"COOPER, KEVIN D ","MCCORMICK, THOMAS S;WARD, NICOLE LEANNE",CASE WESTERN RESERVE UNIVERSITY,,2017,1276741,
795,Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9920230,5R01MH107558-06,5,R01,MH,107558,6,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,676651,
796,9693300,5R01MH107558-05,5,R01,MH,107558,5,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,676659,,,
797,"MCAULIFFE, MATTHEW ",Not Applicable,,,2019,1976426,Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9481191,5R01MH107558-04,5,R01,MH,107558,4,,,6490193,"CORCORAN, CHERYL MARY"
798,Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9563758,7R01MH107558-03,7,R01,MH,107558,3,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2017,380712,
799,1041664,Thought disorder and social cognition in clinical risk states for schizophrenia,NIMH,9331744,5R01MH107558-02,5,R01,MH,107558,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2017,193734
800,Biomedical Image Analysis and Informatics,CIT,9549704,1ZIACT000272-10,1,ZIA,CT,272,10,,,12453047,"MCAULIFFE, MATTHEW ",Not Applicable,,,2017,1007609,Thought disorder and social cognition in clinical risk states for schizophrenia
801,Automated linguistic analyses of semantics and syntax in speech output in the psychosis prodrome:  A novel paradigm to evaluate subtle thought disorder.,NIMH,9231498,5R03MH108933-02,5,R03,MH,108933,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2017,35453,
802,Automated linguistic analyses of semantics and syntax in speech output in the psychosis prodrome:  A novel paradigm to evaluate subtle thought disorder.,NIMH,9017082,1R03MH108933-01,1,R03,MH,108933,1,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2016,81000,
803,533776,,,,,,,,,,,,,,,,,,
804,Development of a Neuronal Regulatory Lexicon,NINDS,9291510,5R01NS062972-09,5,R01,NS,62972,9,,,7838757,"MCCALLION, ANDREW S",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2017,461190,Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach
805,Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9669113,5R01MH115332-02,5,R01,MH,115332,2,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,468909,
806,461141,Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,NIMH,9435649,1R01MH115332-01,1,R01,MH,115332,1,,,6490193,"CORCORAN, CHERYL MARY",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2018,513989
807,Development of a Neuronal Regulatory Lexicon,NINDS,ADVANCED DIGITAL PROCESSING OF CLINICAL 2D-ECHO IMAGES,,7838757,"MCCALLION, ANDREW S",Not Applicable,NHLBI,3899649,5P50HL017651-15,5,P50,HL,17651,15,,52,3244694,"CORDAY, ELIOT "
808,ADVANCED DIGITAL PROCESSING OF CLINICAL 2D-ECHO IMAGES,NHLBI,3920640,5P50HL017651-14,5,P50,HL,17651,14,,52,3244694,"CORDAY, ELIOT ",Not Applicable,CEDARS-SINAI MEDICAL CENTER,,1988,,
809,Development of a Neuronal Regulatory Lexicon,NINDS,8811553,2R01NS062972-06A1,2,R01,NS,62972,6,A1,,7838757,"MCCALLION, ANDREW S",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2014,COMPUTER ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,467946
810,COMPUTER ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS,3269302,5R01GM018519-22,5,R01,GM,18519,22,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1992,273707,
811,Genetic neuroscience: How human genes and alleles shape neuronal phenotypes,NIMH,9757833,5U01MH115727-03,5,U01,MH,115727,3,,,9869798,"MCCARROLL, STEVEN ANDREW ","ARLOTTA, PAOLA ;BLEI, DAVID ;EGGAN, KEVIN C;NEALE, BENJAMIN MICHAEL","BROAD INSTITUTE, INC.",,2019,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS,NIGMS
812,241553,,,,,,,,,,,,,,,,,,
813,Genetic neuroscience: How human genes and alleles shape neuronal phenotypes,NIMH,9568024,5U01MH115727-02,5,U01,MH,115727,2,,,9869798,"MCCARROLL, STEVEN ANDREW ","ARLOTTA, PAOLA ;BLEI, DAVID ;EGGAN, KEVIN C;NEALE, BENJAMIN MICHAEL","BROAD INSTITUTE, INC.",,2018,4132864,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS
814,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,NIGMS,3269299,5R01GM018519-18,5,R01,GM,18519,18,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1988,225132,
815,Genetic neuroscience: How human genes and alleles shape neuronal phenotypes,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,1,U01,MH,115727,1,,,9869798,"MCCARROLL, STEVEN ANDREW ","ARLOTTA, PAOLA ;BLEI, DAVID ;EGGAN, KEVIN C;NEALE, BENJAMIN MICHAEL","BROAD INSTITUTE, INC.",,2017,3269298,5R01GM018519-17,5,R01
816,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL  SYNTHESIS,NIGMS,3269295,2R01GM018519-16,2,R01,GM,18519,16,,,1863316,"COREY, ELIAS J",Not Applicable,HARVARD UNIVERSITY,,1986,213738,
